factorId,factorAbbreviation,factorName,factorShortName,styleName,factorOrder
0,ROIC,Return on Invested Capital,ROIC,Capital Efficiency,0
1,ROE,Return on Equity,Return on Equity,Capital Efficiency,0
2,ROA,Return on Assets,ROA,Capital Efficiency,0
3,CFROIC,Cash Flow Return on Invested Capital,CF ROIC,Capital Efficiency,0
4,DA,Debt to Assets Ratio,Debt to Assets,Capital Efficiency,1
5,LTDE,Long Term Debt to Equity Ratio,LT Debt to Equity,Capital Efficiency,1
6,CapAcqRatio,Capital Acquisition Ratio,Capital Acquisition Ratio,Capital Efficiency,0
7,IntCovRatio,Interest Coverage Ratio,Interest Coverage,Capital Efficiency,0
8,ShareChg,1Y Chg in Shares Outstanding,1Y Chg Shares Out,Capital Efficiency,1
9,BuyBackChg,1Y Chg in Stock Buybacks,Buybacks,Capital Efficiency,0
10,CashCycle,Cash Conversion Cycle,Cash Conversion Cycle,Earnings Quality,1
11,NetProfitMargin,Net Profit Margin,Net Profit Margin,Earnings Quality,0
12,WCAccruals,Working Capital Accruals,WC Accruals,Earnings Quality,1
13,TotalAccruals,Balance Sheet Accruals,BSAccruals,Earnings Quality,1
14,ChgDeprCapex,Change in TTM Depr. to Capex,TTM Depr to Capex,Earnings Quality,1
15,InvToAsset,Asset Adjusted Capital Investments,Cap Investment to Assets,Earnings Quality,1
16,ChgSalesMargin,Sales to Gross Profit Margin Growth,Sales to GPM Grwth,Earnings Quality,1
17,BP,Book to Price,Book to Price,Valuation,0
18,CashAst,Cash to Total Assets,Cash to Tot Assets,Valuation,0
19,AssetTurn,Asset Turnover,Asset Turnover,Earnings Quality,0
20,InvTurn,Inventory Turnover,InvTurns,Earnings Quality,0
21,UnexpectedRecChg,Unexpected Receivables Change,RecSurprise,Earnings Quality,1
22,PM12M1M,12M - 1M Price Momentum,12M - 1M Price Mom,Price Momentum,0
23,PM1M,1M Price Reversal,1M Price Reversal,Price Momentum,1
24,LogMktCap,Log Market Cap,Log Market Cap,Size,1
25,AnnVol12M,12M Realized Price Volatility,12M Realized Volatility,Volatility,0
26,AnnVol1M,1M Realized Price Volatility,1MVol,Volatility,0
27,HL1M,1M Price High - 1M Price Low,1M Price High Low,Price Momentum,0
28,UnexpectedInvChg,Unexpected Inventory Change,InvSurprise,Earnings Quality,1
29,LogTTMSales,Log TTM Sales,Log TTM Sales,Size,1
30,FCFP,Free Cash Flow to Price,FCF / Price,Valuation,0
31,FCFEV,Free Cash Flow to Enterprise Value,FCF / EV,Valuation,0
32,OCFEV,Operating Cash Flow to Enterprise Value,OCF / EV,Valuation,0
33,OCFP,Operating Cash Flow to Price,OCF / Price,Valuation,0
34,FCFEqt,Free Cash Flow to Common Equity,FCF / Equity,Valuation,0
35,EBITDAEV,EBITDA to Enterprise Value,EBITDA / EV,Valuation,0
36,EP,Earnings to Price,E / P,Valuation,0
37,CFEV,Net Cash Flow to Enterprise Value,NCF / EV,Valuation,0
