factor,cluster,styleName,cagr
ROIC,16,Capital Efficiency,0.0126778610526072
ROE,16,Capital Efficiency,0.0147873625079124
ROA,16,Capital Efficiency,0.0160915877935432
CFROIC,16,Capital Efficiency,0.0568735887415321
DA,16,Capital Efficiency,0.0227733756490038
LTDE,16,Capital Efficiency,0.0448194409755744
CapAcqRatio,16,Capital Efficiency,0.0397532421171435
IntCovRatio,5,Capital Efficiency,0.0281803860290392
ShareChg,8,Capital Efficiency,0.0241283328115446
CashCycle,16,Earnings Quality,0.0076489094093912
NetProfitMargin,16,Earnings Quality,0.0484959404135103
WCAccruals,16,Earnings Quality,0.0534263895884625
TotalAccruals,16,Earnings Quality,0.0021461986908237
ChgDeprCapex,16,Earnings Quality,0.0195479139797747
InvToAsset,14,Earnings Quality,0.0301018148834171
ChgSalesMargin,16,Earnings Quality,0.0076043406173822
BP,16,Valuation,0.035045109649678
CashAst,16,Valuation,0.0264482321104095
AssetTurn,14,Earnings Quality,0.035676261988228
InvTurn,11,Earnings Quality,0.0087155876479811
UnexpectedRecChg,16,Earnings Quality,0.0476685765026148
PM12M1M,16,Price Momentum,0.0487535894298292
PM1M,10,Price Momentum,0.0702666004142369
LogMktCap,16,Size,0.028485304739247
AnnVol12M,16,Volatility,0.0113892029556306
AnnVol1M,16,Volatility,0.040499521551603
HL1M,10,Price Momentum,0.057992245880506
UnexpectedInvChg,16,Earnings Quality,0.0277734855691753
LogTTMSales,16,Size,0.0175802410425391
FCFP,16,Valuation,0.0345345525040274
FCFEV,16,Valuation,0.0286638321293635
OCFEV,16,Valuation,0.0557957241988533
OCFP,16,Valuation,0.0475381552818465
FCFEqt,16,Valuation,0.0494992899550084
EBITDAEV,16,Valuation,0.0263595035225443
EP,16,Valuation,0.02431807172825
CFEV,16,Valuation,0.0299732289583511
CFP,16,Valuation,0.0335836047987738
EBITDAP,16,Valuation,0.0241823107993197
PTIP,16,Valuation,0.0231520646431528
AstAdjChg1YCF,16,Historical Growth,0.0325242279033639
AstAdjChg1YEPS,16,Historical Growth,0.041714512629891
AstAdjChg1YFCF,16,Historical Growth,0.068174255527645
AstAdjChg1YOCF,16,Historical Growth,0.0377360151308918
Chg1YAstTo,16,Historical Growth,0.0526527885963843
