case,peak,trough,recovery,dd_pct,peak_to_trough_m,trough_to_recovery_m,total_m
baseline,2018-02,2018-03,2018-05,-1.8355016256438643,1,2.0,3
baseline,2018-07,2019-02,2019-06,-3.153833751653999,7,4.0,11
baseline,2021-01,2021-03,2021-06,-1.6989955823230545,2,3.0,5
baseline,2021-07,2023-11,2024-06,-7.912949676162798,28,7.0,35
baseline,2024-06,2024-11,ONGOING,-6.610083669424288,5,,21
combo_18_0.1,2015-07,2016-02,2016-09,-1.710887934983581,7,7.0,14
combo_18_0.1,2018-08,2019-02,2019-07,-1.8857932187792168,6,5.0,11
combo_18_0.1,2019-07,2020-01,2020-12,-1.3147478370914016,6,11.0,17
combo_18_0.1,2021-08,2023-03,2024-03,-2.858472226074421,19,12.0,31
combo_18_0.1,2024-06,2024-11,2025-02,-2.3053328986906987,5,3.0,8
combo_18_0.1,2025-10,2025-11,2026-01,-1.2651979315004063,1,2.0,3
baseline_nocap_0.3,2015-07,2015-08,2015-09,-1.035062812962808,1,1.0,2
baseline_nocap_0.3,2018-02,2018-03,2018-05,-1.8052728083399967,1,2.0,3
baseline_nocap_0.3,2018-07,2019-02,2019-06,-3.3056333746667903,7,4.0,11
baseline_nocap_0.3,2021-01,2021-03,2021-06,-1.938138787425384,2,3.0,5
baseline_nocap_0.3,2021-07,2023-11,2024-06,-8.798121907998697,28,7.0,35
baseline_nocap_0.3,2024-06,2024-11,ONGOING,-6.707643537429024,5,,21
cluster_18,2015-07,2016-02,2016-07,-1.3603780907686098,7,5.0,12
cluster_18,2018-09,2019-02,2019-07,-1.8535891372011848,5,5.0,10
cluster_18,2019-07,2020-01,2020-12,-1.567360048144888,6,11.0,17
cluster_18,2021-08,2023-03,2024-04,-2.92634562300348,19,13.0,32
cluster_18,2024-06,2024-11,2025-02,-2.3134555860760546,5,3.0,8
cluster_18,2025-10,2025-11,2026-01,-1.1513047483119858,1,2.0,3
combo_18_0.1_rebal12,2015-07,2016-02,2017-03,-2.444125469374305,7,13.0,20
combo_18_0.1_rebal12,2018-08,2019-02,2019-06,-2.1540959686525234,6,4.0,10
combo_18_0.1_rebal12,2019-08,2020-01,2020-07,-1.038909758828506,5,6.0,11
combo_18_0.1_rebal12,2021-08,2023-03,2023-08,-1.9731786691514552,19,5.0,24
combo_18_0.1_rebal12,2024-06,2024-11,2025-02,-1.68750855781186,5,3.0,8
combo_18_0.1_rebal12,2025-06,2025-11,ONGOING,-1.7072332233652958,5,,9
