,index,factorName,styleName,cagr,rank_style,rank_total
0,ROIC,Return on Invested Capital,Capital Efficiency,0.01315590389020227,23.0,223.0
1,ROE,Return on Equity,Capital Efficiency,4.384769996201854e-05,27.0,240.0
2,ROA,Return on Assets,Capital Efficiency,0.006831286041669493,25.0,233.5
3,CFROIC,Cash Flow Return on Invested Capital,Capital Efficiency,0.06705327653770943,2.0,32.0
4,DA,Debt to Assets Ratio,Capital Efficiency,0.032798822209837875,15.0,153.0
5,LTDE,Long Term Debt to Equity Ratio,Capital Efficiency,0.06238164248521483,5.0,40.0
6,CapAcqRatio,Capital Acquisition Ratio,Capital Efficiency,0.04991715742445324,8.0,73.0
7,IntCovRatio,Interest Coverage Ratio,Capital Efficiency,0.060278253296242035,6.0,47.0
8,ShareChg,1Y Chg in Shares Outstanding,Capital Efficiency,0.04012320001644887,12.0,116.0
9,CashCycle,Cash Conversion Cycle,Earnings Quality,0.004206681199010243,47.0,236.0
10,NetProfitMargin,Net Profit Margin,Earnings Quality,0.004044460591734467,48.0,238.0
11,WCAccruals,Working Capital Accruals,Earnings Quality,0.059856508689539734,2.0,49.0
12,TotalAccruals,Balance Sheet Accruals,Earnings Quality,0.03128621753299177,29.0,160.0
13,ChgDeprCapex,Change in TTM Depr. to Capex,Earnings Quality,0.022824918330045962,40.0,196.0
14,InvToAsset,Asset Adjusted Capital Investments,Earnings Quality,0.04053831435023536,18.0,111.0
15,ChgSalesMargin,Sales to Gross Profit Margin Growth,Earnings Quality,0.03211327681026477,26.0,156.0
16,BP,Book to Price,Valuation,0.03400409475458521,18.0,142.0
17,CashAst,Cash to Total Assets,Valuation,0.04726381683184511,11.0,92.0
18,AssetTurn,Asset Turnover,Earnings Quality,0.058692559296114055,4.0,52.0
19,InvTurn,Inventory Turnover,Earnings Quality,0.01755875276728114,41.0,209.0
20,UnexpectedRecChg,Unexpected Receivables Change,Earnings Quality,0.04953899301622511,10.0,79.0
21,PM12M1M,12M - 1M Price Momentum,Price Momentum,0.08215742141566906,5.0,18.0
22,PM1M,1M Price Reversal,Price Momentum,0.0639703135045373,10.0,35.0
23,LogMktCap,Log Market Cap,Size,0.010418084070320743,3.0,227.0
24,AnnVol12M,12M Realized Price Volatility,Volatility,0.02604217691604216,9.0,181.0
25,AnnVol1M,1M Realized Price Volatility,Volatility,0.07128705102326527,2.0,26.0
26,HL1M,1M Price High - 1M Price Low,Price Momentum,0.03830361645333369,36.0,124.0
27,UnexpectedInvChg,Unexpected Inventory Change,Earnings Quality,0.03272639781686393,25.0,154.0
28,LogTTMSales,Log TTM Sales,Size,0.020638850445227508,2.0,201.0
29,FCFP,Free Cash Flow to Price,Valuation,0.03681870271353116,17.0,132.0
30,FCFEV,Free Cash Flow to Enterprise Value,Valuation,0.021958777842960187,29.0,197.0
31,OCFEV,Operating Cash Flow to Enterprise Value,Valuation,0.04775152385497461,9.0,89.0
32,OCFP,Operating Cash Flow to Price,Valuation,0.04045345804981948,14.0,112.0
33,FCFEqt,Free Cash Flow to Common Equity,Valuation,0.060231187706841105,6.0,48.0
34,EBITDAEV,EBITDA to Enterprise Value,Valuation,0.03391230292844316,19.0,143.0
35,EP,Earnings to Price,Valuation,0.016062734973206316,34.0,213.0
36,CFEV,Net Cash Flow to Enterprise Value,Valuation,0.024511695213373264,25.0,191.0
37,CFP,Net Cash Flow to Price,Valuation,0.06335707367101473,2.0,38.0
38,EBITDAP,EBITDA to Price,Valuation,0.04600985606134311,12.0,95.0
39,PTIP,Pretax Income Per Share to Price,Valuation,0.04018032141298744,15.0,115.0
40,AstAdjChg1YCF,1Y Chg in Asset Adjusted Cash Flow,Historical Growth,0.0353660750392113,21.0,138.0
41,AstAdjChg1YEPS,1Y Chg in Asset Adjusted EPS,Historical Growth,0.026686650290838942,29.0,178.0
42,AstAdjChg1YFCF,1Y Chg in Asset Adjusted Free Cash Flow,Historical Growth,0.03879428773445559,17.0,122.0
43,AstAdjChg1YOCF,1Y Chg in Asset Adjusted Operating Cash Flow,Historical Growth,0.045741594707546795,14.0,96.0
44,Chg1YAstTo,1Y Chg in Sales Turnover,Historical Growth,0.037934428220654404,18.0,129.0
45,Chg1YCF,1Y Chg in Cash Flow per Share,Historical Growth,0.032958839794492434,23.0,150.0
46,Chg1YEPS,1Y Chg in Earnings per Share,Historical Growth,0.029094489681458224,26.0,171.0
