factorAbbreviation,factorName,styleName,cagr,rank_style,rank_total
PM6M,6 Months Price Reversal,Price Momentum,0.12291989581828444,1.0,1.0
52WSlope,Slope of 52W Price Trend,Price Momentum,0.1048198226806738,2.0,2.0
SalesAcc,Sales Acceleration,Historical Growth,0.1012390911213028,1.0,3.0
Rev3MFY2C,3M Revision in FY2 EPS Estimate,Analyst Expectations,0.10000893745531192,1.0,4.0
RevMagFY1C,Street Revision Magnitude,Analyst Expectations,0.09848847310256348,2.0,5.0
HL52W,52W High Low,Price Momentum,0.09413869730170732,3.0,6.0
BuyToSellRecLess3MEMA,Buy-to-Sell Recommendation Ratio Less 3M EMA,Analyst Expectations,0.09375863643464943,3.0,7.0
AdjRevMagC,Adjusted Revision Magnitude,Analyst Expectations,0.09226616182189895,4.0,8.0
OEP,Operating Earnings to Price Ratio,Valuation,0.09222121750435042,1.0,9.0
FwdEPC,Forward Earnings to Price,Valuation,0.09140670422211539,2.0,10.0
EPSNumRevFY1C,Number of EPS FY1 Revisions,Analyst Expectations,0.08966390204304853,5.0,11.0
6MTTMSalesMom,6M Momentum in Trailing 12M Sales,Historical Growth,0.08882616369017082,2.0,12.0
AdjEPSNumRevFY1C,Adjusted Number of EPS FY1 Revisions,Analyst Expectations,0.08792627157866595,6.0,13.0
SUEC,Standardized Unexpected Earnings,Analyst Expectations,0.08547655481134342,7.0,14.0
PM12M1M,12M - 1M Price Momentum,Price Momentum,0.08546735128385552,4.0,15.0
Rev3MFY1C,3M Revision in FY1 EPS Estimate,Analyst Expectations,0.08473433546151243,8.0,16.0
3MSalesMom,3M Momentum in Trailing 12M Sales,Historical Growth,0.08393847584544778,3.0,17.0
RskAdjRS,Risk Adjusted Relative Strength,Price Momentum,0.08377175075903764,5.0,18.0
90DCV,90 Day Coefficient of Variation,Volatility,0.0830709110731278,1.0,19.0
BuyToSellRecLess3MSMA,Buy-to-Sell Recommendation Ratio Less 3M SMA,Analyst Expectations,0.08300947224000321,9.0,20.0
LogUnadjPrice,Log of Unadjusted Stock Price,Price Momentum,0.08283915675934161,6.0,21.0
PA52WL20DLag,Percent Above 260-Day Low,Price Momentum,0.08052489349854741,7.0,22.0
AnnVol1M,1M Realized Price Volatility,Volatility,0.07982717949248475,2.0,23.0
EbitToAst,EBIT to Assets,Capital Efficiency,0.07975759806792082,1.0,24.0
Beta60M,60M CAPM Beta,Volatility,0.07458697641367285,3.0,25.0
FCFSales,Free Cash Flow to Sales,Earnings Quality,0.0742500136235189,1.0,26.0
StdErr180D,180D Price TStat,Price Momentum,0.07339667896794788,8.0,27.0
EstDiffC,Analyst Earnings Estimate Diffusion,Analyst Expectations,0.07089025637463475,10.0,28.0
PM1M,1M Price Reversal,Price Momentum,0.07022271574296268,9.0,29.0
EPSStab,EPS Stability,Historical Growth,0.06955834538051775,4.0,30.0
50To200PrcRatio,50 Day to 200 Day Stock Price,Price Momentum,0.06872961466613559,10.0,31.0
4To52WPrcOsc,4W to 52W Price Oscillator,Price Momentum,0.06860876384443393,11.0,32.0
AdjEPSNumRevFY2C,Adj Number of EPS FY2 Revisions,Analyst Expectations,0.06855180019333762,11.0,33.0
RONA,Return on Net Tangible Assets,Valuation,0.06760008550687524,3.0,34.0
6MChgTgtPrcGap,6M Chg in Target Price Gap,Analyst Expectations,0.06758655247204537,12.0,35.0
LTDE,Long Term Debt to Equity Ratio,Capital Efficiency,0.06656052546521352,2.0,36.0
Alpha60M,60M CAPM Alpha,Price Momentum,0.0657856129928891,12.0,37.0
5DMoneyFlowVol,5-Day Money Flow/Volume,Price Momentum,0.06535448148301781,13.0,38.0
STO,Share Turnover,Price Momentum,0.06533945101770477,14.0,39.0
LTGC,Expected LTG,Analyst Expectations,0.06533763306085127,13.0,40.0
TobinQ,Tobin's Q Ratio,Capital Efficiency,0.06530740697074533,3.0,41.0
Chg1YOCF,1Y Chg in Operating Cash Flow per Share,Historical Growth,0.06526574831150689,5.0,42.0
CapExToAst,Capital Expenditure to Total Assets,Capital Efficiency,0.06400667393668447,4.0,43.0
6MChgTgtPrc,6M Chg in Target Price,Analyst Expectations,0.06373999991521084,14.0,44.0
FCFEqt,Free Cash Flow to Common Equity,Valuation,0.06334756911724937,4.0,45.0
VolAdjRtn12M,Volatility adjusted 12M return,Price Momentum,0.06284055307695557,15.0,46.0
6MAvgChg1MRecC,6M Avg Chg 1M Recommendation,Analyst Expectations,0.06254029743087774,15.0,47.0
10DMACD,10 Day MACD Trend,Price Momentum,0.06248133683024126,16.0,48.0
CFROIC,Cash Flow Return on Invested Capital,Capital Efficiency,0.06238440413849755,5.0,49.0
PRatio15To36W,15/36 Week Price Ratio,Price Momentum,0.062191916819912096,17.0,50.0
IntCovRatio,Interest Coverage Ratio,Capital Efficiency,0.0620394632331549,6.0,51.0
52WVPT20DLag,52-Week Volume Price Trend with 20-Day Lag,Price Momentum,0.061656876725043386,18.0,52.0
6MChgTgtPrcGapEMA,Target Price Gap to 6M EMA,Analyst Expectations,0.06133112895561865,16.0,53.0
EPSSurpC,Earnings Surprise,Analyst Expectations,0.060330427475591364,17.0,54.0
PrcTo260DL,Closing Price to 260 Day Low,Price Momentum,0.058603245913011914,19.0,55.0
AstAdjChg1YOCF,1Y Chg in Asset Adjusted Operating Cash Flow,Historical Growth,0.05714305873630687,6.0,56.0
14DayRSI,14-Day Relative Strength Index,Price Momentum,0.05680741622647578,20.0,57.0
IO_Concentration,Institution Ownership Concentration,Price Momentum,0.0567563590674538,21.0,58.0
Alpha12M6MPChg,6M Chg in 12M CAPM Alpha,Price Momentum,0.05557716146479108,22.0,59.0
FY2OverFY1Growth,Expected Earnings Growth: Fiscal Year 2/Fiscal Year 1,Historical Growth,0.05478559171311681,7.0,60.0
AdjAccruals,Adjusted Accruals,Earnings Quality,0.05461361904031081,2.0,61.0
