,PM6M,52WSlope,SalesAcc,BuyToSellRecLess3MEMA,Rev3MFY2C,RevMagFY1C,AdjEPSNumRevFY1C,HL52W,EstDiffC,AdjRevMagC,EPSNumRevFY1C,6MTTMSalesMom,BuyToSellRecLess3MSMA,90DCV,PM12M1M,Rev3MFY1C,3MSalesMom,OEP,AnnVol1M,SUEC,RskAdjRS,Chg1YOCF,EP,FwdEPC,StdErr180D,PA52WL20DLag,Beta60M,AdjEPSNumRevFY2C,4To52WPrcOsc,50To200PrcRatio,EPSStab,LTDE,52WVPT20DLag,CapExToAst,AstAdjChg1YFCF,5DMoneyFlowVol,FCFSales,PRatio15To36W,TobinQ,6MAvgChg1MRecC,6MChgTgtPrc,6MChgTgtPrcGap,50DVolSig,OCFRatio,10DMACD,PM1M,24MResRtnVar,IntCovRatio,Alpha60M,Chg1YFCF
PM6M,1.0,0.014505701889826356,-0.5254074392420903,-0.6833335214556351,-0.4700001903095645,-0.24512481715588377,-0.09998674261376225,-0.3504966978021556,-0.011389428900357301,-0.09845711249433231,-0.11861786917424379,-0.780840121868052,-0.5811226140456627,0.37848755602663425,-0.16010397185281502,-0.09970256029979452,-0.6181285079765644,0.4434329638601499,0.4545271067236651,-0.6225539921913331,0.5684044484942599,-0.21095488716753674,0.44334665462050554,0.8005143852036445,-0.6905128760917476,-0.24840082404574002,0.26313668604188567,-0.39601927789369856,-0.45668540314983225,-0.7592297450559783,-0.4041981175357647,0.27422338576758654,0.02256380849977546,0.2785955145286186,-0.16975985920717523,-0.11684157692775123,0.17772374142500208,-0.7105139010332155,0.44991865970685907,-0.7620708398427866,-0.1397821062024768,0.5450551386272553,-0.6375181543471966,0.09256847580843179,-0.26979863751594013,0.19213327247408052,-0.19319677871391278,-0.6256784016663176,0.08178390711359129,0.5029026824222064
52WSlope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SalesAcc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BuyToSellRecLess3MEMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rev3MFY2C,-0.008373248775855815,0.0679079145746019,-0.5420304402397763,-0.3707206417853818,1.0,0.3021232333049,-0.8478663775193057,0.0034563753757356147,-0.9297773451108717,0.591533384415201,-0.6515944271623143,-0.49139865992656395,-0.12868302245403512,-0.011066864625910415,0.11115918443335636,-0.1714218127919913,-0.6228127592918085,-0.30745678403746846,0.12445180716754516,-0.22178221087383973,0.11013638393653333,-0.3778705932607877,-0.3076339841010809,-0.5814219002749217,0.048261343665493325,0.1826271346912441,-0.5700307945322167,0.5992931221135049,0.049478204461831675,0.2565638827595973,0.3903123079900339,0.715201245532247,-0.013799871383002345,0.2603977923682215,-0.007934021089063813,0.11746938028009303,-0.2772854884493093,0.1696114177099821,-0.22513653722804539,-0.07747088769535136,-0.0001494056978996401,0.7305917288935068,0.14732191284216908,-0.2105564337016041,-0.5828716606049478,0.6883127150748175,-0.8590056832622095,-0.666501758139623,0.8979085600518967,0.17650796430781757
RevMagFY1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdjEPSNumRevFY1C,0.7910572841719326,-0.0694356508528798,-0.65442745764274,-0.4603697544397527,0.363017308116435,0.305030760358063,0.9999999999999998,-0.5359032076405039,0.6898089246619878,0.4469578790207005,0.7635639736909888,-0.6136681129771867,-0.30140371093575186,-0.05322333652350302,-0.35570007536215736,0.061254877202365665,-0.6756883760919616,0.23401820206027324,-0.440913934745971,-0.34989468080445263,-0.0325826480436069,-0.402286631456357,0.23359442370485825,0.5085903493128098,-0.7901837500349683,-0.5489040040488692,0.0582965530617251,0.6707740189783836,-0.39533986183260006,-0.8763254311588466,-0.4230521107567384,0.15219236303489322,0.0821979454736024,0.3064840394197882,-0.7376147647468321,0.3502051890945459,-0.7491447068771465,-0.9908223241536619,0.9272130507121219,-0.7530257414936594,-0.6521060822073683,0.4346117601805127,-0.2629056324990174,-0.5219997981133121,0.6480829433751035,-0.43905588843805254,-0.6372621299198867,-0.4124950169115586,0.20778907219992324,-0.4290745569499282
HL52W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EstDiffC,0.9812785154374967,0.4809044848526388,-0.6804074024519078,-0.6078835245487131,-0.062120725822066666,0.5022128677375205,0.6898089246619878,-0.3779693877521111,1.0,0.7414655900806826,0.6886372802265125,-0.9718369267438691,-0.3839015038616511,0.1888893997282349,-0.06984072462167797,0.4869483461828223,-0.7956445579184622,0.11726467921756123,-0.5162455057888948,-0.8048514127645532,0.6205240880166398,-0.7822672987135392,0.11686471383823856,0.5637425217246871,-0.7742875510652326,-0.34568717182548275,0.06959189949296767,0.2297756409697335,-0.30993008204689004,-0.7803689716547673,-0.47166151068263734,0.5515427202439565,0.2335290221484563,-0.3973983521876999,-0.6757168302326737,-0.27431120014969573,-0.757742330350045,-0.7359537022394764,0.6660220319168763,-0.7604560975706648,-0.28182284365611826,0.8470514703038279,-0.8689866824552642,-0.687083015640155,-0.05700426679576253,0.04069162637908885,-0.7833517161416274,-0.4290954598925996,0.5028388079697835,0.2875961331095975
AdjRevMagC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
