factorAbbreviation,factorName,styleName,cagr,tstat,newey_west_tstat,rank_score,rank_style,rank_total
Rev3MFY1C,3M Revision in FY1 EPS Estimate,Analyst Expectations,0.08066821599070373,3.8035721568887726,3.822679820648426,3.8035721568887726,1.0,1.0
RevMagFY1C,Street Revision Magnitude,Analyst Expectations,0.07331957367010444,3.3937521066335523,3.2922753280227837,3.3937521066335523,2.0,2.0
Rev3MFY2C,3M Revision in FY2 EPS Estimate,Analyst Expectations,0.076625020231603,3.261481443642261,3.3935375861531796,3.261481443642261,3.0,3.0
EPSNumRevFY1C,Number of EPS FY1 Revisions,Analyst Expectations,0.06770944543148372,3.155478426457131,3.2678802743711843,3.155478426457131,4.0,4.0
Chg1YAstTo,1Y Chg in Sales Turnover,Historical Growth,0.046879807712735255,3.1035031936186335,3.3047374292718446,3.1035031936186335,1.0,5.0
Chg1YOCF,1Y Chg in Operating Cash Flow per Share,Historical Growth,0.04239099802526214,2.9308553259814523,3.1938213675950737,2.9308553259814523,2.0,6.0
AdjRevMagC,Adjusted Revision Magnitude,Analyst Expectations,0.06292750471280262,2.9301487990288853,2.7610432600664963,2.9301487990288853,5.0,7.0
SUEC,Standardized Unexpected Earnings,Analyst Expectations,0.058023725940583804,2.731675562548367,2.8963221367304586,2.731675562548367,6.0,8.0
FCFSales,Free Cash Flow to Sales,Earnings Quality,0.042114606369013874,2.6686690151425956,2.7692624066881995,2.6686690151425956,1.0,9.0
OCFRatio,Operating Cash Flow Ratio,Capital Efficiency,0.04235546697202475,2.537910223358963,2.6227598647579153,2.537910223358963,1.0,10.0
6MAvgChg1MRecC,6M Avg Chg 1M Recommendation,Analyst Expectations,0.036216029461725974,2.5146830849284467,2.8796359748019134,2.5146830849284467,7.0,11.0
CFROIC,Cash Flow Return on Invested Capital,Capital Efficiency,0.05170036443605763,2.4874904905108037,2.509635012886285,2.4874904905108037,2.0,12.0
ROEStddev20Q,ROE 20 Qtr Standard Deviation,Earnings Quality,0.04776934828171786,2.447917173849462,2.2194694907425894,2.447917173849462,2.0,13.0
Chg3YEPS,3Y Chg in Earnings per Share,Historical Growth,0.05008933642414348,2.434672183876378,2.540153656480106,2.434672183876378,3.0,14.0
AdjAccruals,Adjusted Accruals,Earnings Quality,0.035236277179817144,2.408363209939807,2.8139158206301715,2.408363209939807,3.0,15.0
AstAdjChg1YFCF,1Y Chg in Asset Adjusted Free Cash Flow,Historical Growth,0.04108363221698119,2.290672053403679,2.4795073088471113,2.290672053403679,4.0,16.0
Chg3YOCF,3Y Chg in Operating Cash Flow per Share,Historical Growth,0.033916223864039585,2.2830504495795734,2.3723655784012845,2.2830504495795734,5.0,17.0
OCFEqt,Operating Cash Flow to Equity,Capital Efficiency,0.04394707762273664,2.2673383181603977,2.260553852639002,2.2673383181603977,3.0,18.0
OCFEV,Operating Cash Flow to Enterprise Value,Valuation,0.04762711605505987,2.2425164860888,2.926841114544245,2.2425164860888,1.0,19.0
ROAStddev20Q,ROA 20 Qtr Standard Deviation,Earnings Quality,0.04429166561385656,2.228572360314109,2.0958175330095608,2.228572360314109,4.0,20.0
3YAvgAnnEPSGrw,3Y Average Annual Earnings Growth,Historical Growth,0.051353205843535754,2.2104911737673794,2.07060946421128,2.2104911737673794,6.0,21.0
FCFEqt,Free Cash Flow to Common Equity,Valuation,0.038826396302027,2.209965028691177,2.093680154438318,2.209965028691177,2.0,22.0
BuyToSellRecLess3MEMA,Buy-to-Sell Recommendation Ratio Less 3M EMA,Analyst Expectations,0.0298026709716932,2.2085755288345594,2.2663291426584076,2.2085755288345594,8.0,23.0
ETO,Equity Turnover,Earnings Quality,0.0290995419730129,2.1821959374889737,2.331651756415918,2.1821959374889737,5.0,24.0
AdjEPSNumRevFY1C,Adjusted Number of EPS FY1 Revisions,Analyst Expectations,0.04755589312908204,2.1667371076107034,2.267350211616467,2.1667371076107034,9.0,25.0
PAdjChg1YSales,1Y Chg in Sales to Price,Historical Growth,0.034049325421884324,2.1255982221484575,2.0366711560795148,2.1255982221484575,7.0,26.0
SalesToInvCap,Sales to Invested Capital,Earnings Quality,0.026430367873538696,2.112395320628849,1.9950217834413164,2.112395320628849,6.0,27.0
Chg1YFCF,1Y Chg in Free Cash Flow per Share,Historical Growth,0.032519239648437726,2.0499455310252177,2.0922321535777173,2.0499455310252177,8.0,28.0
AssetTurn,Asset Turnover,Earnings Quality,0.03742476766545577,2.012877310135107,2.057804401788176,2.012877310135107,7.0,29.0
52WSlope,Slope of 52W Price Trend,Price Momentum,0.06328227458155045,1.9632154355411262,2.2723052226779252,1.9632154355411262,1.0,30.0
6MChgTgtPrc,6M Chg in Target Price,Analyst Expectations,0.06274221879199482,1.952554768983694,2.1464828693588243,1.952554768983694,10.0,31.0
NetProfitMargin,Net Profit Margin,Earnings Quality,0.044050697312854936,1.9140964624604055,1.8441322255008934,1.9140964624604055,8.0,32.0
CapAcqRatio,Capital Acquisition Ratio,Capital Efficiency,0.031650668466373766,1.9133330633466665,1.8508603187328805,1.9133330633466665,4.0,33.0
LTDE,Long Term Debt to Equity Ratio,Capital Efficiency,0.0419800011311906,1.878802308215896,2.1110335034322905,1.878802308215896,5.0,34.0
EstDiffC,Analyst Earnings Estimate Diffusion,Analyst Expectations,0.04029454957504641,1.872395443660316,1.9559925826873534,1.872395443660316,11.0,35.0
UnexpectedRecChg,Unexpected Receivables Change,Earnings Quality,0.02709097302017449,1.8678413992898122,1.8699643727269206,1.8678413992898122,9.0,36.0
GPMargin,Gross Profit Margin,Earnings Quality,0.037999038819914066,1.84604279476467,1.9909656831403968,1.84604279476467,10.0,37.0
UnexpectedInvChg,Unexpected Inventory Change,Earnings Quality,0.019842613583761715,1.833846939245021,1.8711303110041904,1.833846939245021,11.0,38.0
AstAdjChg1YOCF,1Y Chg in Asset Adjusted Operating Cash Flow,Historical Growth,0.028149423848368382,1.824011911302787,2.015017396569443,1.824011911302787,9.0,39.0
SharpeRatio,Sharpe Ratio,Price Momentum,0.049972543021653326,1.8148193457906527,1.9097801160435697,1.8148193457906527,2.0,40.0
EBITMargin,EBIT Margin,Earnings Quality,0.03809515162525634,1.7758225200795623,1.7602039301580896,1.7758225200795623,12.0,41.0
PAdjChg1YCF,1Y Chg in Cash Flow to Price,Historical Growth,0.02923245755594639,1.759644755833146,1.6750591627423024,1.759644755833146,10.0,42.0
Chg1YOPM,1Y Chg in Operating Margin,Historical Growth,0.029599566498174523,1.737004156379499,1.8297870248565598,1.737004156379499,11.0,43.0
Chg3YOPM,3Y Chg in Operating Margin,Historical Growth,0.041425408105909556,1.7331734815801068,1.738966081618239,1.7331734815801068,12.0,44.0
PAdjChg3YOCF,3Y Chg in Operating Cash Flow to Price,Historical Growth,0.023542161619644064,1.7156641414146392,1.8801416267449542,1.7156641414146392,13.0,45.0
AstAdjChg1YEPS,1Y Chg in Asset Adjusted EPS,Historical Growth,0.03247900307905627,1.7124865816170391,1.8099853036141897,1.7124865816170391,14.0,46.0
PrcTo260DL,Closing Price to 260 Day Low,Price Momentum,0.055633314091867,1.7069013423029638,1.850287719794708,1.7069013423029638,3.0,47.0
