factor,style,raw_weight,prev_weight,new_weight,weight_within_style
6MChgTgtPrcGapEMA,Analyst Expectations,0.06737519800662994,0.0664622622888693,0.06737520183426078,0.34462835403935954
Rev3MFY1C,Analyst Expectations,0.034018199890851974,0.0357720920074081,0.03401820182344906,0.17400522124792261
EPSNumRevFY1C,Analyst Expectations,0.03249029442667961,0.0333382965685542,0.03249029627247534,0.16618988918472555
RevMagFY1C,Analyst Expectations,0.03164803981781006,0.0329448910188368,0.03164804161575673,0.16188170415337
Rev3MFY2C,Analyst Expectations,0.029969297349452972,0.0155152824755847,0.029969299052029146,0.15329483137462221
ShareChg,Capital Efficiency,0.054995130747556686,0.0643982503343683,0.05499513387186748,0.21985935422456274
AdjIntCov,Capital Efficiency,0.04334172606468201,0.0505412696299291,0.043341728526954955,0.17327141101455135
IntCovRatio,Capital Efficiency,0.04254674166440964,0.0490907868996961,0.042546744081518977,0.17009322497359441
CapExToAst,Capital Efficiency,0.03900567442178726,0.0,0.03900567663772617,0.15593675790740247
LTDE,Capital Efficiency,0.037619028240442276,0.0464467360801175,0.03761903037760487,0.15039322832897684
RecTurn,Capital Efficiency,0.032629478722810745,0.0396343090077379,0.03262948057651363,0.13044602355091228
InvToAstChg1Y,Earnings Quality,0.03458574786782265,0.0310707999483261,0.034585749832662514,0.13826678943970613
SalesToEPSChg,Earnings Quality,0.027785632759332657,0.0254318132221657,0.02778563433785336,0.11108131155255291
SalesToInvCap,Earnings Quality,0.026887044310569763,0.0244127842934402,0.026887045838041045,0.10748893759803031
ETO,Earnings Quality,0.026383815333247185,0.0254491488602628,0.026383816832129686,0.10547713044228121
DepToCapex,Earnings Quality,0.025694504380226135,0.013774556795399,0.025694505839948412,0.10272140537413786
ROEStddev20Q,Earnings Quality,0.023778369650244713,0.0213422864624267,0.02377837100111007,0.09506108823249414
ROAStddev20Q,Earnings Quality,0.02153092995285988,0.0190645378434786,0.02153093117604666,0.08607628117831871
AssetTurn,Earnings Quality,0.0190845038741827,0.0186963655471513,0.01908450495838635,0.07629596702137177
AdjAccruals,Earnings Quality,0.01645558886229992,0.0298546063087531,0.016455589797153117,0.06578609920552908
UnexpectedRecChg,Earnings Quality,0.014105160720646381,0.0135981410198242,0.01410516152197016,0.056389565286494615
CapExToSales,Earnings Quality,0.013846483081579208,0.0274163200325238,0.013846483868207334,0.05535542466908333
DivperShareGrowth,Historical Growth,0.06863203644752502,0.0547964525957288,0.0686320403465577,0.40177836258641386
DIVIDENDGROWTH,Historical Growth,0.06551429629325867,0.0711461889075324,0.06551430001517042,0.3835268200271486
3YAvgAnnSalesGrw,Historical Growth,0.03667430579662323,0.0468294947503503,0.0366743078801155,0.21469481738643753
STO_6M,Price Momentum,0.023723963648080826,0.0240004579946317,0.023723964995855343,0.566029810287866
50DVolSig,Price Momentum,0.01818895898759365,0.0185039096031577,0.018188960020920786,0.4339701897121341
OCFEV,Valuation,0.051598645746707916,0.0479589282430525,0.05159864867806209,1.0
Beta60M,Volatility,0.03989114612340927,0.0525090312606919,0.03989114838965242,1.0
