factor,weight
3YAvgAnnSalesGrw,0.04252423266835077
50DVolSig,0.027405632149323223
6MChgTgtPrcGapEMA,0.04389562003508918
90DCV,0.029203976891860797
AdjAccruals,0.024209364797745554
AdjIntCov,0.0636145237160004
AssetTurn,0.020346754782893606
Beta60M,0.06644238407830924
CapExToSales,0.01588609785053697
DIVIDENDGROWTH,0.04966185894493276
DepToCapex,0.023525187307499584
DivperShareGrowth,0.043239685832714925
EPSNumRevFY1C,0.04465391403708767
ETO,0.025978527479273684
IntCovRatio,0.06192310411626279
InvToAsset,0.013702600939150883
InvToAstChg1Y,0.023561521925748848
OCFEV,0.04346067749968399
ROAStddev20Q,0.017360224996502978
ROEStddev20Q,0.01780788567275022
Rev3MFY1C,0.046089156603642614
Rev3MFY2C,0.0402340769724161
RevMagFY1C,0.044041100069114936
STO_6M,0.03802371699318817
SalesToEPSChg,0.013897336760585443
SalesToInvCap,0.028054348601878647
ShareChg,0.06558608886625453
UnexpectedRecChg,0.025670399411201486
