style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Price Momentum,Valuation,Volatility,MP
factor_weight,,,,,0.015515282476,0.032944891019,0.033338296569,0.035772092007,0.066462262289,0.039634309008,0.04644673608,0.0490907869,0.05054126963,0.064398250334,0.01359814102,0.013774556795,0.018696365547,0.019064537843,0.021342286462,0.024412784293,0.025431813222,0.02544914886,0.027416320033,0.029854606309,0.031070799948,0.04682949475,0.054796452596,0.071146188908,0.018503909603,0.024000457995,0.047958928243,0.052509031261,1.0
factor,,,,,Rev3MFY2C,RevMagFY1C,EPSNumRevFY1C,Rev3MFY1C,6MChgTgtPrcGapEMA,RecTurn,LTDE,IntCovRatio,AdjIntCov,ShareChg,UnexpectedRecChg,DepToCapex,AssetTurn,ROAStddev20Q,ROEStddev20Q,SalesToInvCap,SalesToEPSChg,ETO,CapExToSales,AdjAccruals,InvToAstChg1Y,3YAvgAnnSalesGrw,DivperShareGrowth,DIVIDENDGROWTH,50DVolSig,STO_6M,OCFEV,Beta60M,AGG
0,2026-07-31,000001 CH Equity,CNE000000040,21338001W,,,,,,0.008264462809917356,,,,,,,,,,,,0.0045871559633027525,0.01098901098901099,,0.014084507042253521,,,,,,,0.0024752475247524753,0.0013131634801980313
1,2026-07-31,000009 CH Equity,CNE000000222,24385001W,,,,,,,-0.014285714285714285,,,,,,,,,0.00423728813559322,,0.0045871559633027525,,0.008771929824561403,,,,,,,,0.0024752475247524753,-5.148622381034248e-05
2,2026-07-31,000021 CH Equity,CNE000000FK4,25137401W,,,,,,,,,-0.015151515151515152,,,,,0.011627906976744186,0.011627906976744186,0.00423728813559322,,0.0045871559633027525,,,,,,,,0.017857142857142856,,0.0024752475247524753,0.00048280565458092917
3,2026-07-31,000039 CH Equity,CNE000000644,21063102W,,,,,,,,,,0.021739130434782608,,,0.012987012987012988,,-0.011627906976744186,0.00423728813559322,,0.0045871559633027525,0.01098901098901099,0.008771929824561403,0.014084507042253521,,,,,,0.0064516129032258064,0.0024752475247524753,0.0030549519447135368
4,2026-07-31,000063 CH Equity,CNE000000TK5,24385801W,-0.010526315789473684,-0.01,-0.010638297872340425,-0.010309278350515464,,,-0.014285714285714285,,,,,,,0.011627906976744186,,0.00423728813559322,,0.0045871559633027525,,,,,,,,,,0.0024752475247524753,-0.0013079029189186297
5,2026-07-31,000066 CH Equity,CNE000000RL7,24364201W,,,,,,-0.016666666666666666,-0.014285714285714285,,,,,,,,,0.00423728813559322,,0.0045871559633027525,,,,,,,,,-0.01282051282051282,0.0024752475247524753,-0.0015887986064843744
6,2026-07-31,000100 CH Equity,CNE000001GL8,27053501W,0.010101010101010102,,,,,0.008264462809917356,-0.014285714285714285,,0.014925373134328358,,,,,0.011627906976744186,,0.00423728813559322,,0.0045871559633027525,,,,,,,,,0.0064516129032258064,0.0024752475247524753,0.001456347983292233
7,2026-07-31,000157 CH Equity,CNE000001527,25989601W,,,,,,,,,,0.021739130434782608,-0.017241379310344827,,-0.013157894736842105,,,-0.012658227848101266,,-0.013513513513513514,,,0.014084507042253521,,,0.017857142857142856,,,0.0064516129032258064,0.0024752475247524753,0.0024140462933744983
8,2026-07-31,000166 CH Equity,CNE100002FD4,31912301W,,,,,,,,,,,0.01694915254237288,0.024390243902439025,,,,0.00423728813559322,,0.0045871559633027525,0.01098901098901099,-0.017241379310344827,0.014084507042253521,,,,,,,0.0024752475247524753,0.001140758383445456
9,2026-07-31,000301 CH Equity,CNE0000012K6,32958001W,,0.009900990099009901,0.010869565217391304,,0.014492753623188406,,,,,0.021739130434782608,,,,,,,,,,,,,,,,,,0.0024752475247524753,0.0031817158346172
10,2026-07-31,000333 CH Equity,CNE100001QQ5,31610001W,,0.009900990099009901,,0.01020408163265306,,,,,,,,,,0.011627906976744186,0.011627906976744186,0.00423728813559322,,0.0045871559633027525,,,,,,0.017857142857142856,,-0.02040816326530612,0.0064516129032258064,0.0024752475247524753,0.0026012860810577195
11,2026-07-31,000338 CH Equity,CNE1000000D4,26065402W,0.010101010101010102,,,,,,,,,0.021739130434782608,,,,,,0.00423728813559322,,0.0045871559633027525,0.01098901098901099,0.008771929824561403,0.014084507042253521,,,,,-0.02040816326530612,0.0064516129032258064,0.0024752475247524753,0.002727222884008205
12,2026-07-31,000400 CH Equity,CNE0000007F6,27104801W,,,,,,,0.014285714285714285,,,,0.01694915254237288,,,0.011627906976744186,0.011627906976744186,0.00423728813559322,,,0.01098901098901099,0.008771929824561403,,,,-0.017857142857142856,,,0.0064516129032258064,0.0024752475247524753,0.001199370947546135
13,2026-07-31,000408 CH Equity,CNE000000L08,27233901W,0.010101010101010102,,,0.01020408163265306,,,,,,-0.02040816326530612,,,,-0.011627906976744186,-0.011627906976744186,,,,,,,,,,,,,0.0024752475247524753,-0.0011323825794031027
14,2026-07-31,000423 CH Equity,CNE0000006Y9,26013001W,,0.009900990099009901,,0.01020408163265306,,0.008264462809917356,0.014285714285714285,,,,0.01694915254237288,0.024390243902439025,,,,,,,0.01098901098901099,,,,,,,,0.0064516129032258064,0.0024752475247524753,0.002989394759114657
15,2026-07-31,000425 CH Equity,CNE000000FH0,25133101W,,,-0.010638297872340425,,,,,,,0.021739130434782608,0.01694915254237288,,,,,0.00423728813559322,,0.0045871559633027525,0.01098901098901099,0.008771929824561403,-0.027777777777777776,,,,,-0.02040816326530612,0.0064516129032258064,0.0024752475247524753,0.0011456224189642504
16,2026-07-31,000426 CH Equity,CNE000000D24,25990201W,0.010101010101010102,0.009900990099009901,0.010869565217391304,0.01020408163265306,,,,-0.016129032258064516,-0.015151515151515152,,,,,,,,,,,,,,,,,,,0.0024752475247524753,-0.00021728964779910306
17,2026-07-31,000513 CH Equity,CNE0000002Y8,21070302W,,,,,,,,,,,,,,0.011627906976744186,0.011627906976744186,,,,0.01098901098901099,0.008771929824561403,,,,,,-0.02040816326530612,0.0064516129032258064,0.0024752475247524753,0.0009825875725870206
18,2026-07-31,000519 CH Equity,CNE000000198,27213201W,,,,,,,,,,,0.01694915254237288,,,-0.011627906976744186,,,,,,0.008771929824561403,,,,-0.017857142857142856,,,,0.0024752475247524753,-0.0008698160040884995
19,2026-07-31,000538 CH Equity,CNE0000008X7,27143001W,,,,,,,,,,,,,,,,,,,0.01098901098901099,-0.017241379310344827,,,,,,,0.0064516129032258064,0.0024752475247524753,0.00022592894051835734
20,2026-07-31,000547 CH Equity,CNE000000DM5,27227001W,,,,,,-0.016666666666666666,,-0.016129032258064516,-0.015151515151515152,,,,-0.013157894736842105,-0.011627906976744186,-0.011627906976744186,,,,,,,,-0.02564102564102564,-0.017857142857142856,,,,0.0024752475247524753,-0.005479519174387167
21,2026-07-31,000559 CH Equity,CNE000000FB3,26022401W,0.010101010101010102,0.009900990099009901,0.010869565217391304,0.01020408163265306,,,,-0.016129032258064516,-0.015151515151515152,,-0.017241379310344827,0.024390243902439025,,0.011627906976744186,0.011627906976744186,0.00423728813559322,,0.0045871559633027525,,,,,,,,,,0.0024752475247524753,0.000574254455303769
22,2026-07-31,000564 CH Equity,CNE0000003W0,26023701W,,,,,,,-0.014285714285714285,,,,,,-0.013157894736842105,,,-0.012658227848101266,,-0.013513513513513514,,,,,,,,,-0.01282051282051282,0.0024752475247524753,-0.0020473448187419007
