style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Price Momentum,Valuation,Volatility,MP
factor_weight,,,,,0.029969299052,0.031648041616,0.032490296272,0.034018201823,0.067375201834,0.032629480577,0.037619030378,0.039005676638,0.042546744082,0.043341728527,0.054995133872,0.013846483868,0.014105161522,0.016455589797,0.019084504958,0.021530931176,0.023778371001,0.02569450584,0.026383816832,0.026887045838,0.027785634338,0.034585749833,0.03667430788,0.065514300015,0.068632040347,0.018188960021,0.023723964996,0.051598648678,0.03989114839,1.0
factor,,,,,Rev3MFY2C,RevMagFY1C,EPSNumRevFY1C,Rev3MFY1C,6MChgTgtPrcGapEMA,RecTurn,LTDE,CapExToAst,IntCovRatio,AdjIntCov,ShareChg,CapExToSales,UnexpectedRecChg,AdjAccruals,AssetTurn,ROAStddev20Q,ROEStddev20Q,DepToCapex,ETO,SalesToInvCap,SalesToEPSChg,InvToAstChg1Y,3YAvgAnnSalesGrw,DIVIDENDGROWTH,DivperShareGrowth,50DVolSig,STO_6M,OCFEV,Beta60M,AGG
0,2026-08-31,000001 CH Equity,CNE000000040,21338001W,,,,,,0.001309221424820674,,,,,,0.0017867021797552728,,,,,,,0.000744459241564697,0.0005148124924718582,,0.0023364566966030493,,,,,,,,0.00018175032811589223
1,2026-08-31,000021 CH Equity,CNE000000FK4,25137401W,,,,,,,,,-0.00253116142131997,-0.0018983710659899776,,,,,,0.0018520693326731488,0.0018520693326731488,,0.000744459241564697,0.0005148124924718582,,,-0.0041045860886269785,,,,,,,-0.00022310478214357426
2,2026-08-31,000039 CH Equity,CNE000000644,21063102W,-0.001633007368593529,0.0015656668585484349,,0.0017064009581932381,,,,,,0.0018749343861629406,0.0034515837563454136,0.0017867021797552728,-0.002812401579244411,0.0014463779550399829,0.002109301184433308,,-0.0018520693326731488,,0.000744459241564697,0.0005148124924718582,,0.0023364566966030493,,,,,,0.001054650592216654,0.0007481265284689566,0.0005333827896133585
3,2026-08-31,000063 CH Equity,CNE000000TK5,24385801W,-0.001633007368593529,,-0.0018520693326731488,,,,-0.0023364566966030493,,,,,,,,,0.0018520693326731488,,,0.000744459241564697,0.0005148124924718582,,,0.0010331271107428448,,,,,-0.002080406647660249,,-0.00019310631225961185
4,2026-08-31,000066 CH Equity,CNE000000RL7,24364201W,,,,,,-0.0025740624623592913,-0.0023364566966030493,,,,,,,,,,,,0.000744459241564697,0.0005148124924718582,,,0.0010331271107428448,,,,,-0.002080406647660249,0.0007481265284689566,-0.0001780154168322958
5,2026-08-31,000100 CH Equity,CNE000001GL8,27053501W,0.001633007368593529,,,-0.0017257918781727068,,0.001309221424820674,-0.0023364566966030493,,,0.0018749343861629406,,,,,,0.0018520693326731488,,,0.000744459241564697,0.0005148124924718582,,,0.0010331271107428448,,,,,0.001054650592216654,,0.00019198663435474162
6,2026-08-31,000157 CH Equity,CNE000001527,25989601W,,,,,,,,,,,0.0034515837563454136,,-0.002812401579244411,,-0.002109301184433308,,,,-0.0022010099315825826,-0.002024929137055976,,0.0023364566966030493,,0.0029205708707538114,0.002711958665699968,,,0.001054650592216654,,0.0005100736228839722
7,2026-08-31,000166 CH Equity,CNE100002FD4,31912301W,,0.0015656668585484349,,0.0017064009581932381,,,,,,,,0.0017867021797552728,0.002812401579244411,-0.002812401579244411,,,,,0.000744459241564697,0.0005148124924718582,,0.0023364566966030493,,,,,,,,0.0002400197469546217
8,2026-08-31,000301 CH Equity,CNE0000012K6,32958001W,0.001633007368593529,0.0015656668585484349,0.0016688976404307496,0.0017064009581932381,0.002301055837563609,,,,,,0.0034515837563454136,,,,,,,,,,,,,,,,,,0.0007481265284689566,0.0005854600856521952
9,2026-08-31,000333 CH Equity,CNE100001QQ5,31610001W,,,,,-0.0023364566966030493,,,,,,,,,,,0.0018520693326731488,0.0018520693326731488,,0.000744459241564697,0.0005148124924718582,,,,0.0029205708707538114,,,0.002664380443494705,0.001054650592216654,-0.001488918483129394,0.00020955289274253723
10,2026-08-31,000338 CH Equity,CNE1000000D4,26065402W,0.001633007368593529,,0.0016688976404307496,,,,,,,-0.0018983710659899776,0.0034515837563454136,0.0017867021797552728,,0.0014463779550399829,,,,,0.000744459241564697,0.0005148124924718582,,0.0023364566966030493,,,,,-0.003037393705583964,0.001054650592216654,0.0007481265284689566,0.00038573995751570855
11,2026-08-31,000408 CH Equity,CNE000000L08,27233901W,,-0.001581975888324981,,,,,,,,,-0.0033015148973738737,,,,,-0.0018520693326731488,-0.0018520693326731488,,,,,,,,,,,,0.0007481265284689566,-0.0002857060351956158
12,2026-08-31,000423 CH Equity,CNE0000006Y9,26013001W,,,,,,0.001309221424820674,0.0023364566966030493,,,,,0.0017867021797552728,0.002812401579244411,,,,,0.003996570665242057,,,,,,,,,-0.003037393705583964,0.001054650592216654,0.0007481265284689566,0.00030991643004138
13,2026-08-31,000425 CH Equity,CNE000000FH0,25133101W,,,,-0.0017257918781727068,,,,,,0.0018749343861629406,0.0034515837563454136,0.0017867021797552728,0.002812401579244411,0.0014463779550399829,,,,,0.000744459241564697,0.0005148124924718582,,-0.004602111675127218,,,,,-0.003037393705583964,0.001054650592216654,,0.0001572602989626825
14,2026-08-31,000426 CH Equity,CNE000000D24,25990201W,0.001633007368593529,,,,,,,,-0.00253116142131997,-0.0018983710659899776,,,,,,,,,,,,,,,,,,,0.0007481265284689566,-0.00011118764806254095
