,ddt,ticker,isin,gvkeyiid,sec,mp_ls_weight,ls_weight,factor_weight,factor,style,name,count,style_ls_weight
0,2026-08-31,000001 CH Equity,CNE000000040,21338001W,Financials,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
1,2026-08-31,000039 CH Equity,CNE000000644,21063102W,Industrials,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
2,2026-08-31,000157 CH Equity,CNE000001527,25989601W,Industrials,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
3,2026-08-31,000166 CH Equity,CNE100002FD4,31912301W,Financials,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
4,2026-08-31,000301 CH Equity,CNE0000012K6,32958001W,Materials,0.00015503410148775214,0.002301055837563609,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,66,0.0007930090858522065
5,2026-08-31,000333 CH Equity,CNE100001QQ5,31610001W,Consumer Discretionary,-0.00015741924151064062,-0.0023364566966030493,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,65,-0.0008052092256345481
6,2026-08-31,000338 CH Equity,CNE1000000D4,26065402W,Industrials,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
7,2026-08-31,000423 CH Equity,CNE0000006Y9,26013001W,Health Care,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
8,2026-08-31,000425 CH Equity,CNE000000FH0,25133101W,Industrials,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
9,2026-08-31,000513 CH Equity,CNE0000002Y8,21070302W,Health Care,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
10,2026-08-31,000538 CH Equity,CNE0000008X7,27143001W,Health Care,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
11,2026-08-31,000568 CH Equity,CNE000000GF2,24376701W,Consumer Staples,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
