ddt,ticker,isin,gvkeyiid,style,ls_weight,style_ls_weight,factor_weight
2026-08-31,000001 CH Equity,CNE000000040,21338001W,Analyst Expectations,0.0,0.0,0.0
2026-08-31,000001 CH Equity,CNE000000040,21338001W,Capital Efficiency,0.001309221424820674,0.0001707827288155166,0.03262948057651363
2026-08-31,000001 CH Equity,CNE000000040,21338001W,Earnings Quality,0.0053824306103948776,0.0005558180964312105,0.10170309637104058
2026-08-31,000001 CH Equity,CNE000000040,21338001W,MP,0.00018175032811589223,0.00018175032811589223,0.1343325769475542
2026-08-31,000001 CH Equity,CNE000000040,21338001W,Volatility,0.0,0.0,0.0
2026-08-31,000021 CH Equity,CNE000000FK4,25137401W,Analyst Expectations,0.0,0.0,0.0
2026-08-31,000021 CH Equity,CNE000000FK4,25137401W,Capital Efficiency,-0.0044295324873099475,-0.0007594668423143421,0.08588847260847393
2026-08-31,000021 CH Equity,CNE000000FK4,25137401W,Earnings Quality,0.004963410399382853,0.0004693390392963291,0.09858016484732746
2026-08-31,000021 CH Equity,CNE000000FK4,25137401W,Historical Growth,-0.0041045860886269785,-0.0008812333607446811,0.0366743078801155
2026-08-31,000021 CH Equity,CNE000000FK4,25137401W,MP,-0.00022310478214357426,-0.00022310478214357426,0.22114294533591689
2026-08-31,000021 CH Equity,CNE000000FK4,25137401W,Price Momentum,0.0,0.0,0.0
2026-08-31,000021 CH Equity,CNE000000FK4,25137401W,Valuation,0.0,0.0,0.0
2026-08-31,000021 CH Equity,CNE000000FK4,25137401W,Volatility,0.0,0.0,0.0
2026-08-31,000039 CH Equity,CNE000000644,21063102W,Analyst Expectations,0.001639060448148144,0.0003000439062642949,0.09563554249123493
2026-08-31,000039 CH Equity,CNE000000644,21063102W,Capital Efficiency,0.005326518142508355,0.0010837355023722475,0.09833686239882244
2026-08-31,000039 CH Equity,CNE000000644,21063102W,Earnings Quality,0.004273638837950608,0.0004772510049652432,0.17512672364966028
2026-08-31,000039 CH Equity,CNE000000644,21063102W,Historical Growth,0.0,0.0,0.0
2026-08-31,000039 CH Equity,CNE000000644,21063102W,MP,0.0005333827896133585,0.0005333827896133585,0.46058892560743214
2026-08-31,000039 CH Equity,CNE000000644,21063102W,Price Momentum,0.0,0.0,0.0
2026-08-31,000039 CH Equity,CNE000000644,21063102W,Valuation,0.001054650592216654,0.001054650592216654,0.05159864867806209
2026-08-31,000039 CH Equity,CNE000000644,21063102W,Volatility,0.0007481265284689566,0.0007481265284689566,0.03989114838965242
2026-08-31,000063 CH Equity,CNE000000TK5,24385801W,Analyst Expectations,-0.0034850767012666777,-0.0005581267863614398,0.062459595324504485
2026-08-31,000063 CH Equity,CNE000000TK5,24385801W,Capital Efficiency,-0.0023364566966030493,-0.0003513872654529894,0.03761903037760487
2026-08-31,000063 CH Equity,CNE000000TK5,24385801W,Earnings Quality,0.003111341066709704,0.0002932793130503904,0.0748017938462174
2026-08-31,000063 CH Equity,CNE000000TK5,24385801W,Historical Growth,0.0010331271107428448,0.00022180703637791286,0.0366743078801155
2026-08-31,000063 CH Equity,CNE000000TK5,24385801W,MP,-0.00019310631225961185,-0.00019310631225961185,0.26315337610650436
2026-08-31,000063 CH Equity,CNE000000TK5,24385801W,Price Momentum,0.0,0.0,0.0
2026-08-31,000063 CH Equity,CNE000000TK5,24385801W,Valuation,-0.002080406647660249,-0.0020804066476602487,0.05159864867806209
2026-08-31,000063 CH Equity,CNE000000TK5,24385801W,Volatility,0.0,0.0,0.0
2026-08-31,000066 CH Equity,CNE000000RL7,24364201W,Analyst Expectations,0.0,0.0,0.0
2026-08-31,000066 CH Equity,CNE000000RL7,24364201W,Capital Efficiency,-0.00491051915896234,-0.0006871634780394288,0.07024851095411849
2026-08-31,000066 CH Equity,CNE000000RL7,24364201W,Earnings Quality,0.0012592717340365552,0.0001338600724094753,0.05327086267017073
