case,full_sharpe,full_cagr,full_mdd,full_calmar,y2023_sharpe,y2023_cagr,y2023_mdd,y2023_calmar,last24_sharpe,last24_cagr,last24_mdd,last24_calmar
is30,0.506,0.0134,-0.0515,0.2608,1.3511,0.0263,-0.0101,2.5927,2.1893,0.0395,-0.0056,7.0509
is42,0.5945,0.0155,-0.0586,0.2641,1.1715,0.0214,-0.0135,1.5924,1.8058,0.0332,-0.0135,2.4693
is60,0.6512,0.0172,-0.039,0.4404,0.9265,0.0188,-0.0105,1.7882,1.585,0.0309,-0.0105,2.9304
tsm1,0.7239,0.0185,-0.0499,0.3695,1.0965,0.0219,-0.0105,2.0921,1.6149,0.0303,-0.0105,2.8928
tsm3,0.7697,0.0195,-0.0463,0.4206,1.2428,0.0236,-0.0109,2.1791,1.8204,0.0338,-0.0109,3.1111
tsm6,0.6966,0.0181,-0.0525,0.3441,1.231,0.0237,-0.0109,2.1772,1.8591,0.0344,-0.0109,3.1567
top35,0.6818,0.0179,-0.0489,0.3657,0.8611,0.0184,-0.0141,1.3043,1.3076,0.0271,-0.0141,1.9245
top45,0.7223,0.0186,-0.0501,0.372,1.0923,0.0218,-0.0131,1.6652,1.6489,0.0316,-0.0131,2.4175
top60,0.6707,0.0172,-0.0518,0.3309,1.1555,0.0218,-0.0123,1.7673,1.6829,0.0313,-0.0123,2.5398
shrink0.4,0.7348,0.0182,-0.0495,0.3682,1.232,0.0226,-0.0115,1.9567,1.824,0.0334,-0.0115,2.8923
shrink0.6,0.729,0.0186,-0.051,0.3646,1.2247,0.0229,-0.0112,2.0536,1.8278,0.0335,-0.0112,2.9995
shrink0.85,0.7132,0.0194,-0.055,0.3532,1.2071,0.0238,-0.0104,2.2884,1.8134,0.0335,-0.0104,3.2211
spread0.02,0.6566,0.0174,-0.0539,0.3233,1.0841,0.0205,-0.011,1.8682,1.611,0.0303,-0.011,2.7647
spread0.04,0.7092,0.0185,-0.0521,0.3562,1.148,0.022,-0.0111,1.9859,1.6848,0.0315,-0.0111,2.8465
spread0.08,0.6764,0.018,-0.0531,0.338,1.1774,0.0229,-0.0115,1.9855,1.7603,0.033,-0.0115,2.861
hyst0.1,0.6421,0.0167,-0.0525,0.3181,1.1438,0.0228,-0.013,1.7508,1.8328,0.0358,-0.013,2.751
hyst0.2,0.7019,0.0185,-0.0522,0.3538,1.1273,0.0224,-0.0123,1.8151,1.7852,0.0343,-0.0123,2.7799
hyst0.45,0.6532,0.0166,-0.0508,0.3259,0.9682,0.0194,-0.0116,1.6776,1.4734,0.0276,-0.0116,2.3857
scale0.2,0.7539,0.0202,-0.0504,0.4004,1.1534,0.0228,-0.0114,1.9956,1.792,0.0349,-0.0114,3.0614
scale0.4,0.7344,0.0193,-0.0516,0.373,1.1991,0.0231,-0.0111,2.0803,1.8157,0.034,-0.0111,3.0642
scale0.7,0.7087,0.0182,-0.053,0.3435,1.2592,0.0235,-0.0106,2.2127,1.85,0.0329,-0.0106,3.0932
wrebal2,0.6027,0.0156,-0.0548,0.284,1.1641,0.0213,-0.0108,1.962,1.6627,0.0287,-0.0108,2.65
wrebal6,0.4128,0.0101,-0.0483,0.2081,0.8126,0.0163,-0.0146,1.1181,1.0954,0.0197,-0.0146,1.3458
frebal9,0.6365,0.016,-0.0571,0.2806,1.2115,0.022,-0.0087,2.5303,1.7493,0.0305,-0.0087,3.5175
is36,0.6131,0.016,-0.0486,0.3287,1.081,0.0205,-0.0131,1.5683,2.1102,0.0361,-0.0062,5.8473
is54,0.6147,0.0154,-0.0401,0.3831,0.9397,0.0181,-0.0145,1.2538,1.0673,0.0215,-0.0145,1.4875
is66,0.6112,0.0168,-0.0556,0.3022,1.0186,0.0232,-0.0163,1.4246,1.4075,0.0304,-0.0163,1.8676
tsm2,0.6742,0.0176,-0.0527,0.3334,1.2249,0.0231,-0.0099,2.3289,1.8135,0.0333,-0.0099,3.3582
tsm5,0.7305,0.0191,-0.0512,0.374,1.2553,0.0243,-0.0106,2.2995,1.8687,0.0344,-0.0106,3.2589
tsm7,0.7098,0.0183,-0.0515,0.3545,1.2748,0.0239,-0.0097,2.4619,1.9568,0.0342,-0.0097,3.5264
top40,0.6632,0.0176,-0.0527,0.3348,0.9209,0.0192,-0.0138,1.3897,1.3983,0.0281,-0.0138,2.0284
top55,0.6884,0.0174,-0.0512,0.3395,1.2045,0.0224,-0.0114,1.9708,1.7731,0.0322,-0.0114,2.8337
top65,0.6548,0.0163,-0.0518,0.3144,1.2106,0.0216,-0.0135,1.5978,1.6649,0.0296,-0.0135,2.1901
shrink0.5,0.7322,0.0184,-0.0501,0.3667,1.2281,0.0227,-0.0114,1.9995,1.8267,0.0334,-0.0114,2.9417
shrink0.8,0.7185,0.0192,-0.0538,0.357,1.2126,0.0236,-0.0106,2.222,1.8205,0.0335,-0.0106,3.1631
shrink0.9,0.7064,0.0197,-0.0566,0.3481,1.1997,0.0241,-0.0102,2.372,1.8004,0.0334,-0.0102,3.2857
spread0.03,0.7131,0.0188,-0.0508,0.3702,1.1275,0.0215,-0.0109,1.9816,1.6479,0.0307,-0.0109,2.8315
spread0.065,0.7249,0.019,-0.0509,0.3734,1.178,0.0229,-0.0115,1.9879,1.7847,0.0335,-0.0115,2.9069
spread0.1,0.6644,0.0175,-0.0521,0.3359,1.1389,0.0215,-0.0113,1.9031,1.7373,0.0314,-0.0113,2.7757
hyst0.15,0.6691,0.0173,-0.0523,0.3302,1.1431,0.0226,-0.013,1.741,1.7806,0.0342,-0.013,2.6332
hyst0.35,0.6709,0.0169,-0.0499,0.3382,1.0553,0.0204,-0.0104,1.9549,1.6749,0.0298,-0.0104,2.859
hyst0.6,0.5864,0.0152,-0.0539,0.2818,0.9647,0.0188,-0.0122,1.5506,1.3828,0.0261,-0.0122,2.144
scale0.3,0.7438,0.0197,-0.0511,0.3856,1.1769,0.0229,-0.0112,2.0375,1.8041,0.0344,-0.0112,3.0613
scale0.6,0.7166,0.0185,-0.0526,0.3521,1.2402,0.0234,-0.0108,2.168,1.8385,0.0332,-0.0108,3.0803
scale0.8,0.7009,0.0179,-0.0533,0.3356,1.2772,0.0237,-0.0105,2.2577,1.8611,0.0326,-0.0105,3.1085
wrebal3,0.6868,0.0174,-0.0455,0.3819,1.0848,0.0209,-0.012,1.7366,1.5209,0.0277,-0.012,2.304
frebal3,0.5661,0.014,-0.0524,0.267,0.9963,0.02,-0.0124,1.6147,1.4472,0.0296,-0.0124,2.3933
frebal12,0.4989,0.0124,-0.0545,0.2276,0.8378,0.0157,-0.0109,1.4441,1.2428,0.0217,-0.0109,1.9917
