case,full_sharpe,full_cagr,full_mdd,full_calmar,y2023_sharpe,y2023_cagr,y2023_mdd,y2023_calmar,last24_sharpe,last24_cagr,last24_mdd,last24_calmar
is30,0.506,0.0134,-0.0515,0.2608,1.3511,0.0263,-0.0101,2.5927,2.1893,0.0395,-0.0056,7.0509
is42,0.5945,0.0155,-0.0586,0.2641,1.1715,0.0214,-0.0135,1.5924,1.8058,0.0332,-0.0135,2.4693
is60,0.6512,0.0172,-0.039,0.4404,0.9265,0.0188,-0.0105,1.7882,1.585,0.0309,-0.0105,2.9304
tsm1,0.7239,0.0185,-0.0499,0.3695,1.0965,0.0219,-0.0105,2.0921,1.6149,0.0303,-0.0105,2.8928
tsm3,0.7697,0.0195,-0.0463,0.4206,1.2428,0.0236,-0.0109,2.1791,1.8204,0.0338,-0.0109,3.1111
tsm6,0.6966,0.0181,-0.0525,0.3441,1.231,0.0237,-0.0109,2.1772,1.8591,0.0344,-0.0109,3.1567
top35,0.6818,0.0179,-0.0489,0.3657,0.8611,0.0184,-0.0141,1.3043,1.3076,0.0271,-0.0141,1.9245
top45,0.7223,0.0186,-0.0501,0.372,1.0923,0.0218,-0.0131,1.6652,1.6489,0.0316,-0.0131,2.4175
top60,0.6707,0.0172,-0.0518,0.3309,1.1555,0.0218,-0.0123,1.7673,1.6829,0.0313,-0.0123,2.5398
shrink0.4,0.7348,0.0182,-0.0495,0.3682,1.232,0.0226,-0.0115,1.9567,1.824,0.0334,-0.0115,2.8923
shrink0.6,0.729,0.0186,-0.051,0.3646,1.2247,0.0229,-0.0112,2.0536,1.8278,0.0335,-0.0112,2.9995
shrink0.85,0.7132,0.0194,-0.055,0.3532,1.2071,0.0238,-0.0104,2.2884,1.8134,0.0335,-0.0104,3.2211
spread0.02,0.6566,0.0174,-0.0539,0.3233,1.0841,0.0205,-0.011,1.8682,1.611,0.0303,-0.011,2.7647
spread0.04,0.7092,0.0185,-0.0521,0.3562,1.148,0.022,-0.0111,1.9859,1.6848,0.0315,-0.0111,2.8465
spread0.08,0.6764,0.018,-0.0531,0.338,1.1774,0.0229,-0.0115,1.9855,1.7603,0.033,-0.0115,2.861
hyst0.1,0.6421,0.0167,-0.0525,0.3181,1.1438,0.0228,-0.013,1.7508,1.8328,0.0358,-0.013,2.751
hyst0.2,0.7019,0.0185,-0.0522,0.3538,1.1273,0.0224,-0.0123,1.8151,1.7852,0.0343,-0.0123,2.7799
hyst0.45,0.6532,0.0166,-0.0508,0.3259,0.9682,0.0194,-0.0116,1.6776,1.4734,0.0276,-0.0116,2.3857
scale0.2,0.7539,0.0202,-0.0504,0.4004,1.1534,0.0228,-0.0114,1.9956,1.792,0.0349,-0.0114,3.0614
scale0.4,0.7344,0.0193,-0.0516,0.373,1.1991,0.0231,-0.0111,2.0803,1.8157,0.034,-0.0111,3.0642
scale0.7,0.7087,0.0182,-0.053,0.3435,1.2592,0.0235,-0.0106,2.2127,1.85,0.0329,-0.0106,3.0932
wrebal2,0.6027,0.0156,-0.0548,0.284,1.1641,0.0213,-0.0108,1.962,1.6627,0.0287,-0.0108,2.65
wrebal6,0.4128,0.0101,-0.0483,0.2081,0.8126,0.0163,-0.0146,1.1181,1.0954,0.0197,-0.0146,1.3458
frebal9,0.6365,0.016,-0.0571,0.2806,1.2115,0.022,-0.0087,2.5303,1.7493,0.0305,-0.0087,3.5175
