파라미터	값	full_Sharpe	full_CAGR	full_MDD	full_Calmar	Sharpe_2023이후	Sharpe_최근24M	비고
롤링 IS 윈도우(개월)	24.0	0.5408	0.012	-0.0442	0.2711	0.9261	1.7197	
롤링 IS 윈도우(개월)	30.0	0.5502	0.0136	-0.0384	0.3532	1.223	2.1323	
롤링 IS 윈도우(개월)	36.0	0.6524	0.0152	-0.0462	0.3281	1.0157	2.0449	
롤링 IS 윈도우(개월)	42.0	0.73	0.0167	-0.0395	0.4214	1.0621	1.7663	
롤링 IS 윈도우(개월)	48.0	0.8799	0.0212	-0.035	0.6054	1.2114	1.7307	최종 채택값(기준)
롤링 IS 윈도우(개월)	54.0	0.7285	0.0168	-0.0331	0.5064	1.0531	1.4351	
롤링 IS 윈도우(개월)	60.0	0.9102	0.0225	-0.0419	0.5369	0.9768	1.8385	고립 스파이크 — 실측 기각 (0.814 < 0.840, 2023이후 0.84)
롤링 IS 윈도우(개월)	66.0	0.7512	0.0197	-0.0439	0.4483	1.0867	1.68	
TS틸트 창(개월)	1.0	0.7372	0.0182	-0.0419	0.4335	0.8738	1.3885	
TS틸트 창(개월)	2.0	0.6782	0.0173	-0.0482	0.3597	1.1819	1.7715	
TS틸트 창(개월)	3.0	0.8799	0.0212	-0.035	0.6054	1.2114	1.7307	최종 채택값(기준)
TS틸트 창(개월)	4.0	0.773	0.0194	-0.0469	0.4146	1.1735	1.7667	
TS틸트 창(개월)	5.0	0.7865	0.0201	-0.0446	0.4505	1.2083	1.8292	
TS틸트 창(개월)	6.0	0.7055	0.0176	-0.0477	0.3684	1.1524	1.8052	
TS틸트 창(개월)	7.0	0.7383	0.0181	-0.0463	0.3918	1.24	2.0012	
Top N 팩터	35.0	0.7656	0.019	-0.0368	0.5156	0.7453	1.2225	
Top N 팩터	40.0	0.8368	0.0208	-0.0364	0.5702	0.9279	1.3882	
Top N 팩터	45.0	0.8877	0.0213	-0.037	0.5753	1.0691	1.6656	
Top N 팩터	50.0	0.8799	0.0212	-0.035	0.6054	1.2114	1.7307	최종 채택값(기준)
Top N 팩터	55.0	0.8154	0.0189	-0.033	0.5744	1.2062	1.6956	
Top N 팩터	60.0	0.7683	0.0182	-0.0341	0.5341	1.0762	1.5303	
Top N 팩터	65.0	0.7507	0.0173	-0.0343	0.5023	1.1924	1.568	
ERC 수축	0.0	0.8889	0.0211	-0.0341	0.619	1.2218	1.7151	
ERC 수축	0.1	0.8842	0.0211	-0.0345	0.6121	1.2163	1.7227	
ERC 수축	0.2	0.8799	0.0212	-0.035	0.6054	1.2114	1.7307	
ERC 수축	0.2	0.8799	0.0212	-0.035	0.6054	1.2114	1.7307	최종 채택값(기준)
ERC 수축	0.3	0.8759	0.0213	-0.0355	0.5988	1.2067	1.7381	
ERC 수축	0.4	0.8715	0.0213	-0.0361	0.5918	1.2015	1.7449	
ERC 수축	0.5	0.8654	0.0214	-0.0367	0.5838	1.1942	1.751	
ERC 수축	0.6	0.8565	0.0215	-0.0376	0.5732	1.181	1.7571	
ERC 수축	0.7	0.8463	0.0217	-0.0387	0.5606	1.1701	1.7617	
ERC 수축	0.8	0.8317	0.0219	-0.0403	0.5431	1.1571	1.7623	
ERC 수축	0.85	0.8208	0.022	-0.0414	0.5307	1.1488	1.7595	
ERC 수축	0.9	0.8056	0.0221	-0.0429	0.5141	1.1375	1.7514	
ERC 수축	0.95	0.7829	0.0222	-0.0452	0.4901	1.1198	1.7322	
ERC 수축	1.0	0.7419	0.0221	-0.0495	0.4474	1.0915	1.6865	
spread 임계	0.02	0.7701	0.019	-0.038	0.5013	1.0251	1.4795	
spread 임계	0.03	0.8455	0.0207	-0.0336	0.6177	1.0957	1.5107	
spread 임계	0.04	0.8478	0.0206	-0.035	0.5889	1.1211	1.5714	
spread 임계	0.05	0.8799	0.0212	-0.035	0.6054	1.2114	1.7307	최종 채택값(기준)
spread 임계	0.065	0.8606	0.021	-0.0344	0.6101	1.1449	1.6769	
spread 임계	0.08	0.7951	0.0198	-0.0388	0.5106	1.1999	1.7504	
spread 임계	0.1	0.7785	0.0194	-0.0378	0.512	1.1268	1.7197	
히스테리시스	0.1	0.7426	0.0181	-0.037	0.4884	1.1392	1.7808	
히스테리시스	0.15	0.7849	0.0188	-0.0355	0.53	1.1246	1.6947	
히스테리시스	0.2	0.8548	0.021	-0.0348	0.6028	1.1227	1.7248	
히스테리시스	0.25	0.8799	0.0212	-0.035	0.6054	1.2114	1.7307	최종 채택값(기준)
히스테리시스	0.35	0.7946	0.0183	-0.0382	0.4797	1.0385	1.6035	
히스테리시스	0.45	0.7403	0.0176	-0.0417	0.4209	0.8773	1.4248	
히스테리시스	0.6	0.6581	0.0159	-0.0389	0.4078	0.8777	1.3204	
TS틸트 scale	0.0	0.9591	0.0244	-0.034	0.7171	1.1649	1.6542	
TS틸트 scale	0.1	0.9178	0.0225	-0.0342	0.6591	1.1873	1.6955	
TS틸트 scale	0.2	0.8799	0.0212	-0.035	0.6054	1.2114	1.7307	
TS틸트 scale	0.2	0.8799	0.0212	-0.035	0.6054	1.2114	1.7307	최종 채택값(기준)
TS틸트 scale	0.3	0.8459	0.0201	-0.0378	0.5322	1.2347	1.7604	
TS틸트 scale	0.4	0.8173	0.0193	-0.0403	0.4796	1.2617	1.7862	
TS틸트 scale	0.6	0.7671	0.018	-0.0443	0.4073	1.2961	1.8277	
TS틸트 scale	0.7	0.7452	0.0175	-0.0459	0.381	1.3104	1.8471	
TS틸트 scale	0.8	0.7252	0.017	-0.0474	0.3589	1.3223	1.8634	
TS틸트 scale	0.9	0.707	0.0166	-0.0487	0.3401	1.3321	1.8771	
TS틸트 scale	1.0	0.6903	0.0162	-0.0499	0.324	1.3403	1.8887	
가중 리밸(개월)	1.0	0.8799	0.0212	-0.035	0.6054	1.2114	1.7307	최종 채택값(기준)
가중 리밸(개월)	2.0	0.5592	0.0138	-0.0546	0.2536	1.0208	1.6787	
가중 리밸(개월)	3.0	0.8035	0.02	-0.0349	0.5736	1.209	1.6698	
가중 리밸(개월)	6.0	0.4656	0.0105	-0.0375	0.2797	0.8691	1.3457	
팩터 리밸(개월)	3.0	0.6474	0.0152	-0.0408	0.3725	1.0126	1.4235	
팩터 리밸(개월)	6.0	0.8799	0.0212	-0.035	0.6054	1.2114	1.7307	최종 채택값(기준)
팩터 리밸(개월)	9.0	0.6497	0.0154	-0.049	0.3137	1.1021	1.536	
팩터 리밸(개월)	12.0	0.5394	0.013	-0.0423	0.3076	0.8397	1.3047	
