factorAbbreviation,factorName,styleName,cagr,tstat,newey_west_tstat,rank_score,rank_style,rank_total
UnexpectedRecChg,Unexpected Receivables Change,Earnings Quality,0.0712813669238681,4.014606866205163,4.21283728667547,4.014606866205163,1.0,1.0
UnexpectedInvChg,Unexpected Inventory Change,Earnings Quality,0.07697178511384872,3.7142278227494625,3.5306061562344313,3.7142278227494625,2.0,2.0
SalesToInvCap,Sales to Invested Capital,Earnings Quality,0.0806516587159758,3.473089329319992,4.575517168482706,3.473089329319992,3.0,3.0
CashAdjEV,Cash to Adjusted Enterprise Value,Valuation,0.15226075517397142,3.4522797657688415,3.470104161182707,3.4522797657688415,1.0,4.0
ETO,Equity Turnover,Earnings Quality,0.05994161767589712,3.3048225275417544,3.4587239337918896,3.3048225275417544,4.0,5.0
CQDOHtoSales,Consecutive Quarters of Declines in TTM Overhead/Sales,Historical Growth,0.08969464437604735,3.291911870559846,4.684753354859844,3.291911870559846,1.0,6.0
Rev3MFY1C,3M Revision in FY1 EPS Estimate,Analyst Expectations,0.07518587990415626,3.279309309171066,2.954809738895046,3.279309309171066,1.0,7.0
AdjInvPEGC,Adjusted Inverse PEG,Analyst Expectations,0.10340630781884541,3.2619382967255826,4.442636134173341,3.2619382967255826,2.0,8.0
ConsQPosChginTTMCF,Number of Consecutive Qtrs of Pos. Changes in TTM Cash Flows,Historical Growth,0.11054802430583699,3.1354455012223736,3.6322004772897927,3.1354455012223736,2.0,9.0
OCFRatio,Operating Cash Flow Ratio,Capital Efficiency,0.09469299395228381,2.9939764089265544,3.401780047660507,2.9939764089265544,1.0,10.0
TotalAccruals,Balance Sheet Accruals,Earnings Quality,0.07557539926475165,2.988557897542276,2.703374618687975,2.988557897542276,5.0,11.0
AstAdjChg1YFCF,1Y Chg in Asset Adjusted Free Cash Flow,Historical Growth,0.060462162899902916,2.938523781188289,2.7318912934791593,2.938523781188289,3.0,12.0
BookLev,Book Leverage,Volatility,0.08730780302227248,2.9139612498321763,3.53606702219795,2.9139612498321763,1.0,13.0
AdjRev3MFY1C,Adjusted 3M Revision in FY1 EPS Estimate,Analyst Expectations,0.08904265289041824,2.8724919376486375,3.330620043034285,2.8724919376486375,3.0,14.0
EPSSurpC,Earnings Surprise,Analyst Expectations,0.06069564656602089,2.8620684676356727,2.24883575180714,2.8620684676356727,4.0,15.0
CQPTTMCFtoSales,Num of Qtrs of Pos Chgs in TTM Cash Flows/TTM Sales,Historical Growth,0.09524783158123706,2.838736999541955,3.378349642229988,2.838736999541955,4.0,16.0
AdjRevMagC,Adjusted Revision Magnitude,Analyst Expectations,0.07698646210939097,2.8248784799476825,3.4215300517875633,2.8248784799476825,5.0,17.0
PAdjChg1YFCF,1Y Chg in Free Cash Flow to Price,Historical Growth,0.05366885208599537,2.774682786369449,2.715347179156239,2.774682786369449,5.0,18.0
CashRatio,Cash Ratio,Earnings Quality,0.09863332393989066,2.7354126158773377,2.505917509772373,2.7354126158773377,6.0,19.0
PAdjChg1YEPS,1Y Chg in Earnings to Price,Historical Growth,0.06310529333229775,2.6705632560978705,2.5311372489027604,2.6705632560978705,6.0,20.0
WCAccruals,Working Capital Accruals,Earnings Quality,0.05074924343820841,2.6517517821538825,2.9858587174238473,2.6517517821538825,7.0,21.0
AdjIntCov,Adjusted Interest Coverage Ratio,Capital Efficiency,0.06430779858581892,2.6510235093538164,3.090402594018088,2.6510235093538164,2.0,22.0
Rev3MFY2C,3M Revision in FY2 EPS Estimate,Analyst Expectations,0.07038025823815452,2.6377286627547423,2.666566525679666,2.6377286627547423,6.0,23.0
ROA,Return on Assets,Capital Efficiency,0.07437847109416995,2.6330245702302273,3.457254478073397,2.6330245702302273,3.0,24.0
GPMargin,Gross Profit Margin,Earnings Quality,0.07663631119260206,2.613217146587508,2.2707553180203863,2.613217146587508,8.0,25.0
IntCovRatio,Interest Coverage Ratio,Capital Efficiency,0.06122250965788534,2.598152532056501,3.347483696910006,2.598152532056501,4.0,26.0
CACL,Current Ratio,Earnings Quality,0.08236681032166238,2.583512157266529,2.264019795596496,2.583512157266529,9.0,27.0
PAdjChg3YFCF,3Y Chg in Free Cash Flow to Price,Historical Growth,0.051278836646107884,2.569158751571391,2.5738448938816845,2.569158751571391,7.0,28.0
AstAdjChg1YOCF,1Y Chg in Asset Adjusted Operating Cash Flow,Historical Growth,0.06270076234103383,2.550691665268338,2.5598474783641776,2.550691665268338,8.0,29.0
Chg3YAstTo,3Y Chg in Sales Turnover,Historical Growth,0.04754812399083108,2.5437836413886448,2.929226701820076,2.5437836413886448,9.0,30.0
FCFSales,Free Cash Flow to Sales,Earnings Quality,0.05961256637597989,2.5417170876478017,2.6221687951208854,2.5417170876478017,10.0,31.0
AdjAccruals,Adjusted Accruals,Earnings Quality,0.051301115022970745,2.5354959522429876,3.288871508202603,2.5354959522429876,11.0,32.0
ShortIntTrdVol,Short Interest Trading Volume,Price Momentum,0.0634091380611479,2.5341793880092536,3.614489608739346,2.5341793880092536,1.0,33.0
OPM,Operating Margin,Earnings Quality,0.08341049387875454,2.5159546677906737,2.8855195108607594,2.5159546677906737,12.0,34.0
CFROIC,Cash Flow Return on Invested Capital,Capital Efficiency,0.07014441069004751,2.5083493297351303,3.0290705606553567,2.5083493297351303,5.0,35.0
Chg1YFCF,1Y Chg in Free Cash Flow per Share,Historical Growth,0.05835384236306096,2.4996611308406838,2.554400425122235,2.4996611308406838,10.0,36.0
Chg1YOPM,1Y Chg in Operating Margin,Historical Growth,0.05486585318619208,2.4677221878256352,2.509564294429134,2.4677221878256352,11.0,37.0
PAdjChg1YSales,1Y Chg in Sales to Price,Historical Growth,0.06494212172730052,2.421292879667822,2.8633414901666407,2.421292879667822,12.0,38.0
ROE,Return on Equity,Capital Efficiency,0.054184178379323544,2.4180466297937873,2.697785354836248,2.4180466297937873,6.0,39.0
ROIC,Return on Invested Capital,Capital Efficiency,0.06424556928293335,2.4169384919124637,3.5106229043352286,2.4169384919124637,7.0,40.0
CurLiaP,Current Liability to Price,Valuation,0.12450965562603988,2.40303313676743,2.5835515737142387,2.40303313676743,2.0,41.0
ConsQPosChgTTMEPS,Number of Consecutive Qtrs of Positive Changes in TTM Quarterly Earnings,Historical Growth,0.10936950289840897,2.3954956149133397,2.606774218310569,2.3954956149133397,13.0,42.0
PAdjChg3YOCF,3Y Chg in Operating Cash Flow to Price,Historical Growth,0.04696684334440504,2.38870299920637,2.89832920698398,2.38870299920637,14.0,43.0
PAdjChg1YOCF,1Y Chg in Operating Cash Flow to Price,Historical Growth,0.05353332930818988,2.3643811670322656,2.2171665283879953,2.3643811670322656,15.0,44.0
RevMagFY1C,Street Revision Magnitude,Analyst Expectations,0.06633584441454876,2.360254882630534,2.710808847948115,2.360254882630534,7.0,45.0
EbitToAst,EBIT to Assets,Capital Efficiency,0.060703216735724874,2.35707653286665,3.3254246269865604,2.35707653286665,8.0,46.0
SUEC,Standardized Unexpected Earnings,Analyst Expectations,0.054137017150432065,2.356923052557594,2.46273644522026,2.356923052557594,8.0,47.0
CapExToAst,Capital Expenditure to Total Assets,Capital Efficiency,0.0487386779578729,2.3409438045636257,2.548781621696383,2.3409438045636257,9.0,48.0
WCapToAst,Working Capital to Total Assets,Earnings Quality,0.0710980834181767,2.334837560964769,2.557403472786418,2.334837560964769,13.0,49.0
Chg3YFCF,3Y Chg in Free Cash Flow per Share,Historical Growth,0.054160208482826544,2.3228285797696233,2.796156050129188,2.3228285797696233,16.0,50.0
OEA,Operating Earnings to Assets Ratio,Earnings Quality,0.06568832341570552,2.3112579506668207,3.134296073814662,2.3112579506668207,14.0,51.0
Alpha12M6MPChg,6M Chg in 12M CAPM Alpha,Price Momentum,0.02945020089063144,2.307425679736814,2.557172071769946,2.307425679736814,2.0,52.0
LogAssets,Log of Total Last Quarter Assets,Size,0.10135283202613254,2.3049228886222055,2.4212108374920835,2.3049228886222055,1.0,53.0
InvPEGC,Inverse PEG,Analyst Expectations,0.0672647880855457,2.282660199651333,2.8680924252002207,2.282660199651333,9.0,54.0
SGAToSalesChg1Y,Year over Year Change in SGA to Sales,Earnings Quality,0.07279863863376068,2.2805725879406125,2.1084682668231363,2.2805725879406125,15.0,55.0
AdjChgEPStoSales,Change EPS to Sales,Earnings Quality,0.058438951776715875,2.2654403605576814,2.3689623996368887,2.2654403605576814,16.0,56.0
PAdjChg1YCF,1Y Chg in Cash Flow to Price,Historical Growth,0.051223589342484166,2.2546306581275553,2.4168981053718266,2.2546306581275553,17.0,57.0
OCFIC,Operating Cash Flow to Invested Capital,Earnings Quality,0.09629238988939348,2.2450975549582215,2.773573124843985,2.2450975549582215,17.0,58.0
12QTrendTTMEPS,12-Quarter Trendline in Trailing 12-Month Earnings,Historical Growth,0.07946382384801987,2.2154593529561253,2.1212166485566284,2.2154593529561253,18.0,59.0
LTDE,Long Term Debt to Equity Ratio,Capital Efficiency,0.10960432809624132,2.2069030658239486,2.0619432221849343,2.2069030658239486,10.0,60.0
PAdjChg3YSales,3Y Chg in Sales to Price,Historical Growth,0.046501812742138604,2.186529786699805,1.777407949803842,2.186529786699805,19.0,61.0
FCFEV,Free Cash Flow to Enterprise Value,Valuation,0.05909991371283341,2.1850534089108997,2.6783331926413285,2.1850534089108997,3.0,62.0
AssetTurn,Asset Turnover,Earnings Quality,0.06200243660465321,2.1790580610586283,2.7463101758191,2.1790580610586283,18.0,63.0
EbitdaToAst,EBITDA to Assets,Capital Efficiency,0.06830658101376663,2.175704334233278,2.3561410165656964,2.175704334233278,11.0,64.0
Chg1YOCF,1Y Chg in Operating Cash Flow per Share,Historical Growth,0.05384060711957295,2.1733475099655952,2.2181756267363903,2.1733475099655952,20.0,65.0
Chg1YEPS,1Y Chg in Earnings per Share,Historical Growth,0.03984897061087933,2.1695809512886552,2.0184302673222563,2.1695809512886552,21.0,66.0
CFIC,Cash Flow to Invested Capital,Earnings Quality,0.056037584183061595,2.162207659410026,3.315441731141973,2.162207659410026,19.0,67.0
AstAdjChg1YEPS,1Y Chg in Asset Adjusted EPS,Historical Growth,0.05743764446882649,2.159161939959258,2.7694512825071156,2.159161939959258,22.0,68.0
EPSToSalesChg1Y,Year over Year Change of EPS to Sales,Earnings Quality,0.0498097472394996,2.1283370290881924,2.084818188932078,2.1283370290881924,20.0,69.0
OCFStab,Operating Cash Flow Stability,Earnings Quality,0.07287010454589371,2.1133175994136946,2.196025824202325,2.1133175994136946,21.0,70.0
CashAst,Cash to Total Assets,Valuation,0.07554324830085513,2.102706580373534,1.8981754351211633,2.102706580373534,4.0,71.0
QuickRatio,Quick Ratio,Earnings Quality,0.06318073422733295,2.1019151119709485,2.044842812714367,2.1019151119709485,22.0,72.0
CashBurn,Cash Burn Rate,Earnings Quality,0.05032093257909587,2.0985532273284084,2.1108166772844466,2.0985532273284084,23.0,73.0
AdjAstAdjChg1YFCF,Adj 1Y Chg in Asset Adjusted FCF,Historical Growth,0.06615380611782906,2.0977974206844086,1.8069553178644782,2.0977974206844086,23.0,74.0
CashEV,Cash to EV Ratio,Valuation,0.053131214416181294,2.094119895441877,2.025932229179302,2.094119895441877,5.0,75.0
ROASTAB,Return on Assets Stability,Historical Growth,0.0647594913758105,2.084271207362731,2.702385328508278,2.084271207362731,24.0,76.0
EPSStab,EPS Stability,Historical Growth,0.05810432487378758,2.0791943161101347,2.328422199629172,2.0791943161101347,25.0,77.0
WCA,Working Capital to Assets Ratio,Earnings Quality,0.08353180222417844,2.061417740268714,2.0045664965866785,2.061417740268714,24.0,78.0
DA,Debt to Assets Ratio,Capital Efficiency,0.05307848153534489,2.056186445330019,2.2124974903890853,2.056186445330019,12.0,79.0
WCTurn,Working Capital Turnover Ratio,Capital Efficiency,0.036606930608266586,2.0162200572029354,2.015316052337005,2.0162200572029354,13.0,80.0
InvPEGYC,Inverse P/E Ratio Adj for Growth and Yield,Valuation,0.06519744116325477,2.0073010694547526,2.0170506313951315,2.0073010694547526,6.0,81.0
RecTurn,Receivables Turnover Ratio,Capital Efficiency,0.03959460002777626,2.0025785284052473,2.5004611311870106,2.0025785284052473,14.0,82.0
IO_NAT,Net Arbitrage Trading,Price Momentum,0.060118921161533834,2.0005290671746145,2.4309104043181793,2.0005290671746145,3.0,83.0
12QTTMCFTrend,12-Quarter Trendline in Trailing 12-Month Cash Flows,Historical Growth,0.07504210504950692,1.9849667872532228,1.9488540917015307,1.9849667872532228,26.0,84.0
ShareChg,1Y Chg in Shares Outstanding,Capital Efficiency,0.06837603310485307,1.9739545739002415,2.1129927462010047,1.9739545739002415,15.0,85.0
CapAcqRatio,Capital Acquisition Ratio,Capital Efficiency,0.05449916809680033,1.9511246202739234,1.7317758889238812,1.9511246202739234,16.0,86.0
InvTurn,Inventory Turnover,Earnings Quality,0.05442406190337601,1.9395934747672996,2.058634915088152,1.9395934747672996,25.0,87.0
PTMargin,Pretax Profit Margin,Capital Efficiency,0.0554432226513355,1.9375625447685045,2.4130601079834024,1.9375625447685045,17.0,88.0
OCFAst,Operating Cash Flow to Asset,Earnings Quality,0.08517408169398366,1.917044422064438,2.4322916630595484,1.917044422064438,26.0,89.0
FCFP,Free Cash Flow to Price,Valuation,0.05258680699399809,1.861015496923547,2.232796531694777,1.861015496923547,7.0,90.0
AdjChgEPS,Adj 1Y Chg in Earnings per Share,Historical Growth,0.05806638156207522,1.844287019597979,2.0211016336177354,1.844287019597979,27.0,91.0
AccrualRatioCF,Accrual Ratio - Cash Flows,Earnings Quality,0.04232352354364077,1.8395919261373783,2.2178240134536686,1.8395919261373783,27.0,92.0
Alpha36M6MPChg,6M Chg in 36M CAPM Alpha,Price Momentum,0.03558737919689481,1.8227213627389716,2.257091029833757,1.8227213627389716,4.0,93.0
CapExToSales,Capital Expenditure to Sales,Earnings Quality,0.046396285216671274,1.8201475599389063,1.6760909706140639,1.8201475599389063,28.0,94.0
ROEStab,Return on Equity Stability,Historical Growth,0.044290204298606195,1.8135488639235373,1.7591048520068602,1.8135488639235373,28.0,95.0
EBITMargin,EBIT Margin,Earnings Quality,0.0661583429744621,1.8102607106596942,1.8875463114326476,1.8102607106596942,29.0,96.0
