factor,styleName,weight,cluster_id,avg_corr_in_cluster
FCFEV,Valuation,0.03344035665968115,1,0.625
CurLiaP,Valuation,0.03260143614929801,1,0.678
PAdjChg3YFCF,Historical Growth,0.022059426666948326,1,0.535
LogAssets,Size,0.01886019937414608,1,0.589
EbitdaToAst,Capital Efficiency,0.024454069451535332,2,0.798
ROA,Capital Efficiency,0.02143761422191659,2,0.798
EBITMargin,Earnings Quality,0.019310054274199084,2,0.725
OPM,Earnings Quality,0.015227480519635456,2,0.632
OEA,Earnings Quality,0.012448370064468315,2,0.796
CFIC,Earnings Quality,0.010089124058507632,2,0.689
Chg1YFCF,Historical Growth,0.024293099650767754,3,0.593
PAdjChg1YFCF,Historical Growth,0.023254712188005552,3,0.703
AstAdjChg1YFCF,Historical Growth,0.019764834008239935,3,0.72
PAdjChg1YOCF,Historical Growth,0.01870779587879079,3,0.671
AstAdjChg1YOCF,Historical Growth,0.014579995235400066,3,0.713
EPSSurpC,Analyst Expectations,0.03209022571537224,4,0.62
PAdjChg1YSales,Historical Growth,0.013150779168597637,4,0.66
PAdjChg1YEPS,Historical Growth,0.012878643906542045,4,0.73
PAdjChg1YCF,Historical Growth,0.01276202927663397,4,0.768
Chg1YOPM,Historical Growth,0.01107196092125604,4,0.54
AdjRevMagC,Analyst Expectations,0.021113523265140904,5,0.841
RevMagFY1C,Analyst Expectations,0.020496183031306143,5,0.861
Rev3MFY1C,Analyst Expectations,0.019653373317682982,5,0.844
AdjRev3MFY1C,Analyst Expectations,0.015218953329772994,5,0.727
RecTurn,Capital Efficiency,0.06885485649271944,6,
CapExToAst,Capital Efficiency,0.03623314358744879,7,0.604
CapExToSales,Earnings Quality,0.021061540562064978,7,0.604
AdjAccruals,Earnings Quality,0.054658519608547125,8,
InvPEGC,Analyst Expectations,0.030677098246743032,9,0.7
AdjInvPEGC,Analyst Expectations,0.023303554471223877,9,0.7
WCAccruals,Earnings Quality,0.030553468894899172,10,
OCFRatio,Capital Efficiency,0.028710267818558448,11,
GPMargin,Earnings Quality,0.026919248748333253,12,
BookLev,Volatility,0.025947378209375854,13,
TotalAccruals,Earnings Quality,0.02464429395828365,14,
IntCovRatio,Capital Efficiency,0.008109989927256974,15,0.607
AdjIntCov,Capital Efficiency,0.005946384069050531,15,0.599
CFROIC,Capital Efficiency,0.00426903338964102,15,0.658
CQDOHtoSales,Historical Growth,0.0033026320427399034,15,0.506
OCFIC,Earnings Quality,0.002711713431491213,15,0.603
ShortIntTrdVol,Price Momentum,0.023813157442316244,16,
PAdjChg3YSales,Historical Growth,0.023191952219629452,17,
Chg3YFCF,Historical Growth,0.02084581830476462,18,
UnexpectedInvChg,Earnings Quality,0.016865785032751972,19,
SalesToInvCap,Earnings Quality,0.012714092238997377,20,0.759
ETO,Earnings Quality,0.0028931441572785407,20,0.759
PAdjChg3YOCF,Historical Growth,0.015380277964456866,21,
CQPTTMCFtoSales,Historical Growth,0.01109292964993159,22,0.602
ConsQPosChginTTMCF,Historical Growth,0.0037599512607210625,22,0.602
CashAdjEV,Valuation,0.004575527936929882,23,
