factor,style,raw_weight,prev_weight,new_weight,weight_within_style
AdjInvPEGC,Analyst Expectations,0.022770123556256294,,0.022770123619875286,0.20387579784123208
EPSSurpC,Analyst Expectations,0.022346047684550285,,0.02234604774698442,0.20007876940281924
AdjRevMagC,Analyst Expectations,0.01861776039004326,,0.01861776044206068,0.16669697659563432
RevMagFY1C,Analyst Expectations,0.01730196923017502,,0.017301969278516162,0.1549158383928567
Rev3MFY1C,Analyst Expectations,0.015327047556638718,,0.015327047599461994,0.137233073919867
Rev3MFY2C,Analyst Expectations,0.015323302708566189,,0.015323302751379001,0.13719954384759073
DA,Capital Efficiency,0.03676045686006546,,0.03676045696277299,0.24769068169613448
ROE,Capital Efficiency,0.032164279371500015,,0.03216427946136598,0.21672179739546274
LTDA,Capital Efficiency,0.0310306865721941,,0.031030686658892838,0.20908368848145367
EbitdaToAst,Capital Efficiency,0.024478858336806297,,0.024478858405199436,0.1649376973650555
CapExToAst,Capital Efficiency,0.023978475481271744,,0.02397847554826683,0.16156613506189346
ETO,Earnings Quality,0.028859630227088928,,0.028859630307721804,0.11543850499680383
AccrualRatioBS,Earnings Quality,0.02713163010776043,,0.027131630183565326,0.1085265054722104
CapExToSales,Earnings Quality,0.02538541704416275,,0.025385417115088786,0.10154165418058185
TotalAccruals,Earnings Quality,0.022907912731170654,,0.022907912795174623,0.09163163829456784
SalesToInvCap,Earnings Quality,0.020447207614779472,,0.02044720767190831,0.08178881918569537
AdjAccruals,Earnings Quality,0.020426616072654724,,0.02042661612972603,0.0817064530285494
OEA,Earnings Quality,0.020121265202760696,,0.020121265258978862,0.08048504971732631
WCapToSales,Earnings Quality,0.018529023975133896,,0.01852902402690339,0.07411608568468998
ROAStddev20Q,Earnings Quality,0.018240628764033318,,0.018240628814997044,0.07296250499929231
WCAccruals,Earnings Quality,0.017586663365364075,,0.017586663414500645,0.07034664376517452
AccrualRatioCF,Earnings Quality,0.017279859632253647,,0.017279859680533017,0.06911942900188686
UnexpectedInvChg,Earnings Quality,0.01308417972177267,,0.013084179758329446,0.05233671167322124
AdjAstAdjChg1YFCF,Historical Growth,0.03968975692987442,,0.03968975704076632,0.1594714107604403
Chg1YFCF,Historical Growth,0.035077083855867386,,0.03507708395387163,0.14093792657235948
PAdjChg3YOCF,Historical Growth,0.028537316247820854,,0.028537316327553193,0.11466147523648301
AstAdjChg1YEPS,Historical Growth,0.025572536513209343,,0.025572536584658183,0.1027491420945134
PAdjChg1YCF,Historical Growth,0.021767258644104004,,0.021767258704921022,0.08745973049156786
PAdjChg1YEPS,Historical Growth,0.02141432836651802,,0.021414328426348963,0.08604167471042129
CQPTTMCFtoSales,Historical Growth,0.020695334300398827,,0.02069533435822092,0.08315279337373288
Chg1YOPM,Historical Growth,0.017559953033924103,,0.017559953082986045,0.07055499201354798
ChgATO,Historical Growth,0.016936594620347023,,0.016936594667667323,0.06805036983110013
PAdjChg1YSales,Historical Growth,0.011743036098778248,,0.011743036131587913,0.04718291766290416
ConsQPosChginTTMCF,Historical Growth,0.009890013374388218,,0.009890013402020597,0.03973756725292956
ShortIntTrdVol,Price Momentum,0.023437798023223877,,0.023437798088708328,1.0
LogAssets,Size,0.013828526251018047,,0.013828526289654502,1.0
CashEV,Valuation,0.029453450813889503,,0.029453450896181496,0.1602312793219514
FCFEV,Valuation,0.016465146094560623,,0.01646514614056371,0.08957291421045159
InvPEGYC,Valuation,0.015828369185328484,,0.015828369229552434,0.0861087503861968
OCFP,Valuation,0.01575930416584015,,0.015759304209871136,0.08573302611202134
EBITDAEV,Valuation,0.015587620437145233,,0.015587620480696542,0.08479904035730032
EBITDAP,Valuation,0.015086082741618156,,0.015086082783768185,0.08207059854957197
EP,Valuation,0.014245736412703991,,0.014245736452506118,0.07749898593255648
OEP,Valuation,0.013799971900880337,,0.013799971939437012,0.07507395877844975
PTIP,Valuation,0.012358913198113441,,0.012358913232643846,0.06723437892814971
CFEV,Valuation,0.01009881030768156,,0.01009881033589731,0.05493907336883084
OCFEV,Valuation,0.009169448167085648,,0.00916944819270479,0.04988320111528673
SP,Valuation,0.008825840428471565,,0.008825840453130679,0.04801392243921751
CurLiaP,Valuation,0.007139665074646473,,0.007139665094594467,0.038840870500015556
BookLev,Volatility,0.019933059811592102,,0.019933059867284428,1.0
