factor,weight
AccrualRatioCF,0.12286148591455133
AdjAccruals,0.12512645503385844
AdjAstAdjChg1YFCF,6.3692902691019865e-06
AdjEBITP,0.024537908654597283
AdjInvPEGC,7.714944649710136e-08
AstAdjChg1YEPS,5.450817007886833e-06
BookLev,7.006372227550908e-08
CFEV,0.03078300598869474
CQPTTMCFtoSales,5.622561445084382e-06
CapExToAst,8.578406688795641e-09
CapExToSales,6.1163329583563144e-09
CashEV,0.03944029405649681
Chg1YFCF,9.118685104913543e-06
Chg1YOPM,4.6239951932080544e-08
ChgATO,5.337207019035452e-06
ConsQPosChginTTMCF,5.096523336108268e-06
CurLiaP,0.020624563721004928
DA,0.15948430185501442
EBITDAEV,0.026258268255494287
EBITDAP,0.023384843728068164
EP,0.025270058605523147
EPSSurpC,1.940529786639093e-07
ETO,4.889345893753945e-07
EbitdaToAst,4.5058167981208056e-07
FCFEV,0.04676325015430612
GPMargin,0.06596630265912007
InvPEGYC,1.1940587546392375e-08
LTDA,0.12619246923670852
LogAssets,9.463913672195431e-08
OCFEV,4.925609722345887e-07
OCFP,0.02687269530414214
OEA,2.467184930945581e-07
OEP,0.024237065376876168
PAdjChg1YCF,6.370572884043908e-08
PAdjChg1YEPS,6.498778955901047e-08
PAdjChg1YSales,1.0204535835962052e-07
PAdjChg3YOCF,6.416469853434363e-06
PTIP,0.019791771324335492
ROA,3.8615460796450666e-07
ROAStddev20Q,0.019363022062997903
ROE,5.824539533445277e-07
Rev3MFY1C,4.5390228059570297e-08
RevMagFY1C,5.113168709690993e-08
SP,0.0253543712407501
SalesToInvCap,4.6519727254559445e-09
TobinQ,0.047640388408028096
TotalAccruals,4.824186973524571e-09
UnexpectedInvChg,2.650545640882486e-09
WCAccruals,5.63951192572706e-07
WCapToSales,7.341847352040058e-09
