factor,styleName,raw_weight,fitted_weight
CQPTTMCFtoSales,Historical Growth,0.019996168,0.02115472
TotalAccruals,Earnings Quality,0.022153934,0.016844368
BookLev,Volatility,0.01593661,0.01832329
Chg1YFCF,Historical Growth,0.029795228,0.031521525
CapExToAst,Capital Efficiency,0.018086638,0.020795308
UnexpectedInvChg,Earnings Quality,0.012435676,0.009455256
PAdjChg1YEPS,Historical Growth,0.016077783,0.017009309
ETO,Earnings Quality,0.031732127,0.02412699
LogAssets,Size,0.010753033,0.012363416
ROAStddev20Q,Earnings Quality,0.018474072,0.014046448
Rev3MFY1C,Analyst Expectations,0.011965771,0.013757776
OEP,Valuation,0.010535306,0.012113082
PAdjChg1YCF,Historical Growth,0.016492728,0.017448299
PAdjChg1YSales,Historical Growth,0.018179974,0.0192333
OCFEV,Valuation,0.013858518,0.015933981
PTIP,Valuation,0.009099176,0.010461878
ChgATO,Historical Growth,0.014708207,0.01556038
SalesToInvCap,Earnings Quality,0.021716071,0.016511451
CurLiaP,Valuation,0.011382618,0.013087289
CapExToSales,Earnings Quality,0.025930159,0.019715557
AdjInvPEGC,Analyst Expectations,0.018876476,0.021703435
InvPEGYC,Valuation,0.011994247,0.013790515
EP,Valuation,0.010649193,0.012244024
ConsQPosChginTTMCF,Historical Growth,0.018931884,0.020028772
DA,Capital Efficiency,0.030936558,0.03556965
PAdjChg3YOCF,Historical Growth,0.024584537,0.02600893
EBITDAP,Valuation,0.011679688,0.013428848
OEA,Earnings Quality,0.021594126,0.016418733
EbitdaToAst,Capital Efficiency,0.020544758,0.023621555
AstAdjChg1YEPS,Historical Growth,0.02095344,0.022167454
RevMagFY1C,Analyst Expectations,0.014113973,0.016227692
WCapToSales,Earnings Quality,0.020432683,0.015535645
ROE,Capital Efficiency,0.027047189,0.031097798
FCFEV,Valuation,0.025505025,0.029324679
SP,Valuation,0.013981311,0.016075162
Chg1YOPM,Historical Growth,0.013621016,0.0144102
CFEV,Valuation,0.016321035,0.018765287
LTDA,Capital Efficiency,0.025274515,0.029059647
GPMargin,Earnings Quality,0.020546813,0.015622422
CashEV,Valuation,0.024473786,0.028139
EBITDAEV,Valuation,0.011998283,0.013795156
OCFP,Valuation,0.011976826,0.013770485
ROA,Capital Efficiency,0.018143257,0.020860406
AdjEBITP,Valuation,0.011071365,0.012729421
AdjAstAdjChg1YFCF,Historical Growth,0.042994972,0.045486037
EPSSurpC,Analyst Expectations,0.017919263,0.020602867
TobinQ,Capital Efficiency,0.010698335,0.012300527
WCAccruals,Earnings Quality,0.040674858,0.030926442
AccrualRatioCF,Earnings Quality,0.041475236,0.031534992
AdjAccruals,Earnings Quality,0.05167555,0.03929063
