style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Valuation,Valuation,Valuation,Volatility,MP
factor_weight,,,,,0.003022606442,0.018880727959,0.019139175577,0.020028158421,0.021511777728,0.029013788292,0.059220161293,0.003244267748,0.004474860432,0.004507206664,0.005003517343,0.01774831973,0.020588237226,0.138883599445,0.003001067976,0.004074552353,0.004714053887,0.004846377138,0.005038241242,0.006939238374,0.012107895518,0.018527091716,0.02498484374,0.040048370797,0.041310473153,0.07835413264,0.001872200288,0.002249671521,0.002293970348,0.002381409436,0.003905404139,0.009551757617,0.011013544858,0.011747682276,0.012978051675,0.013136886888,0.01461127865,0.014643720342,0.015742014222,0.016022902991,0.016615348983,0.017606574288,0.026300193536,0.028630699903,0.028696838711,0.028614478125,0.004934915652,0.022819533519,0.059128865598,0.025289313598,1.0
factor,,,,,AdjRev3MFY1C,RevMagFY1C,AdjRevMagC,Rev3MFY1C,AdjInvPEGC,InvPEGC,EPSSurpC,CFROIC,CapAcqRatio,AdjIntCov,IntCovRatio,EbitdaToAst,OCFRatio,RecTurn,OCFIC,FCFSales,CashBurn,SalesToInvCap,AssetTurn,UnexpectedInvChg,TotalAccruals,SGAToSalesChg1Y,ETO,WCapToAst,WCAccruals,UnexpectedRecChg,ConsQPosChgTTMEPS,CQDOHtoSales,Chg1YOCF,ConsQPosChginTTMCF,PAdjChg1YFCF,CQPTTMCFtoSales,PAdjChg1YEPS,PAdjChg3YFCF,PAdjChg1YSales,Chg3YAstTo,AstAdjChg1YOCF,Chg3YFCF,PAdjChg1YOCF,Chg1YOPM,PAdjChg3YOCF,AstAdjChg1YFCF,CQDRItoSales,TTMRecInvToSales,PAdjChg3YSales,ShortIntTrdVol,FCFEV,CashAdjEV,CashAst,BookLev,AGG
0,2025-08-31,,FI0009014575,33901501W,,-0.0018667248912270739,-0.0018749122811008768,-0.0009415859032841409,,0.0019255855859954952,-0.0008381960786098038,,,,,,,,,,,,,,,-0.00309768116007971,,,,,,,0.0011841551249058171,,0.001066034912945137,,-0.0009212931036443965,-0.0021267661696069647,-0.0008618548388931451,,,,,,,,,0.006679375001421874,,,,,,,1.0650193090559488e-05
1,2025-08-31,,GB00BMVP7Y09,03647401,-0.0021267661696069647,,,-0.0009415859032841409,0.00427480000091,0.0019255855859954952,,,,,,,,-0.002035619048052381,,0.002529467456159763,,-0.0026065853664085366,-0.0035922689083277308,,,,-0.0021481407039748743,,,,,,,,,,0.0018113559325889828,0.0021267661696069647,-0.0008618548388931451,,,,,,0.002775844156435065,,-0.0068948387111451605,,-0.0012178917381509972,-0.002238115183722513,0.0018113559325889828,,,,-0.00044171324301192383
2,2025-08-31,,NL0014332678,33855701W,,,,,,0.0019255855859954952,,,0.002908027211503401,0.0032883076930076923,0.003263206107564885,,,,,0.002529467456159763,,-0.0026065853664085366,,-0.0022264583338072914,0.0021810204086275507,,-0.0021481407039748743,,,,,,,,0.001066034912945137,,,,0.001703107570083665,0.0018749122811008768,0.0023881564250893854,,0.0022617989422804227,,-0.0014061842108256577,0.001960917431610092,,,,,0.0018113559325889828,,,,0.00019648657494412606
3,2025-08-31,,US0130911037,02564501,,,,,,,,,-0.0029279452061027394,,,,,0.0010178095240261904,,-0.0025597604795868263,0.002085268293126829,0.0025907878793393936,,,,,0.002137400000455,,0.002529467456159763,,-0.0059372222234861105,0.008065660379075471,,,-0.002116237624212871,-0.005089047620130952,-0.0009212931036443965,-0.0021267661696069647,0.001703107570083665,0.0018749122811008768,,-0.0026551552800683225,-0.0022617989422804227,,-0.0014061842108256577,,,,-0.0012178917381509972,-0.002238115183722513,,-0.004913563219436781,,0.00197907407449537,9.458876020398344e-07
4,2025-08-31,1,KYG217651051,10108801W,,-0.0018667248912270739,,-0.0009415859032841409,,0.0019255855859954952,-0.0008381960786098038,,,,,,,,,,,-0.0026065853664085366,,,,,-0.0021481407039748743,,,,,,,,0.001066034912945137,,-0.0009212931036443965,0.0021267661696069647,,,,,,-0.0030753956841079134,,,,-0.003339687500710937,-0.0012178917381509972,,0.0018113559325889828,,,,-0.00027603237693297306
5,2025-08-31,1038,BMG2178K1009,21292801W,,,,,,,-0.0008381960786098038,,,,,-0.003238484849174242,,0.0010178095240261904,,-0.0025597604795868263,0.002085268293126829,-0.0026065853664085366,-0.0035922689083277308,,,,-0.0021481407039748743,,-0.0025597604795868263,,,,,,,,,,-0.0008618548388931451,-0.0018915044251814157,,,,-0.0030753956841079134,,,,,-0.0012178917381509972,,,,,-0.00197907407449537,-0.00033903880722555826
6,2025-08-31,11,HK0011000095,01549801W,,-0.0018667248912270739,-0.0018749122811008768,-0.0009415859032841409,,-0.0019342986429457013,,,,,,,,,,,,,,-0.0022264583338072914,0.0021810204086275507,-0.00309768116007971,,,,,,,,,,,-0.0009212931036443965,,-0.0008618548388931451,,,,,,,,,,-0.0012178917381509972,,,,,,-0.00020661193350595767
7,2025-08-31,1113,KYG2177B1014,31975901W,,,,,,,,-0.0030104225358521123,,-0.003339687500710937,-0.003313798450317829,-0.003238484849174242,,0.0010178095240261904,,,,,,,-0.002203505155108247,,-0.0021481407039748743,,,,,,0.0011841551249058171,,0.001066034912945137,,,-0.0021267661696069647,-0.0008618548388931451,-0.0018915044251814157,0.0023881564250893854,,0.0022617989422804227,-0.0030753956841079134,-0.0014061842108256577,0.001960917431610092,,0.006679375001421874,-0.0012178917381509972,,,,,-0.00197907407449537,4.660958748022518e-05
