style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Valuation,Valuation,Volatility,MP
factor_weight,,,,,0.020609782043,0.027404781375,0.028144268362,0.029170595289,0.029432190797,0.031140262705,0.036857777553,0.048933017099,0.00631116322,0.008897551595,0.010133920663,0.012025423095,0.045326998938,0.001549117475,0.002249695662,0.003888905569,0.008569136478,0.009596906956,0.011229155226,0.011520361207,0.013367353865,0.013637465388,0.014180060512,0.017454598573,0.020029884651,0.021600104035,0.027198273605,0.033323493591,0.042298158706,0.002695242071,0.003232523766,0.0106057483,0.012185742847,0.012245349363,0.012328412172,0.013256264763,0.013824551354,0.015196133577,0.015254646719,0.016765762502,0.017953450401,0.018333951603,0.019333823378,0.021183467512,0.021551088521,0.025746516605,0.043028747836,0.028289260405,0.057338897365,0.033570014709,1.0
factor,,,,,AdjRev3MFY1C,Rev3MFY2C,RevMagFY1C,Rev3MFY1C,AdjRevMagC,AdjInvPEGC,InvPEGC,EPSSurpC,CFROIC,OCFRatio,AdjIntCov,IntCovRatio,ROA,OCFIC,FCFSales,TotalAccruals,SGAToSalesChg1Y,AssetTurn,SalesToInvCap,ETO,OPM,UnexpectedInvChg,CACL,WCapToAst,CashRatio,WCAccruals,GPMargin,AdjAccruals,UnexpectedRecChg,ConsQPosChginTTMCF,PAdjChg3YOCF,ConsQPosChgTTMEPS,PAdjChg1YSales,CQPTTMCFtoSales,PAdjChg1YEPS,Chg3YAstTo,CQDOHtoSales,AstAdjChg1YOCF,Chg1YOPM,AstAdjChg1YFCF,Chg1YFCF,PAdjChg3YFCF,Chg3YFCF,PAdjChg1YOCF,PAdjChg3YSales,PAdjChg1YFCF,ShortIntTrdVol,CashAdjEV,FCFEV,BookLev,AGG
0,2025-11-30,,FI0009014575,33901501W,,,,,0.0015840653464246277,,0.0016340133528434224,-0.0005512932588620666,,,,,,,,,-0.0027690913307728223,,,,,0.001909215601743367,,,,,,,,,,,-0.0007701718987924411,,-0.000527254308620988,,,0.002061085024609317,-0.002812022979311936,0.001960816023412107,,-0.00046746258290108214,,0.0016639952492258706,-0.0006341800075720975,0.0009830649439870997,,,0.001563581742807068,,0.00021556970315338568
1,2025-11-30,,GB00BMVP7Y09,03647401,0.0034879900416465363,-0.0007573089025704378,,0.0015840653464246277,0.0015840653464246277,0.003701540452359589,0.0016340133528434224,0.0016122265081388433,,,,,,,0.002211896123970974,-0.002049440476447682,,-0.0035563820032474486,-0.002434570230411005,-0.001971472632234999,0.0039005480035617184,,,,,,0.0027274508596333816,0.0029733685600921295,,,0.002609719167850646,,-0.0007701718987924411,,0.0015568710915503854,,,,,-0.0019502740017808592,,0.001832075577430504,,-0.0005632778949242853,-0.0006341800075720975,-0.001960816023412107,-0.001813754821656199,,0.001563581742807068,,0.0004912409009500265
2,2025-11-30,,JP3435350008,28647201W,,,,,,,0.0016340133528434224,,,,,,,,,,-0.0027690913307728223,,,,,,,,,,-0.0008555447271963202,,,,0.002609719167850646,,-0.0007701718987924411,,0.0015568710915503854,,,,,,,,,0.0016639952492258706,0.0018602613555448193,,,,0.001563581742807068,0.001671663430097879,0.00025258431607187677
3,2025-11-30,,NL0014332678,33855701W,,,0.0015840653464246277,0.0015840653464246277,0.0015840653464246277,,0.0016340133528434224,,-0.002628630176313332,,,,,,0.002211896123970974,0.002037926765905841,,,-0.002434570230411005,-0.001971472632234999,,-0.001909215601743367,,,,,,,0.001314315088156666,,-0.0008912800106418668,,,,,0.0007903071118327664,,0.002061085024609317,,0.001960816023412107,0.003664151154861008,-0.00046746258290108214,,0.0016639952492258706,,0.0009830649439870997,,,0.001563581742807068,,0.00045267478548789323
4,2025-11-30,1,KYG217651051,10108801W,,-0.0007573089025704378,,-0.0005366138525610055,,,0.0016340133528434224,-0.0005512932588620666,,,,,,,,,,,-0.002434570230411005,-0.001971472632234999,,,,,,,,,,,,,,,-0.000527254308620988,,,,-0.002812022979311936,,,0.001832075577430504,,0.0016639952492258706,-0.0006341800075720975,0.0009830649439870997,,,0.001563581742807068,,6.753121414269391e-05
5,2025-11-30,1038,BMG2178K1009,21292801W,,-0.0007573089025704378,,,,,,-0.0005512932588620666,,,,,,,-0.002225466038841962,,,-0.0035563820032474486,-0.002434570230411005,-0.001971472632234999,,,,,0.006595472078749814,,,,,,,,-0.0007701718987924411,,,-0.0015703504949404318,,,-0.002812022979311936,,,,,,-0.0006341800075720975,,,,,-0.0016950979641646717,-0.0001492912691873688
6,2025-11-30,11,HK0011000095,01549801W,,-0.0007573089025704378,,-0.0005366138525610055,0.0015840653464246277,,,,,,,,,,,0.002037926765905841,-0.0027690913307728223,,,,,,,,,0.0024023242670943032,0.0027274508596333816,,,,,,-0.0007701718987924411,,-0.000527254308620988,0.0007903071118327664,,,,,,,,,-0.0006341800075720975,,,,,,0.00010140820081128641
7,2025-11-30,1113,KYG2177B1014,31975901W,,,,,,,,,,,-0.002902007714649918,-0.002902007714649918,,,,,,,,,,,,0.007718105624068931,,,,,,,,,0.0015177864616369864,,,-0.0015703504949404318,,0.002061085024609317,,0.001960816023412107,,-0.00046746258290108214,,0.0016639952492258706,-0.0006341800075720975,0.0009830649439870997,,,0.001563581742807068,-0.0016950979641646717,0.00020335489240483036
