style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Size,Valuation,Valuation,Valuation,Volatility,MP
factor_weight,,,,,0.01521895333,0.019653373318,0.020496183031,0.021113523265,0.023303554471,0.030677098247,0.032090225715,0.00426903339,0.005946384069,0.008109989927,0.021437614222,0.024454069452,0.028710267819,0.036233143587,0.068854856493,0.002711713431,0.002893144157,0.010089124059,0.012448370064,0.012714092239,0.01522748052,0.016865785033,0.019310054274,0.021061540562,0.024644293958,0.026919248748,0.030553468895,0.054658519609,0.003302632043,0.003759951261,0.011071960921,0.01109292965,0.012762029277,0.012878643907,0.013150779169,0.014579995235,0.015380277964,0.018707795879,0.019764834008,0.020845818305,0.022059426667,0.02319195222,0.023254712188,0.024293099651,0.023813157442,0.018860199374,0.004575527937,0.032601436149,0.03344035666,0.025947378209,1.0
factor,,,,,AdjRev3MFY1C,Rev3MFY1C,RevMagFY1C,AdjRevMagC,AdjInvPEGC,InvPEGC,EPSSurpC,CFROIC,AdjIntCov,IntCovRatio,ROA,EbitdaToAst,OCFRatio,CapExToAst,RecTurn,OCFIC,ETO,CFIC,OEA,SalesToInvCap,OPM,UnexpectedInvChg,EBITMargin,CapExToSales,TotalAccruals,GPMargin,WCAccruals,AdjAccruals,CQDOHtoSales,ConsQPosChginTTMCF,Chg1YOPM,CQPTTMCFtoSales,PAdjChg1YCF,PAdjChg1YEPS,PAdjChg1YSales,AstAdjChg1YOCF,PAdjChg3YOCF,PAdjChg1YOCF,AstAdjChg1YFCF,Chg3YFCF,PAdjChg3YFCF,PAdjChg3YSales,PAdjChg1YFCF,Chg1YFCF,ShortIntTrdVol,LogAssets,CashAdjEV,CurLiaP,FCFEV,BookLev,AGG
0,2026-02-28,,FI0009014575,33901501W,,,0.0010341968220479172,,,0.0010387729141808724,-0.0003999364201105233,,,,,,,0.0005796609348268573,,,,,,,,0.0012355930452888273,,0.0008536824676540989,,,,,,,-0.0008237286968592181,,-0.00039257973010849026,-0.0003595140560564735,-0.0005037825721134703,0.001449152337067143,,0.0010919194353715218,0.001268987451918255,,-0.0003056805711001005,-0.0006844392962241317,0.0010919194353715218,,,,,,,,0.00014407905282038834
1,2026-02-28,,GB00BMVP7Y09,03647401,0.0022792493068434674,0.0010341968220479172,0.0010341968220479172,,0.002637782905672777,0.0010387729141808724,,,,,-0.0008475186953244664,-0.0005359878506960666,,,,-0.001924284250859649,-0.001282856167239766,-0.0006293905592624053,-0.0008475186953244664,-0.0014858397380055517,0.002497475304307204,,0.0021940437252792257,,-0.0008536824676540989,-0.0005576310655697796,,0.001956355655040643,,,,,-0.00039257973010849026,-0.0003595140560564735,-0.0005037825721134703,,,-0.0010970218626396128,-0.0012758841228525932,,-0.0003056805711001005,-0.0006844392962241317,-0.0010970218626396128,-0.0003798748844739113,,,,-0.0014228041127568314,0.0011621914782419663,0.0010970218626396128,0.00014641104784569945
2,2026-02-28,,JP3435350008,28647201W,,0.0010341968220479172,0.0010341968220479172,0.0010341968220479172,,0.0010387729141808724,,,,,,,,0.0005796609348268573,0.001268987451918255,,,,,,,,,,,-0.0005576310655697796,,,,,,,0.0011396246534217337,0.0010671030845676235,-0.0005037825721134703,,,0.0010919194353715218,,,,0.001349210796579754,0.0010919194353715218,,,,,,0.0011621914782419663,0.0010970218626396128,0.0003546935780337036
3,2026-02-28,,NL0014332678,33855701W,,-0.0005240238361716008,,,,,,-0.0018781014288390175,0.0009504561886837133,,,-0.0005359878506960666,,0.0005796609348268573,,,-0.001282856167239766,-0.0006293905592624053,,-0.0014858397380055517,,-0.0006310824693679495,,0.0008536824676540989,0.0016889401338480374,,,,,,,,,,,0.001449152337067143,-0.002347626786048772,0.0010919194353715218,0.001268987451918255,,-0.0003056805711001005,,0.0010919194353715218,,,,,0.0014228041127568314,0.0011621914782419663,,0.00014966633349456585
4,2026-02-28,1,KYG217651051,10108801W,,-0.0005240238361716008,-0.0010387729141808724,-0.0010387729141808724,,,-0.0003999364201105233,,,,,,,0.0005796609348268573,,,-0.001282856167239766,,,-0.0014858397380055517,,-0.0006310824693679495,,,,,,,,,-0.0008237286968592181,,-0.00039257973010849026,-0.0003595140560564735,,,,0.0010919194353715218,,,0.0012039111723327034,-0.0006844392962241317,0.0010919194353715218,-0.0003798748844739113,,0.0009390507144195088,,0.0014228041127568314,0.0011621914782419663,,5.28759490394484e-05
5,2026-02-28,1038,BMG2178K1009,21292801W,,,,,,,-0.0003999364201105233,,,,,-0.0005359878506960666,,0.0005796609348268573,0.001268987451918255,,-0.001282856167239766,-0.0006293905592624053,,-0.0014858397380055517,,,,0.0008536824676540989,,,,,,,-0.0008237286968592181,,-0.00039257973010849026,,-0.0005037825721134703,,,,,,,-0.0006844392962241317,,,,-0.0009390507144195088,,-0.0014228041127568314,,-0.0011073711254947036,-5.844314004951474e-05
6,2026-02-28,1113,KYG2177B1014,31975901W,,,,,,,,,-0.0019401874264865884,-0.001893247408103848,,-0.0005359878506960666,,,,,,,,,,,,,,,,,,,,,,,0.0009947571127325303,0.001449152337067143,-0.002347626786048772,0.0010919194353715218,0.001268987451918255,,-0.0003056805711001005,-0.0006844392962241317,0.0010919194353715218,,,0.0009390507144195088,,,0.0011621914782419663,-0.0011073711254947036,3.423069830814896e-05
7,2026-02-28,12,HK0012000102,01569701W,,,,,,,,-0.0018781014288390175,-0.0019401874264865884,,,-0.0005359878506960666,,,-0.0012899048274993253,,-0.001282856167239766,,,-0.0014858397380055517,,,,,,,,,,,,,,,-0.0005037825721134703,,0.0023243829564839327,,,,0.0012039111723327034,-0.0006844392962241317,,-0.0003798748844739113,,0.0009390507144195088,,,,,-9.653235542339153e-05
8,2026-02-28,1299,HK0000069689,29573501W,,,,,,-0.0010527474376900321,0.001173813393024386,,,,,,,,0.001268987451918255,,,,,,,,,,-0.0008536824676540989,-0.0005576310655697796,,,,,,,-0.00039257973010849026,,,,,,,,,-0.0006844392962241317,,,,,,-0.0014228041127568314,,,-1.0651765576771088e-05
9,2026-02-28,1308,KYG8187G1055,29553601W,,0.0010341968220479172,,0.0010341968220479172,,-0.0010527474376900321,0.001173813393024386,,,,,,,-0.0017011788304701245,,,,,,,,,,,,,,,,,0.0016302963792005358,,0.0011396246534217337,0.0010671030845676235,0.0009947571127325303,0.001449152337067143,,0.0010919194353715218,0.001268987451918255,,-0.0003056805711001005,-0.0006844392962241317,0.0010919194353715218,0.0014764948339929384,,-0.0009390507144195088,,-0.0014228041127568314,0.0011621914782419663,-0.0011073711254947036,9.663004312495555e-05
10,2026-02-28,16,HK0016000132,01942101W,,,,,,,,,0.0009504561886837133,0.0018631958619434695,,-0.0005359878506960666,,,,,,,,,,,,,,,,,,,,,,,0.0009947571127325303,0.001449152337067143,0.0023243829564839327,0.0010919194353715218,0.001268987451918255,,0.0012039111723327034,-0.0006844392962241317,0.0010919194353715218,0.0014764948339929384,,0.0009390507144195088,,,0.0011621914782419663,-0.0011073711254947036,0.00022291046552322066
11,2026-02-28,1605,JP3294460005,27119601W,,0.0010341968220479172,,0.0010341968220479172,,-0.0010527474376900321,0.001173813393024386,,,,,,,0.0005796609348268573,,,-0.001282856167239766,,,,,,,0.0008536824676540989,,,,-0.001956355655040643,,,-0.0008237286968592181,,,,,,0.0023243829564839327,,-0.0012758841228525932,,-0.0003056805711001005,0.001349210796579754,-0.0010970218626396128,-0.0003798748844739113,,,,,0.0011621914782419663,,5.957760837954568e-06
