style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Volatility,MP
factor_weight,,,,,0.012799606381,0.016113282764,0.01758044175,0.017953469961,0.0235096416,0.025328495923,0.027422958391,0.032082665017,0.003895476609,0.004473951548,0.004492584053,0.006922916825,0.013458782516,0.086020147428,0.004638648957,0.006003643256,0.012214151878,0.014385331111,0.025432310448,0.026603387093,0.030837462547,0.032624813953,0.032902050051,0.035459640599,0.004357183258,0.004365808236,0.004589647887,0.005252935344,0.005587656861,0.005849166181,0.006866475884,0.008617169037,0.009209146524,0.019144761893,0.02003019446,0.02049765319,0.021983427451,0.023413601756,0.031893293614,0.036006028916,0.02541163695,0.01886624802,0.019029637387,0.019451772373,0.019914237351,0.027044819082,0.030056684558,0.030609411456,0.045056986578,0.023738555096,1.0
factor,,,,,AdjRev3MFY1C,Rev3MFY1C,RevMagFY1C,AdjRevMagC,InvPEGC,AdjInvPEGC,EPSSurpC,SUEC,ROA,EbitdaToAst,CapExToAst,OCFRatio,RecTurn,IntCovRatio,UnexpectedInvChg,GPMargin,WCAccruals,OEA,TotalAccruals,SalesToInvCap,ETO,EPSToSalesChg1Y,WCapToSales,CapExToSales,ConsQPosChginTTMCF,DivperShareGrowth,PAdjChg3YOCF,PAdjChg3YFCF,PAdjChg1YSales,AstAdjChg1YOCF,AstAdjChg1YFCF,PAdjChg1YOCF,PAdjChg1YFCF,Chg1YOPM,CQPTTMCFtoSales,AstAdjChg1YEPS,PAdjChg1YEPS,PAdjChg1YCF,Chg1YFCF,AdjAstAdjChg1YFCF,ShortIntTrdVol,OEP,PTIP,InvPEGYC,EP,CFP,CFEV,60MAVGTTMEP,FCFEV,BookLev,AGG
0,2026-05-31,,FI0009014575,33901501W,,-0.0007730803175737824,-0.0006641304677208055,-0.001069987975772409,0.0020319955136228317,,-0.0007730803175737824,,,,0.001276585077722701,,,,0.0022600766427029453,,,,,,,-0.0004712500233721035,,0.0013302553212305624,,,,,,0.002636756083153436,0.002295207367719053,0.0021296876056239294,0.0022600766427029453,-0.0013105769880762642,,-0.0008754447074501527,-0.0006986987728229925,-0.000715630083957637,,,,,,0.0022600766427029453,,,,,,,7.040361436780546e-05
1,2026-05-31,,GB00BMVP7Y09,03647401,,-0.0007730803175737824,-0.0006641304677208055,,0.0020319955136228317,0.0050338070678383785,,,-0.0015652827631440892,,,,-0.0022148751098488863,,,-0.0010751820921596534,-0.0016590824792875555,-0.0023192409527213473,-0.0016653196314653281,-0.002545833459596421,-0.0025169035339191893,-0.0004712500233721035,-0.0014914983904706306,0.0013302553212305624,,,,,-0.0009286688091609587,-0.0013342621143667991,-0.0023071615727592565,-0.002150364184319307,-0.0011476036838595266,,,-0.0008754447074501527,-0.0006986987728229925,-0.000715630083957637,,,,-0.002237247585705946,,,-0.0015016102439653466,,,,0.002684697102847135,0.0020413595482478217,-0.00016494303235162889
2,2026-05-31,1,KYG217651051,10108801W,,0.002295207367719053,0.00196006646889282,,,,-0.0007730803175737824,,,,0.001276585077722701,,,,-0.0011718915925126383,,,,,-0.002545833459596421,-0.0025169035339191893,-0.0004712500233721035,,,,,,,-0.0009286688091609587,,,0.0021296876056239294,0.0022600766427029453,,,-0.0008754447074501527,-0.0006986987728229925,-0.000715630083957637,-0.0007650691225730178,,,,,-0.0011596204763606737,,,,,0.002684697102847135,,-5.0576146829104896e-05
3,2026-05-31,1038,BMG2178K1009,21292801W,,,0.00196006646889282,,,,-0.0007730803175737824,-0.001121455751822221,,,0.001276585077722701,,0.0022038558306954094,,,,,,,-0.002545833459596421,-0.0025169035339191893,0.0018534519747689425,,0.0013302553212305624,,-0.002171446186126359,,,-0.0009286688091609587,,,,,-0.0013105769880762642,,-0.0008754447074501527,,-0.000715630083957637,,,,,-0.0011565927466573819,-0.0011596204763606737,,-0.0028214969552215114,-0.004520153285405891,,,-0.002060348939394313,-0.0004163279760889399
4,2026-05-31,1113,KYG2177B1014,31975901W,,,,,,,,,,-0.0012729167297982106,,,,-0.0036914585164148105,,,,,,,,,-0.0014914983904706306,,,-0.002171446186126359,0.005986148945537531,0.003885745806752432,0.0018380706305799886,0.002636756083153436,0.002295207367719053,0.0021296876056239294,,,,,,,0.002953166813131849,,,,0.003407500168998287,0.0022600766427029453,,,,,0.002684697102847135,-0.002060348939394313,9.49697826002258e-07
5,2026-05-31,12,HK0012000102,01569701W,,,,,,,,,,-0.0012729167297982106,,,,,,,,,,-0.002545833459596421,-0.0025169035339191893,,-0.0014914983904706306,,,-0.002171446186126359,,,-0.0009286688091609587,-0.0013342621143667991,,-0.002150364184319307,,,,,,,-0.0007650691225730178,,,,-0.0011565927466573819,,,,,,,,-0.00029547088682356054
6,2026-05-31,1299,HK0000069689,29573501W,,-0.0007730803175737824,-0.0006641304677208055,-0.001069987975772409,,,-0.0007730803175737824,-0.001121455751822221,,,,,,,,-0.0010751820921596534,-0.0016590824792875555,,-0.0016653196314653281,,,-0.0004712500233721035,-0.0014914983904706306,,,-0.002171446186126359,,,,,,,,,,,-0.0006986987728229925,-0.000715630083957637,,,,-0.002237247585705946,-0.0011565927466573819,-0.0011596204763606737,-0.0015016102439653466,-0.0028214969552215114,,-0.0028764611816219305,,,-0.0005096040930497606
7,2026-05-31,1308,KYG8187G1055,29553601W,,0.002295207367719053,0.00196006646889282,0.002109404866522749,-0.0010374122294374176,,,,,,,,,,,,,,,,,0.0018534519747689425,,,,,,,,0.002636756083153436,-0.0023071615727592565,0.0021296876056239294,-0.0011476036838595266,-0.0013105769880762642,,0.0025904972045016216,0.002060348939394313,0.002109404866522749,-0.0007650691225730178,,,,,-0.0011596204763606737,,,,,,-0.002060348939394313,0.0001795805868789511
8,2026-05-31,16,HK0016000132,01942101W,,,,,,,,,,-0.0012729167297982106,,,,0.003660950594791548,,,,,,,,,-0.0014914983904706306,,,-0.002171446186126359,0.005986148945537531,0.003885745806752432,0.0018380706305799886,0.002636756083153436,0.002295207367719053,0.0021296876056239294,,,,,,,0.002953166813131849,,,,,,,,,,0.002684697102847135,-0.002060348939394313,0.0005245990245124436
9,2026-05-31,1605,JP3294460005,27119601W,,,,,-0.0010374122294374176,,-0.0007730803175737824,-0.001121455751822221,,,0.001276585077722701,,-0.0022148751098488863,,-0.0011718915925126383,,,,,,-0.0025169035339191893,-0.0004712500233721035,,0.0013302553212305624,,,,,,,,,,-0.0013105769880762642,,,,,-0.0007650691225730178,,,,,,,,,,,-0.002060348939394313,-0.0002623544898347061
10,2026-05-31,1801,JP3443600006,10094901W,,0.002295207367719053,0.00196006646889282,0.002109404866522749,,,0.0022833764019060685,,,,0.001276585077722701,,,,0.0022600766427029453,,,,,0.0025312858398272987,,0.0018534519747689425,,0.0013302553212305624,,,,,0.0018380706305799886,-0.0013342621143667991,,-0.002150364184319307,,0.003851956712780672,,0.0025904972045016216,0.002060348939394313,0.002109404866522749,,,,,,,,,,,-0.0013672068579314114,,0.0005069888977861518
11,2026-05-31,1802,JP3190000004,10091901W,,0.002295207367719053,0.00196006646889282,0.002109404866522749,,,0.0022833764019060685,,,,0.001276585077722701,,,,-0.0011718915925126383,,,,,,,0.0018534519747689425,,0.0013302553212305624,,,,,0.0018380706305799886,,,,,0.003851956712780672,,0.0025904972045016216,0.002060348939394313,0.002109404866522749,,,,,,,,,,,-0.0013672068579314114,,0.00045006279737528986
12,2026-05-31,1803,JP3358800005,10098201W,,0.002295207367719053,0.00196006646889282,0.002109404866522749,0.0020319955136228317,,-0.0007730803175737824,,,,0.001276585077722701,,,,,,,,,,,0.0018534519747689425,,0.0013302553212305624,,,,,-0.0009286688091609587,0.002636756083153436,0.002295207367719053,0.0021296876056239294,0.0022600766427029453,,,0.0025904972045016216,0.002060348939394313,0.002109404866522749,,,,,,,,,,,0.002684697102847135,,0.0005831634551801755
13,2026-05-31,1812,JP3210200006,01870901W,,0.002295207367719053,0.00196006646889282,0.002109404866522749,0.0020319955136228317,,0.0022833764019060685,,,,0.001276585077722701,,,,-0.0011718915925126383,,,,,,,-0.0004712500233721035,,0.0013302553212305624,,,,,0.0018380706305799886,-0.0013342621143667991,-0.0023071615727592565,-0.002150364184319307,-0.0011476036838595266,-0.0013105769880762642,,-0.0008754447074501527,,,-0.0007650691225730178,,,,,,,,,,-0.0013672068579314114,,8.02843963354574e-05
14,2026-05-31,1878,JP3486800000,20154301W,,,,,,,,,,0.004867857384283267,,,,-0.0036914585164148105,,,,,,0.0025312858398272987,0.0025312858398272987,,-0.0014914983904706306,,,-0.002171446186126359,-0.005986148945537531,-0.003885745806752432,0.0018380706305799886,-0.0013342621143667991,-0.0023071615727592565,,,,,,,,-0.0007650691225730178,,,,0.003407500168998287,,,,,,0.002684697102847135,,-0.00011177601820305702
15,2026-05-31,19,HK0019000162,10056201W,,0.002295207367719053,,0.002109404866522749,0.0020319955136228317,,-0.0007730803175737824,,,,0.001276585077722701,,,,-0.0011718915925126383,,,,,-0.002545833459596421,-0.0025169035339191893,-0.0004712500233721035,,,,,,,0.0018380706305799886,,,0.0021296876056239294,0.0022600766427029453,-0.0013105769880762642,,-0.0008754447074501527,-0.0006986987728229925,-0.000715630083957637,0.002953166813131849,,,,,,,,,,-0.0013672068579314114,-0.002060348939394313,-9.779130471429641e-05
16,2026-05-31,1925,JP3505000004,01783001W,,,,,,,,,,0.004867857384283267,,,,0.003660950594791548,,,,,,0.0025312858398272987,0.0025312858398272987,,-0.0014914983904706306,,,0.006328214599568247,0.005986148945537531,0.003885745806752432,0.0018380706305799886,0.002636756083153436,0.002295207367719053,0.0021296876056239294,,,,,,,,,,,0.003407500168998287,,,,,,-0.0013672068579314114,,0.0005715800495367944
