style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Volatility,MP
factor_weight,,,,,0.012799606381,0.016113282764,0.01758044175,0.017953469961,0.0235096416,0.025328495923,0.027422958391,0.032082665017,0.003895476609,0.004473951548,0.004492584053,0.006922916825,0.013458782516,0.086020147428,0.004638648957,0.006003643256,0.012214151878,0.014385331111,0.025432310448,0.026603387093,0.030837462547,0.032624813953,0.032902050051,0.035459640599,0.004357183258,0.004365808236,0.004589647887,0.005252935344,0.005587656861,0.005849166181,0.006866475884,0.008617169037,0.009209146524,0.019144761893,0.02003019446,0.02049765319,0.021983427451,0.023413601756,0.031893293614,0.036006028916,0.02541163695,0.01886624802,0.019029637387,0.019451772373,0.019914237351,0.027044819082,0.030056684558,0.030609411456,0.045056986578,0.023738555096,1.0
factor,,,,,AdjRev3MFY1C,Rev3MFY1C,RevMagFY1C,AdjRevMagC,InvPEGC,AdjInvPEGC,EPSSurpC,SUEC,ROA,EbitdaToAst,CapExToAst,OCFRatio,RecTurn,IntCovRatio,UnexpectedInvChg,GPMargin,WCAccruals,OEA,TotalAccruals,SalesToInvCap,ETO,EPSToSalesChg1Y,WCapToSales,CapExToSales,ConsQPosChginTTMCF,DivperShareGrowth,PAdjChg3YOCF,PAdjChg3YFCF,PAdjChg1YSales,AstAdjChg1YOCF,AstAdjChg1YFCF,PAdjChg1YOCF,PAdjChg1YFCF,Chg1YOPM,CQPTTMCFtoSales,AstAdjChg1YEPS,PAdjChg1YEPS,PAdjChg1YCF,Chg1YFCF,AdjAstAdjChg1YFCF,ShortIntTrdVol,OEP,PTIP,InvPEGYC,EP,CFP,CFEV,60MAVGTTMEP,FCFEV,BookLev,AGG
0,2026-05-31,,FI0009014575,33901501W,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,0.0010159977568114159,,-0.0003865401587868912,,,,0.0006382925388613506,,,,0.0011300383213514727,,,,,,,-0.00023562501168605175,,0.0006651276606152812,,,,,,0.001318378041576718,0.0011476036838595266,0.0010648438028119647,0.0011300383213514727,-0.0006552884940381321,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,,,,,,0.0011300383213514727,,,,,,,3.520180718390273e-05
1,2026-05-31,,GB00BMVP7Y09,03647401,,-0.0003865401587868912,-0.00033206523386040276,,0.0010159977568114159,0.0025169035339191893,,,-0.0007826413815720446,,,,-0.0011074375549244432,,,-0.0005375910460798267,-0.0008295412396437777,-0.0011596204763606737,-0.0008326598157326641,-0.0012729167297982106,-0.0012584517669595946,-0.00023562501168605175,-0.0007457491952353153,0.0006651276606152812,,,,,-0.00046433440458047936,-0.0006671310571833996,-0.0011535807863796283,-0.0010751820921596534,-0.0005738018419297633,,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,,,,-0.001118623792852973,,,-0.0007508051219826733,,,,0.0013423485514235676,0.0010206797741239108,-8.247151617581444e-05
2,2026-05-31,1,KYG217651051,10108801W,,0.0011476036838595266,0.00098003323444641,,,,-0.0003865401587868912,,,,0.0006382925388613506,,,,-0.0005859457962563192,,,,,-0.0012729167297982106,-0.0012584517669595946,-0.00023562501168605175,,,,,,,-0.00046433440458047936,,,0.0010648438028119647,0.0011300383213514727,,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,-0.0003825345612865089,,,,,-0.0005798102381803368,,,,,0.0013423485514235676,,-2.5288073414552448e-05
3,2026-05-31,1038,BMG2178K1009,21292801W,,,0.00098003323444641,,,,-0.0003865401587868912,-0.0005607278759111105,,,0.0006382925388613506,,0.0011019279153477047,,,,,,,-0.0012729167297982106,-0.0012584517669595946,0.0009267259873844713,,0.0006651276606152812,,-0.0010857230930631796,,,-0.00046433440458047936,,,,,-0.0006552884940381321,,-0.00043772235372507634,,-0.0003578150419788185,,,,,-0.0005782963733286909,-0.0005798102381803368,,-0.0014107484776107557,-0.0022600766427029453,,,-0.0010301744696971564,-0.00020816398804446995
4,2026-05-31,1113,KYG2177B1014,31975901W,,,,,,,,,,-0.0006364583648991053,,,,-0.0018457292582074053,,,,,,,,,-0.0007457491952353153,,,-0.0010857230930631796,0.0029930744727687656,0.001942872903376216,0.0009190353152899943,0.001318378041576718,0.0011476036838595266,0.0010648438028119647,,,,,,,0.0014765834065659244,,,,0.0017037500844991435,0.0011300383213514727,,,,,0.0013423485514235676,-0.0010301744696971564,4.74848913001129e-07
5,2026-05-31,12,HK0012000102,01569701W,,,,,,,,,,-0.0006364583648991053,,,,,,,,,,-0.0012729167297982106,-0.0012584517669595946,,-0.0007457491952353153,,,-0.0010857230930631796,,,-0.00046433440458047936,-0.0006671310571833996,,-0.0010751820921596534,,,,,,,-0.0003825345612865089,,,,-0.0005782963733286909,,,,,,,,-0.00014773544341178027
6,2026-05-31,1299,HK0000069689,29573501W,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,,,-0.0003865401587868912,-0.0005607278759111105,,,,,,,,-0.0005375910460798267,-0.0008295412396437777,,-0.0008326598157326641,,,-0.00023562501168605175,-0.0007457491952353153,,,-0.0010857230930631796,,,,,,,,,,,-0.00034934938641149627,-0.0003578150419788185,,,,-0.001118623792852973,-0.0005782963733286909,-0.0005798102381803368,-0.0007508051219826733,-0.0014107484776107557,,-0.0014382305908109652,,,-0.0002548020465248803
7,2026-05-31,1308,KYG8187G1055,29553601W,,0.0011476036838595266,0.00098003323444641,0.0010547024332613745,-0.0005187061147187088,,,,,,,,,,,,,,,,,0.0009267259873844713,,,,,,,,0.001318378041576718,-0.0011535807863796283,0.0010648438028119647,-0.0005738018419297633,-0.0006552884940381321,,0.0012952486022508108,0.0010301744696971564,0.0010547024332613745,-0.0003825345612865089,,,,,-0.0005798102381803368,,,,,,-0.0010301744696971564,8.979029343947555e-05
8,2026-05-31,16,HK0016000132,01942101W,,,,,,,,,,-0.0006364583648991053,,,,0.001830475297395774,,,,,,,,,-0.0007457491952353153,,,-0.0010857230930631796,0.0029930744727687656,0.001942872903376216,0.0009190353152899943,0.001318378041576718,0.0011476036838595266,0.0010648438028119647,,,,,,,0.0014765834065659244,,,,,,,,,,0.0013423485514235676,-0.0010301744696971564,0.0002622995122562218
9,2026-05-31,1605,JP3294460005,27119601W,,,,,-0.0005187061147187088,,-0.0003865401587868912,-0.0005607278759111105,,,0.0006382925388613506,,-0.0011074375549244432,,-0.0005859457962563192,,,,,,-0.0012584517669595946,-0.00023562501168605175,,0.0006651276606152812,,,,,,,,,,-0.0006552884940381321,,,,,-0.0003825345612865089,,,,,,,,,,,-0.0010301744696971564,-0.00013117724491735306
10,2026-05-31,1801,JP3443600006,10094901W,,0.0011476036838595266,0.00098003323444641,0.0010547024332613745,,,0.0011416882009530342,,,,0.0006382925388613506,,,,0.0011300383213514727,,,,,0.0012656429199136494,,0.0009267259873844713,,0.0006651276606152812,,,,,0.0009190353152899943,-0.0006671310571833996,,-0.0010751820921596534,,0.001925978356390336,,0.0012952486022508108,0.0010301744696971564,0.0010547024332613745,,,,,,,,,,,-0.0006836034289657057,,0.0002534944488930759
11,2026-05-31,1802,JP3190000004,10091901W,,0.0011476036838595266,0.00098003323444641,0.0010547024332613745,,,0.0011416882009530342,,,,0.0006382925388613506,,,,-0.0005859457962563192,,,,,,,0.0009267259873844713,,0.0006651276606152812,,,,,0.0009190353152899943,,,,,0.001925978356390336,,0.0012952486022508108,0.0010301744696971564,0.0010547024332613745,,,,,,,,,,,-0.0006836034289657057,,0.00022503139868764493
12,2026-05-31,1803,JP3358800005,10098201W,,0.0011476036838595266,0.00098003323444641,0.0010547024332613745,0.0010159977568114159,,-0.0003865401587868912,,,,0.0006382925388613506,,,,,,,,,,,0.0009267259873844713,,0.0006651276606152812,,,,,-0.00046433440458047936,0.001318378041576718,0.0011476036838595266,0.0010648438028119647,0.0011300383213514727,,,0.0012952486022508108,0.0010301744696971564,0.0010547024332613745,,,,,,,,,,,0.0013423485514235676,,0.00029158172759008775
13,2026-05-31,1812,JP3210200006,01870901W,,0.0011476036838595266,0.00098003323444641,0.0010547024332613745,0.0010159977568114159,,0.0011416882009530342,,,,0.0006382925388613506,,,,-0.0005859457962563192,,,,,,,-0.00023562501168605175,,0.0006651276606152812,,,,,0.0009190353152899943,-0.0006671310571833996,-0.0011535807863796283,-0.0010751820921596534,-0.0005738018419297633,-0.0006552884940381321,,-0.00043772235372507634,,,-0.0003825345612865089,,,,,,,,,,-0.0006836034289657057,,4.01421981677287e-05
14,2026-05-31,1878,JP3486800000,20154301W,,,,,,,,,,0.0024339286921416336,,,,-0.0018457292582074053,,,,,,0.0012656429199136494,0.0012656429199136494,,-0.0007457491952353153,,,-0.0010857230930631796,-0.0029930744727687656,-0.001942872903376216,0.0009190353152899943,-0.0006671310571833996,-0.0011535807863796283,,,,,,,,-0.0003825345612865089,,,,0.0017037500844991435,,,,,,0.0013423485514235676,,-5.588800910152851e-05
15,2026-05-31,19,HK0019000162,10056201W,,0.0011476036838595266,,0.0010547024332613745,0.0010159977568114159,,-0.0003865401587868912,,,,0.0006382925388613506,,,,-0.0005859457962563192,,,,,-0.0012729167297982106,-0.0012584517669595946,-0.00023562501168605175,,,,,,,0.0009190353152899943,,,0.0010648438028119647,0.0011300383213514727,-0.0006552884940381321,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,0.0014765834065659244,,,,,,,,,,-0.0006836034289657057,-0.0010301744696971564,-4.8895652357148205e-05
