style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Size,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Volatility,MP
factor_weight,,,,,0.011419014212,0.015660667982,0.015664495717,0.017682895278,0.019027658037,0.023271441741,0.012253199852,0.018784895767,0.025017800112,0.031713873532,0.032872420202,0.011357274975,0.014999191458,0.015833150787,0.016083480985,0.017465576741,0.017748501367,0.019884430113,0.022034941508,0.02355068578,0.025050616195,0.030531000716,0.035461251122,0.010107758577,0.010575486475,0.01200157791,0.017309474037,0.017946560153,0.021885797646,0.022246502609,0.026135552991,0.029165607299,0.035849355595,0.040563595041,0.0239538218,0.014132982291,0.007296856581,0.009020155405,0.012631015074,0.01410380116,0.014559378092,0.015418227017,0.015930805548,0.016106268586,0.0161768498,0.018742660287,0.020642305043,0.030101918049,0.033655304869,0.020371917882,1.0
factor,,,,,EPSSurpC,Rev3MFY2C,Rev3MFY1C,RevMagFY1C,AdjRevMagC,AdjInvPEGC,CapExToAst,DA,EbitdaToAst,LTDA,ROE,UnexpectedInvChg,AccrualRatioCF,ROAStddev20Q,WCapToSales,OEA,SalesToInvCap,TotalAccruals,CapExToSales,AccrualRatioBS,ETO,WCAccruals,AdjAccruals,ConsQPosChginTTMCF,CQPTTMCFtoSales,PAdjChg1YSales,ChgATO,Chg1YOPM,PAdjChg1YEPS,PAdjChg1YCF,AstAdjChg1YEPS,PAdjChg3YOCF,Chg1YFCF,AdjAstAdjChg1YFCF,ShortIntTrdVol,LogAssets,CurLiaP,SP,PTIP,OEP,EP,EBITDAP,EBITDAEV,OCFP,InvPEGYC,OCFEV,CFEV,CashEV,FCFEV,BookLev,AGG
0,2026-06-30,,FI0009014575,33901501W,-0.0017543859649122807,-0.001366120218579235,-0.0016155088852988692,-0.0014947683109118087,-0.0023752969121140144,,0.002403846153846154,0.001594896331738437,,0.0016129032258064516,,0.005714285714285714,,,,,,,0.002967359050445104,,,,,,,,,-0.002066115702479339,-0.0014619883040935672,-0.0016,-0.0019646365422396855,,,,,,,,,,,,,,,,,-0.00267379679144385,-0.0012919896640826874,,-0.000166707041902155
1,2026-06-30,,GB00BMVP7Y09,03647401,,0.004016064257028112,,,,0.011235955056179775,0.002403846153846154,,,,,,,,,-0.0034965034965034965,-0.005681818181818182,-0.003424657534246575,0.002967359050445104,,,-0.0037313432835820895,0.008620689655172414,,,-0.002074688796680498,,-0.002066115702479339,-0.0014619883040935672,-0.0016,-0.0019646365422396855,,,,-0.005405405405405406,,-0.00625,-0.005813953488372093,,,,,-0.0045045045045045045,0.007194244604316547,,,,-0.00267379679144385,0.005076142131979695,,0.00010699999619994038
2,2026-06-30,1,KYG217651051,10108801W,-0.0017543859649122807,-0.001366120218579235,0.004739336492890996,0.0043859649122807015,0.004694835680751174,,0.002403846153846154,0.001594896331738437,,0.0016129032258064516,,-0.0018975332068311196,0.00641025641025641,,,,-0.005681818181818182,,,,-0.0064516129032258064,,,,,-0.002074688796680498,,,-0.0014619883040935672,-0.0016,-0.0019646365422396855,,-0.0017035775127768314,,,0.004098360655737705,0.006211180124223602,0.005813953488372093,,,,,,,-0.002617801047120419,,,0.002680965147453083,0.005076142131979695,,0.0002823739876880103
3,2026-06-30,1038,BMG2178K1009,21292801W,,-0.001366120218579235,0.004739336492890996,0.0043859649122807015,,,0.002403846153846154,0.001594896331738437,,0.0016129032258064516,-0.0032679738562091504,,,,,,-0.005681818181818182,,0.002967359050445104,,-0.0064516129032258064,,,,,-0.002074688796680498,,-0.002066115702479339,-0.0014619883040935672,-0.0016,-0.0019646365422396855,,,,,-0.00411522633744856,-0.00625,-0.005813953488372093,,,,-0.0045045045045045045,-0.0045045045045045045,-0.0036363636363636364,,-0.0024390243902439024,-0.01,0.002680965147453083,,-0.005235602094240838,-0.0008970803012380696
4,2026-06-30,1113,KYG2177B1014,31975901W,-0.0017543859649122807,-0.001366120218579235,,,,,,,-0.002849002849002849,,-0.0032679738562091504,,,0.0044444444444444444,-0.01,,,-0.003424657534246575,,,,,,,,0.00411522633744856,,,,,,0.013513513513513514,0.006622516556291391,,,0.004098360655737705,,0.005813953488372093,0.007692307692307693,,,,0.008849557522123894,0.007194244604316547,0.005128205128205128,0.007142857142857143,,0.002680965147453083,0.005076142131979695,-0.005235602094240838,0.0011283355577578415
5,2026-06-30,12,HK0012000102,01569701W,-0.0017543859649122807,-0.001366120218579235,,,,,,,-0.002849002849002849,,-0.0032679738562091504,,,0.0044444444444444444,-0.01,,-0.005681818181818182,-0.003424657534246575,,,-0.0064516129032258064,,,,,-0.002074688796680498,,,,,,,-0.0017035775127768314,,,0.004098360655737705,,,-0.003861003861003861,,,-0.0045045045045045045,-0.0045045045045045045,,,-0.0024390243902439024,,0.002680965147453083,-0.0012919896640826874,,-0.0008859944867627584
6,2026-06-30,1299,HK0000069689,29573501W,-0.0017543859649122807,-0.001366120218579235,-0.0016155088852988692,-0.0014947683109118087,-0.0023752969121140144,,,0.001594896331738437,,0.0016129032258064516,,,,0.0044444444444444444,,,,-0.003424657534246575,,,,-0.0037313432835820895,,,,,,,-0.0014619883040935672,-0.0016,,,,,,,-0.00625,,-0.003861003861003861,-0.005025125628140704,-0.00425531914893617,-0.0045045045045045045,,,-0.002617801047120419,-0.0024390243902439024,,-0.00267379679144385,-0.0012919896640826874,,-0.0007222421442861661
7,2026-06-30,1308,KYG8187G1055,29553601W,-0.0017543859649122807,0.004016064257028112,0.004739336492890996,0.0043859649122807015,0.004694835680751174,,,0.001594896331738437,,0.0016129032258064516,,-0.0018975332068311196,,,,,,,0.002967359050445104,,,,,,,,,-0.002066115702479339,0.004329004329004329,0.0047169811320754715,0.005780346820809248,,-0.0017035775127768314,,,-0.00411522633744856,-0.00625,,,,,,,,-0.002617801047120419,,,0.002680965147453083,-0.0012919896640826874,-0.005235602094240838,0.00044598250289746075
8,2026-06-30,16,HK0016000132,01942101W,-0.0017543859649122807,,,,,,,,-0.002849002849002849,,-0.0032679738562091504,,,0.0044444444444444444,-0.01,,,-0.003424657534246575,,,,,,,,0.00411522633744856,,,,,,0.013513513513513514,0.006622516556291391,,,0.004098360655737705,,,,,,,0.008849557522123894,0.007194244604316547,,0.007142857142857143,,0.002680965147453083,0.005076142131979695,-0.005235602094240838,0.0009171672904286167
9,2026-06-30,1605,JP3294460005,27119601W,-0.0017543859649122807,-0.001366120218579235,,,,,0.002403846153846154,,,,,-0.0018975332068311196,-0.0064516129032258064,0.0044444444444444444,,,,,0.002967359050445104,,-0.0064516129032258064,,,,,,,-0.002066115702479339,,,,,-0.0017035775127768314,,,,,,,,,,,,-0.002617801047120419,,,,0.005076142131979695,-0.005235602094240838,-0.00023738198521585963
10,2026-06-30,1801,JP3443600006,10094901W,0.0051813471502590676,0.004016064257028112,0.004739336492890996,0.0043859649122807015,0.004694835680751174,,0.002403846153846154,0.001594896331738437,,0.0016129032258064516,,0.005714285714285714,-0.0064516129032258064,,,,0.005681818181818182,,0.002967359050445104,,,,,,,0.00411522633744856,,0.006097560975609756,0.004329004329004329,0.0047169811320754715,0.005780346820809248,,,,,,0.006211180124223602,,,,,,,,0.005128205128205128,,,0.002680965147453083,-0.0012919896640826874,,0.0012831852260511386
11,2026-06-30,1802,JP3190000004,10091901W,-0.0017543859649122807,0.004016064257028112,0.004739336492890996,0.0043859649122807015,0.004694835680751174,,0.002403846153846154,0.001594896331738437,,0.0016129032258064516,,-0.0018975332068311196,-0.0064516129032258064,,,,,,0.002967359050445104,,,,,,,0.00411522633744856,,0.006097560975609756,0.004329004329004329,0.0047169811320754715,0.005780346820809248,,,,,,0.006211180124223602,0.005813953488372093,,,,,,,,,,0.002680965147453083,-0.0012919896640826874,,0.0009861772726048536
