style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Size,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Volatility,MP
factor_weight,,,,,0.003156519734,0.00355775236,0.013832671597,0.015399870495,0.022012466611,0.0229503606,0.025725362876,0.037435740311,0.005583973148,0.00576860878,0.015661262009,0.05360253539,0.003639576499,0.007824300805,0.010600811824,0.019449781667,0.019858459052,0.020172551317,0.023994386246,0.024654410831,0.024765558593,0.027453007234,0.029865594643,0.037753727366,0.002868127084,0.003501098843,0.00366675645,0.00686752751,0.013728720165,0.015963511575,0.016249118407,0.016982996872,0.019264010753,0.023988889581,0.025240020879,0.027214523462,0.036857899356,0.037638947447,0.00573672076,0.014923270823,0.013123015901,0.017595782913,0.017750885375,0.018977472598,0.022878563079,0.027451885922,0.035226881578,0.036222387181,0.04018067577,0.025181019731,1.0
factor,,,,,Rev3MFY2C,RevMagFY1C,AdjRev3MFY1C,Rev3MFY1C,InvPEGC,EPSSurpC,AdjInvPEGC,SUEC,CapExToAst,ROA,RecTurn,BuyBackChg,UnexpectedInvChg,CapExToSales,WCAccruals,CFIC,AccrualRatioCF,GPMargin,ROAStddev20Q,OEA,TotalAccruals,SalesToInvCap,WCapToSales,ETO,Chg1YOPM,ConsQPosChginTTMCF,CQPTTMCFtoSales,Chg1YFCF,ChgATO,PAdjChg1YCF,PAdjChg1YEPS,PAdjChg3YCF,PAdjChg1YSales,DivperShareGrowth,PAdjChg1YFCF,PAdjChg3YOCF,PAdjChg1YOCF,AdjAstAdjChg1YFCF,ShortIntTrdVol,LogAssets,PTIP,InvPEGYC,CurLiaP,OEP,SP,OCFEV,CashEV,FCFEV,60MAVGTTMEP,BookLev,AGG
0,2026-07-31,,FI0009014575,33901501W,-0.00031619307294317216,-0.0003459691022337848,,-0.00035718106388025003,0.0010617125201578075,-0.00043343320111311243,,,0.0005577188660106073,,,,0.0014199590760392762,0.0006888491946261965,,,,,,,,,,,-0.0004125727796691658,,,,,-0.00039295981221460445,-0.000362211783089831,,,,0.0011630820572583016,,0.0010969352104000098,,,,,,,,,-0.00037032532703104327,-0.00062051830936837,-0.0002778551373282137,,,3.372144028017688e-05
1,2026-07-31,,GB00BMVP7Y09,03647401,0.0009295314433510121,,,,0.0010617125201578075,,0.0026005992066786745,,0.0005577188660106073,-0.0008092773755049022,,,,0.0006888491946261965,-0.000863631826098515,-0.00047820935825289675,-0.0005497703786090309,,,,-0.0007926483883369932,-0.001315075735195466,,-0.001315075735195466,,,,-0.0003434025658670653,,-0.00039295981221460445,-0.000362211783089831,-0.0006747910477970904,-0.00048019362944896687,,-0.00039700399553070675,,,,,,,,-0.001361490172908247,,-0.0013456588918279188,,-0.00062051830936837,0.0010917609877094435,,,-0.0001315862916154632
2,2026-07-31,1,KYG217651051,10108801W,-0.00031619307294317216,0.0010196181911647667,,0.0010520605881563728,,-0.00043343320111311243,,,0.0005577188660106073,,,,-0.0007301366857867572,,,,0.0010866353492694932,,,,,-0.001315075735195466,,-0.001315075735195466,-0.0004125727796691658,,,0.0013378805167306475,,-0.00039295981221460445,-0.000362211783089831,,-0.00048019362944896687,,0.0011630820572583016,,0.0010969352104000098,,,0.0009485792188295165,,-0.0006074890535286143,0.0013535282420725264,,0.0013456588918279188,0.0010917609877094435,0.00062051830936837,0.0010917609877094435,,,0.0001512058409589795
3,2026-07-31,1038,BMG2178K1009,21292801W,-0.00031619307294317216,0.0010196181911647667,,0.0010520605881563728,,,,-0.000580083532316797,0.0005577188660106073,,0.001377698389252393,,,0.0006888491946261965,,-0.00047820935825289675,,,,,,-0.001315075735195466,,-0.001315075735195466,-0.0004125727796691658,,,,,-0.00039295981221460445,,-0.0006747910477970904,-0.00048019362944896687,-0.0013301915482436897,,,,,,-0.0009524828370140001,,,-0.001361490172908247,,-0.0013456588918279188,-0.00037032532703104327,0.00062051830936837,-0.0002778551373282137,0.0018082291358937658,-0.0010666052045824978,-0.00016381541435612227
4,2026-07-31,1113,KYG2177B1014,31975901W,,,,,,,,,,,,,,,,,0.0010866353492694932,,0.0010332737919392947,,-0.0007926483883369932,,-0.0023145332939440203,,,,,0.0013378805167306475,,,,,0.0009524828370140001,-0.0013301915482436897,,0.0031277476945189464,0.0010969352104000098,,,0.0009485792188295165,0.001780410226110785,0.0011808843336449082,,,0.0013456588918279188,0.0010917609877094435,0.00062051830936837,0.0010917609877094435,,-0.0010666052045824978,0.00023239741219660683
5,2026-07-31,12,HK0012000102,01569701W,-0.00031619307294317216,,,,,,,,,,,,,,,,,,0.0010332737919392947,,-0.0007926483883369932,-0.001315075735195466,-0.0023145332939440203,-0.001315075735195466,,,,-0.0003434025658670653,,,,,-0.00048019362944896687,-0.0013301915482436897,,,-0.0011127563913192406,,,0.0009485792188295165,,0.0011808843336449082,0.0013535282420725264,,,-0.00037032532703104327,0.00062051830936837,-0.0002778551373282137,,,-0.0001911545485133489
6,2026-07-31,1299,HK0000069689,29573501W,-0.00031619307294317216,-0.0003459691022337848,,-0.00035718106388025003,,-0.00043343320111311243,,-0.000580083532316797,,,,-0.0023861167978804334,,,-0.000863631826098515,,,-0.0007099795380196381,0.0010332737919392947,,-0.0007926483883369932,,,,,,,,,-0.00039295981221460445,-0.000362211783089831,-0.0006747910477970904,,-0.0013301915482436897,0.0011630820572583016,,0.0010969352104000098,,,,,,-0.001361490172908247,,,-0.00037032532703104327,,-0.0002778551373282137,,,-0.00017073048826422645
7,2026-07-31,1308,KYG8187G1055,29553601W,-0.00031619307294317216,-0.0003459691022337848,,,-0.0005445960691632988,-0.00043343320111311243,,,,,,,,0.0006888491946261965,,,,,,,,,,,-0.0004125727796691658,,,-0.0003434025658670653,,0.0011630820572583016,0.0010666052045824978,,,,-0.00039700399553070675,,0.0010969352104000098,,,-0.0009524828370140001,,-0.0006074890535286143,,0.0015430221959626803,,0.0010917609877094435,0.00062051830936837,-0.0002778551373282137,,-0.0010666052045824978,6.327873568208994e-05
