ddt,ticker,isin,gvkeyiid,style,ls_weight,style_ls_weight,factor_weight
2026-08-31,,FI0009014575,33901501W,Analyst Expectations,-0.001629440233150939,-9.047410673019532e-05,0.02395724290204974
2026-08-31,,FI0009014575,33901501W,Capital Efficiency,0.0006084010844355878,0.00010066182045046481,0.02712143977821946
2026-08-31,,FI0009014575,33901501W,Earnings Quality,0.0019170482843272924,-4.9261269706502515e-06,0.05400405026230253
2026-08-31,,FI0009014575,33901501W,Historical Growth,-0.0013771672633041505,8.808647469069262e-05,0.15989498750228426
2026-08-31,,FI0009014575,33901501W,MP,-5.459794500931024e-06,-5.459794500931024e-06,0.3348433630808693
2026-08-31,,FI0009014575,33901501W,Size,0.0,0.0,0.0
2026-08-31,,FI0009014575,33901501W,Valuation,-0.0009401644529666995,-0.00016078952186556123,0.06986564263601334
2026-08-31,,FI0009014575,33901501W,Volatility,0.0,0.0,0.0
2026-08-31,,GB00BMVP7Y09,03647401,Analyst Expectations,0.004100191839502426,0.0007874800642468139,0.04150282808767876
2026-08-31,,GB00BMVP7Y09,03647401,Capital Efficiency,0.0006084010844355878,0.00010066182045046481,0.02712143977821946
2026-08-31,,GB00BMVP7Y09,03647401,Earnings Quality,-0.002486793240931242,-0.0005456970087482341,0.18547235660606887
2026-08-31,,GB00BMVP7Y09,03647401,Historical Growth,-0.007714622204289125,-0.0006100128864942214,0.14131425729069305
2026-08-31,,GB00BMVP7Y09,03647401,MP,-0.0002249712842032593,-0.0002249712842032593,0.5489882665145268
2026-08-31,,GB00BMVP7Y09,03647401,Price Momentum,0.0,0.0,0.0
2026-08-31,,GB00BMVP7Y09,03647401,Size,0.0,0.0,0.0
2026-08-31,,GB00BMVP7Y09,03647401,Valuation,-0.0014642980676307618,-6.502619438945612e-05,0.15357738475186664
2026-08-31,,GB00BMVP7Y09,03647401,Volatility,0.0,0.0,0.0
2026-08-31,1,KYG217651051,10108801W,Analyst Expectations,0.0015783906219741502,0.00016634052362569042,0.02395724290204974
2026-08-31,1,KYG217651051,10108801W,Capital Efficiency,0.0006084010844355878,0.00010066182045046481,0.02712143977821946
2026-08-31,1,KYG217651051,10108801W,Earnings Quality,-0.004321488671814335,-0.0003159105220851623,0.08477910578086306
2026-08-31,1,KYG217651051,10108801W,Historical Growth,-0.001672005353639777,7.179498256620751e-05,0.17008094755992997
2026-08-31,1,KYG217651051,10108801W,MP,0.00019212863830963734,0.00019212863830963734,0.4869891744068948
2026-08-31,1,KYG217651051,10108801W,Size,0.001037860673448944,0.001037860673448944,0.0029161838100566252
2026-08-31,1,KYG217651051,10108801W,Valuation,0.00753095239742478,0.0010128767882456482,0.17813425457577597
2026-08-31,1,KYG217651051,10108801W,Volatility,0.0,0.0,0.0
2026-08-31,1038,BMG2178K1009,21292801W,Analyst Expectations,0.0014166021587894797,-4.208590577611538e-06,0.052905374135117034
2026-08-31,1038,BMG2178K1009,21292801W,Capital Efficiency,0.004150912878326652,0.0010284687043060673,0.1132647701596079
2026-08-31,1038,BMG2178K1009,21292801W,Earnings Quality,-0.00130495662698433,-8.4870684586689e-05,0.12331432382251563
2026-08-31,1038,BMG2178K1009,21292801W,Historical Growth,-0.003426379987348762,-0.00022556850551725798,0.0995838898668728
2026-08-31,1038,BMG2178K1009,21292801W,MP,1.9222808862975714e-05,1.9222808862975714e-05,0.4577159573433247
2026-08-31,1038,BMG2178K1009,21292801W,Size,-0.0010466561028849518,-0.0010466561028849518,0.0029161838100566252
2026-08-31,1038,BMG2178K1009,21292801W,Valuation,-0.0032748024360684485,-0.00029456024354210887,0.061032433517518886
2026-08-31,1038,BMG2178K1009,21292801W,Volatility,-0.0012350542014042433,-0.0012350542014042433,0.004698982031635806
2026-08-31,1113,KYG2177B1014,31975901W,Analyst Expectations,0.001020705951573755,2.7443619880937218e-05,0.0029957485608439784
2026-08-31,1113,KYG2177B1014,31975901W,Earnings Quality,0.0011126614427065256,0.00012494352482733182,0.02799577473100852
2026-08-31,1113,KYG2177B1014,31975901W,Historical Growth,0.0053227895410278385,0.0005174419942520789,0.14770539308119857
2026-08-31,1113,KYG2177B1014,31975901W,MP,0.0003201129451774153,0.0003201129451774153,0.29861824064417364
2026-08-31,1113,KYG2177B1014,31975901W,Size,0.001037860673448944,0.001037860673448944,0.0029161838100566252
2026-08-31,1113,KYG2177B1014,31975901W,Valuation,0.00655858711845239,0.0007236405285688859,0.11700514046106592
2026-08-31,12,HK0012000102,01569701W,Analyst Expectations,-0.00034595355781631465,-9.301619063286844e-06,0.0029957485608439784
2026-08-31,12,HK0012000102,01569701W,Earnings Quality,-0.001978585330398832,-0.00011614575756493294,0.06828153836191847
2026-08-31,12,HK0012000102,01569701W,Historical Growth,-0.0034977266404880377,-0.00032991984511837987,0.10107427445109393
2026-08-31,12,HK0012000102,01569701W,MP,-0.00013569381122242942,-0.00013569381122242942,0.1998246150078223
2026-08-31,12,HK0012000102,01569701W,Size,0.001037860673448944,0.001037860673448944,0.0029161838100566252
2026-08-31,12,HK0012000102,01569701W,Valuation,-0.00040895834483584213,-4.7338549402749355e-05,0.024556869823909325
2026-08-31,1299,HK0000069689,29573501W,Analyst Expectations,-0.0022644295397855115,-0.0002773217948297623,0.05674305367650877
2026-08-31,1299,HK0000069689,29573501W,Capital Efficiency,-0.00257302958625884,-0.0007951526831582554,0.050657492508422525
2026-08-31,1299,HK0000069689,29573501W,Earnings Quality,-0.0010843522989097837,-0.0002793042641280038,0.15502137806282473
2026-08-31,1299,HK0000069689,29573501W,Historical Growth,-0.0014002816272598243,-3.622802353549111e-05,0.128206347139227
2026-08-31,1299,HK0000069689,29573501W,MP,-0.00023665413398777589,-0.00023665413398777589,0.5010599489402767
2026-08-31,1299,HK0000069689,29573501W,Size,0.0,0.0,0.0
2026-08-31,1299,HK0000069689,29573501W,Valuation,-0.002743988304109471,-0.00031248224025603853,0.11043167755329368
2026-08-31,1299,HK0000069689,29573501W,Volatility,0.0,0.0,0.0
2026-08-31,1308,KYG8187G1055,29553601W,Analyst Expectations,0.0011668972293013436,5.770781092956781e-05,0.0396864226250829
2026-08-31,1308,KYG8187G1055,29553601W,Capital Efficiency,0.0018029988341667785,0.0003882187825456261,0.0352954755372962
2026-08-31,1308,KYG8187G1055,29553601W,Earnings Quality,0.002216987437875268,0.0002645597438922983,0.04972236361147734
2026-08-31,1308,KYG8187G1055,29553601W,Historical Growth,0.007948191487025537,0.000620763820049645,0.1512030909858874
2026-08-31,1308,KYG8187G1055,29553601W,MP,0.0003935454796556378,0.0003935454796556378,0.4438500809956348
2026-08-31,1308,KYG8187G1055,29553601W,Size,-0.0010466561028849518,-0.0010466561028849518,0.0029161838100566252
2026-08-31,1308,KYG8187G1055,29553601W,Valuation,0.0034458266199743665,0.0005240939769480297,0.1603275623941985
2026-08-31,1308,KYG8187G1055,29553601W,Volatility,-0.0012350542014042433,-0.0012350542014042433,0.004698982031635806
2026-08-31,16,HK0016000132,01942101W,Analyst Expectations,-0.00034595355781631465,-9.301619063286844e-06,0.0029957485608439784
2026-08-31,16,HK0016000132,01942101W,Earnings Quality,0.0011126614427065256,0.00012494352482733182,0.02799577473100852
2026-08-31,16,HK0016000132,01942101W,Historical Growth,0.0053227895410278385,0.0005174419942520789,0.14770539308119857
2026-08-31,16,HK0016000132,01942101W,MP,0.0002952606901114156,0.0002952606901114156,0.28273521946918384
2026-08-31,16,HK0016000132,01942101W,Size,0.001037860673448944,0.001037860673448944,0.0029161838100566252
