factor,style,raw_weight,prev_weight,new_weight,deployed_weight,weight_within_style
6MChgTgtPrcGapEMA,Analyst Expectations,0.022727280855178833,0.0263157859444618,0.025956938326777725,0.034012539636598664,0.13605015383116173
EBITEstDisp,Analyst Expectations,0.022727280855178833,0.0263157859444618,0.025956938326777725,0.034012539636598664,0.13605015383116173
EPSEstDispFY1C,Analyst Expectations,0.022727280855178833,0.0263157859444618,0.025956938326777725,0.034012539636598664,0.13605015383116173
EPSEstDispFY2C,Analyst Expectations,0.022727280855178833,0.0263157859444618,0.025956938326777725,0.034012539636598664,0.13605015383116173
Rev3MFY1C,Analyst Expectations,0.022727280855178833,0.0263157859444618,0.025956938326777725,0.034012539636598664,0.13605015383116173
Rev3MFY2C,Analyst Expectations,0.022727280855178833,0.0263157859444618,0.025956938326777725,0.034012539636598664,0.13605015383116173
EPSNumRevFY1C,Analyst Expectations,0.0,0.0263157859444618,0.023684209988109314,0.0,0.12413792303569479
6MAvgChg1MRecC,Analyst Expectations,0.022727280855178833,0.0,0.0022727283386684127,0.0029780578020804096,0.011912230795466957
6MChgTgtPrcGap,Analyst Expectations,0.022727280855178833,0.0,0.0022727283386684127,0.0029780578020804096,0.011912230795466957
AdjEPSNumRevFY1C,Analyst Expectations,0.022727280855178833,0.0,0.0022727283386684127,0.0029780578020804096,0.011912230795466957
BuyToSellRecLess3MEMA,Analyst Expectations,0.022727280855178833,0.0,0.0022727283386684127,0.0029780578020804096,0.011912230795466957
BuyToSellRecLess3MSMA,Analyst Expectations,0.022727280855178833,0.0,0.0022727283386684127,0.0029780578020804096,0.011912230795466957
AdjIntCov,Capital Efficiency,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.19999999999999998
DebtChg1Y,Capital Efficiency,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.19999999999999998
FinLev,Capital Efficiency,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.19999999999999998
IntCovRatio,Capital Efficiency,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.19999999999999998
ShareChg,Capital Efficiency,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.19999999999999998
CapExToSales,Earnings Quality,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.14285714285714285
DepToCapex,Earnings Quality,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.14285714285714285
InvToAsset,Earnings Quality,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.14285714285714285
InvToAst,Earnings Quality,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.14285714285714285
InvToAstChg1Y,Earnings Quality,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.14285714285714285
SalesToEPSChg,Earnings Quality,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.14285714285714285
EPSToOCFChg,Earnings Quality,0.0,0.0263157859444618,0.023684209988109314,0.0,0.12734693685259113
SGAToSales,Earnings Quality,0.028846153989434242,0.0,0.002884615720249752,0.0037798412619463187,0.015510206004551717
3YAvgAnnSalesGrw,Historical Growth,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.25
DIVIDENDGROWTH,Historical Growth,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.25
DivperShareGrowth,Historical Growth,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.25
TTMOverheadtoSales,Historical Growth,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.25
50DVolSig,Price Momentum,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.11385816560598769
Alpha36M6MPChg,Price Momentum,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.11385816560598769
Alpha60M,Price Momentum,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.11385816560598769
Chg1YTurnover,Price Momentum,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.11385816560598769
STO_6M,Price Momentum,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.11385816560598769
Alpha12M6MPChg,Price Momentum,0.0,0.0263157859444618,0.023684209988109314,0.0,0.10149642037904305
IO_TO,Price Momentum,0.0,0.0263157859444618,0.023684209988109314,0.0,0.10149642037904305
PM1M,Price Momentum,0.0,0.0263157859444618,0.023684209988109314,0.0,0.10149642037904305
STO,Price Momentum,0.0,0.0263157859444618,0.023684209988109314,0.0,0.10149642037904305
5DVolSig,Price Momentum,0.028846153989434242,0.0,0.002884615720249752,0.0037798412619463187,0.012361745226944639
Alpha18M6MPChg,Price Momentum,0.028846153989434242,0.0,0.002884615720249752,0.0037798412619463187,0.012361745226944639
InvPEGYC,Valuation,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.34584980398157206
DivToCF,Valuation,0.0,0.0263157859444618,0.023684209988109314,0.0,0.30830039203685594
OCFEV,Valuation,0.0,0.0263157859444618,0.023684209988109314,0.0,0.30830039203685594
NCAP,Valuation,0.028846153989434242,0.0,0.002884615720249752,0.0037798412619463187,0.037549411944716095
Beta60M,Volatility,0.028846153989434242,0.0263157859444618,0.026568825708359067,0.034814323096464574,0.359342919287308
90DCV,Volatility,0.0,0.0263157859444618,0.023684209988109314,0.0,0.32032854035634595
YoYChgDA,Volatility,0.0,0.0263157859444618,0.023684209988109314,0.0,0.32032854035634595
