factor,weight
3YAvgAnnSalesGrw,0.04687498533167054
50DVolSig,0.04687498533167054
6MChgTgtPrcGapEMA,0.04687498533167054
90DCV,0.04687498533167054
AdjAccruals,0.020833352891105942
AdjIntCov,0.04687498533167054
AssetTurn,0.020833352891105942
Beta60M,0.04687498533167054
CapExToSales,0.020833352891105942
DIVIDENDGROWTH,0.04687498533167054
DepToCapex,0.020833352891105942
DivperShareGrowth,0.04687498533167054
EPSNumRevFY1C,0.04687498533167054
ETO,0.020833352891105942
IntCovRatio,0.04687498533167054
InvToAsset,0.020833352891105942
InvToAstChg1Y,0.020833352891105942
OCFEV,0.04687498533167054
ROAStddev20Q,0.020833352891105942
ROEStddev20Q,0.020833352891105942
Rev3MFY1C,0.04687498533167054
Rev3MFY2C,0.04687498533167054
RevMagFY1C,0.04687498533167054
STO_6M,0.04687498533167054
SalesToEPSChg,0.020833352891105942
SalesToInvCap,0.020833352891105942
ShareChg,0.04687498533167054
UnexpectedRecChg,0.020833352891105942
