style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Capital Efficiency,Earnings Quality,Historical Growth,Price Momentum,Price Momentum,Valuation,Volatility,MP
factor_weight,,,,,0.021621521816389294,0.20431602944049673,0.049936965510287146,0.09875848294333273,0.24346249417352991,0.024010934147244627,0.20767050160349557,0.14737045318156372,0.0028526171836602172,1.0
factor,,,,,Rev3MFY2C,RevMagFY1C,TobinQ,FCFSales,SalesAcc,52WSlope,PM6M,FwdEPC,90DCV,AGG
0,2025-11-30,000001 CH Equity,CNE000000040,21338001W,,,,,,,,,-0.010752688172043012,-3.0673303050109864e-05
1,2025-11-30,000009 CH Equity,CNE000000222,24385001W,,,,-0.014084507042253521,0.006211180124223602,,,,,0.00012122485630688962
2,2025-11-30,000021 CH Equity,CNE000000FK4,25137401W,,,,,-0.012345679012345678,,,,,-0.0030057098046114804
3,2025-11-30,000039 CH Equity,CNE000000644,21063102W,,,,,-0.012345679012345678,,,,-0.010752688172043012,-0.0030363831076615903
4,2025-11-30,000063 CH Equity,CNE000000TK5,24385801W,,,,,0.006211180124223602,0.006172839506172839,,,,0.0016604050476887596
5,2025-11-30,000066 CH Equity,CNE000000RL7,24364201W,,,,,0.006211180124223602,,,,,0.0015121894048045336
6,2025-11-30,000100 CH Equity,CNE000001GL8,27053501W,-0.012048192771084338,,,0.013888888888888888,0.006211180124223602,-0.012345679012345678,,,-0.010752688172043012,0.0022962301495730846
7,2025-11-30,000157 CH Equity,CNE000001527,25989601W,,,,,0.006211180124223602,,,,,0.0015121894048045336
8,2025-11-30,000166 CH Equity,CNE100002FD4,31912301W,,,,,,,,,-0.010752688172043012,-3.0673303050109864e-05
9,2025-11-30,000301 CH Equity,CNE0000012K6,32958001W,-0.012048192771084338,,,,0.006211180124223602,,,,,0.0012516891419564699
10,2025-11-30,000333 CH Equity,CNE100001QQ5,31610001W,,0.012048192771084338,,,,,,,-0.010752688172043012,0.0024309656058715376
11,2025-11-30,000338 CH Equity,CNE1000000D4,26065402W,,,,,0.006211180124223602,,,,-0.010752688172043012,0.0014815161017544237
12,2025-11-30,000400 CH Equity,CNE0000007F6,27104801W,,-0.012345679012345678,,,,-0.012345679012345678,,,,-0.0028188514023177944
13,2025-11-30,000408 CH Equity,CNE000000L08,27233901W,,,,,0.006211180124223602,0.006172839506172839,,,,0.0016604050476887596
14,2025-11-30,000423 CH Equity,CNE0000006Y9,26013001W,,,,,-0.012345679012345678,-0.012345679012345678,,,,-0.0033021410903799325
15,2025-11-30,000425 CH Equity,CNE000000FH0,25133101W,,,,,0.006211180124223602,0.006172839506172839,,,,0.0016604050476887596
