style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Capital Efficiency,Earnings Quality,Historical Growth,Historical Growth,Price Momentum,Price Momentum,Valuation,Volatility,MP
factor_weight,,,,,0.059073320426603355,0.12144838610526651,0.025572535022347066,0.06512687691246523,0.00949236008476596,0.22462604683583082,0.03682605618179807,0.22093656600974726,0.04,0.19689785242117552,0.9999999999999998
factor,,,,,Rev3MFY1C,RevMagFY1C,TobinQ,SalesToEPSChg,6MTTMSalesMom,SalesAcc,52WSlope,PM6M,CashEV,90DCV,AGG
0,2026-03-31,000001 CH Equity,CNE000000040,21338001W,,,0.02564102564102564,,,,,,,-0.010101010101010102,-0.001333161169959463
1,2026-03-31,000009 CH Equity,CNE000000222,24385001W,,,,,0.009900990099009901,0.012987012987012988,,,,,0.0030112051506938266
2,2026-03-31,000021 CH Equity,CNE000000FK4,25137401W,,,,,,-0.013333333333333334,,,,,-0.0029950139578110778
3,2026-03-31,000039 CH Equity,CNE000000644,21063102W,0.010638297872340425,0.011494252873563218,,,-0.01020408163265306,-0.013333333333333334,,,0.02857142857142857,,7.538040784106924e-05
4,2026-03-31,000063 CH Equity,CNE000000TK5,24385801W,-0.010752688172043012,,,0.01818181818181818,,,,,,,0.0005489280409376503
5,2026-03-31,000066 CH Equity,CNE000000RL7,24364201W,,,,,,,-0.011904761904761904,,,,-0.00043840543073569137
6,2026-03-31,000100 CH Equity,CNE000001GL8,27053501W,,,,-0.018867924528301886,0.009900990099009901,,-0.011904761904761904,,,,-0.0015732306658685874
7,2026-03-31,000157 CH Equity,CNE000001527,25989601W,,,,,0.009900990099009901,0.012987012987012988,,,,,0.0030112051506938266
8,2026-03-31,000166 CH Equity,CNE100002FD4,31912301W,0.010638297872340425,,,,0.009900990099009901,,,,,-0.010101010101010102,-0.001266443853951567
9,2026-03-31,000301 CH Equity,CNE0000012K6,32958001W,-0.010752688172043012,-0.011627906976744186,,-0.018867924528301886,,,-0.011904761904761904,,,,-0.003714601959026287
10,2026-03-31,000333 CH Equity,CNE100001QQ5,31610001W,,,,,,,,,,-0.010101010101010102,-0.0019888671961734903
