style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Valuation,Valuation,Valuation,Volatility,Volatility,Volatility,MP
factor_weight,,,,,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.9999998658895493
factor,,,,,6MChgTgtPrcGapEMA,EBITEstDisp,EPSEstDispFY1C,EPSEstDispFY2C,EPSNumRevFY1C,Rev3MFY1C,Rev3MFY2C,AdjIntCov,DebtChg1Y,FinLev,IntCovRatio,ShareChg,CapExToSales,DepToCapex,EPSToOCFChg,InvToAsset,InvToAst,InvToAstChg1Y,SalesToEPSChg,3YAvgAnnSalesGrw,DIVIDENDGROWTH,DivperShareGrowth,TTMOverheadtoSales,50DVolSig,Alpha12M6MPChg,Alpha36M6MPChg,Alpha60M,Chg1YTurnover,IO_TO,PM1M,STO,STO_6M,DivToCF,InvPEGYC,OCFEV,90DCV,Beta60M,YoYChgDA,AGG
0,2026-04-30,000001 CH Equity,CNE000000040,21338001W,-0.007407407407407408,,,,,-0.010638297872340425,-0.01020408163265306,,,,,,0.01,0.012345679012345678,,,-0.017857142857142856,-0.02564102564102564,,,,,,,,0.009615384615384616,-0.009708737864077669,,,,0.003194888178913738,,-0.023809523809523808,0.015151515151515152,,-0.005376344086021506,0.002506265664160401,,-0.0015218110734848034
1,2026-04-30,000009 CH Equity,CNE000000222,24385001W,,,,,,,,,-0.024390243902439025,0.020833333333333332,,,-0.02040816326530612,,,,,,,,,,,,,,-0.009708737864077669,,,,0.003194888178913738,,,,,-0.005376344086021506,0.002506265664160401,,-0.0008776051965522939
2,2026-04-30,000021 CH Equity,CNE000000FK4,25137401W,,,-0.014285714285714285,,,,,,,,,-0.007352941176470588,,,,,,,,,,,,,,,0.009615384615384616,,,0.009009009009009009,-0.009615384615384616,,,,0.00641025641025641,,0.002506265664160401,,-9.77137863365861e-05
3,2026-04-30,000039 CH Equity,CNE000000644,21063102W,0.014285714285714285,,0.0036363636363636364,,0.01282051282051282,0.010752688172043012,0.010101010101010102,,,0.020833333333333332,,0.013333333333333334,0.01,,-0.014705882352941176,,,0.01282051282051282,,,,,,,,,,,,0.009009009009009009,0.003194888178913738,,,,0.00641025641025641,0.010416666666666666,0.002506265664160401,,0.0033003856647228994
4,2026-04-30,000063 CH Equity,CNE000000TK5,24385801W,,,0.0036363636363636364,,-0.011494252873563218,-0.010638297872340425,-0.01020408163265306,,,,,,,,0.014492753623188406,,,,,,,,,,,,,,,,0.003194888178913738,,,0.015151515151515152,,-0.005376344086021506,0.002506265664160401,,3.3389726826380754e-05
5,2026-04-30,000066 CH Equity,CNE000000RL7,24364201W,,,,,,,,,,,,0.013333333333333334,,,-0.014705882352941176,,,,,,,,,,,,,,,,,,,,-0.012987012987012988,-0.005376344086021506,0.002506265664160401,,-0.000453411529415976
6,2026-04-30,000100 CH Equity,CNE000001GL8,27053501W,,,0.0036363636363636364,,,-0.010638297872340425,-0.01020408163265306,,,,,-0.007352941176470588,,,,,,,,,,,,,,,,,,,0.003194888178913738,,,0.015151515151515152,0.00641025641025641,-0.005376344086021506,0.002506265664160401,,-7.032566757586136e-05
7,2026-04-30,000157 CH Equity,CNE000001527,25989601W,,,-0.014285714285714285,,0.01282051282051282,,0.010101010101010102,,-0.024390243902439025,,,0.013333333333333334,,,-0.014705882352941176,,,,,,,,,,,,,,,,0.003194888178913738,,,0.015151515151515152,,,0.002506265664160401,-0.014492753623188406,-0.00028334388081212856
8,2026-04-30,000166 CH Equity,CNE100002FD4,31912301W,,0.022222222222222223,,,,0.010752688172043012,0.010101010101010102,,0.023255813953488372,,,,0.01,0.012345679012345678,,,-0.017857142857142856,0.01282051282051282,,,,,,,,,,,,,0.003194888178913738,,-0.023809523809523808,,,-0.005376344086021506,0.002506265664160401,,0.001583054244853963
9,2026-04-30,000301 CH Equity,CNE0000012K6,32958001W,0.014285714285714285,-0.022727272727272728,-0.014285714285714285,0.0136986301369863,,,-0.01020408163265306,,,-0.021739130434782608,,0.013333333333333334,,,,,,,,,,,,,,,,,,,0.003194888178913738,,0.007936507936507936,,,,0.002506265664160401,,-0.00036844362281960804
10,2026-04-30,000333 CH Equity,CNE100001QQ5,31610001W,-0.007407407407407408,,0.0036363636363636364,-0.0136986301369863,,,,-0.027777777777777776,,,,,,,,,,,,,,,,,,,,,,-0.009345794392523364,0.003194888178913738,-0.020833333333333332,,,0.00641025641025641,-0.005376344086021506,-0.00980392156862745,,-0.0021316234108939157
11,2026-04-30,000338 CH Equity,CNE1000000D4,26065402W,,,0.0036363636363636364,,0.01282051282051282,0.010752688172043012,0.010101010101010102,,0.023255813953488372,,,0.013333333333333334,0.01,,,,,0.01282051282051282,,,,,,,,,,,,,0.003194888178913738,-0.020833333333333332,,0.015151515151515152,0.00641025641025641,0.010416666666666666,0.002506265664160401,,0.00298859153539446
