style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Price Momentum,Price Momentum,Valuation,Valuation,Volatility,Volatility,MP
factor_weight,,,,,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,1.0
factor,,,,,6MChgTgtPrcGapEMA,EPSEstDispFY1C,EPSNumRevFY1C,Rev3MFY1C,Rev3MFY2C,RevMagFY1C,AdjIntCov,IntCovRatio,ShareChg,AdjAccruals,AssetTurn,CapExToSales,DepToCapex,ETO,InvToAsset,InvToAstChg1Y,SalesToEPSChg,SalesToInvCap,UnexpectedRecChg,3YAvgAnnSalesGrw,DIVIDENDGROWTH,DivperShareGrowth,50DVolSig,STO,STO_6M,InvPEGYC,OCFEV,90DCV,Beta60M,AGG
0,2026-05-31,000001 CH Equity,CNE000000040,21338001W,-0.007633587786259542,,,,,,,,,,,0.01020408163265306,,0.007633587786259542,,0.012987012987012988,,,,,,,,0.003278688524590164,,0.015384615384615385,,-0.005291005291005291,0.002564102564102564,0.0010983599800024888
1,2026-05-31,000009 CH Equity,CNE000000222,24385001W,,,,,,,,,0.013157894736842105,0.008771929824561403,,,,0.007633587786259542,,,,0.004366812227074236,0.010101010101010102,,,,,0.003278688524590164,,,,-0.005291005291005291,0.002564102564102564,0.0013130053541022461
2,2026-05-31,000021 CH Equity,CNE000000FK4,25137401W,,,,,,,,,0.013157894736842105,,-0.0136986301369863,,,,,,,-0.013157894736842105,,,,,,-0.00980392156862745,,,0.006622516556291391,,0.002564102564102564,-0.00017639010347781823
3,2026-05-31,000039 CH Equity,CNE000000644,21063102W,,0.003968253968253968,0.012345679012345678,,0.010638297872340425,,,,0.013157894736842105,0.008771929824561403,0.006756756756756757,0.01020408163265306,,0.007633587786259542,,0.012987012987012988,,0.004366812227074236,,,,,,0.003278688524590164,,,0.006622516556291391,,0.002564102564102564,0.003343350828103851
4,2026-05-31,000063 CH Equity,CNE000000TK5,24385801W,,0.003968253968253968,,-0.010752688172043012,-0.010752688172043012,-0.009900990099009901,,,,,0.006756756756756757,,,,,,,0.004366812227074236,,,,,,0.003278688524590164,,0.015384615384615385,-0.013333333333333334,-0.005291005291005291,0.002564102564102564,-0.0007022412229372485
5,2026-05-31,000066 CH Equity,CNE000000RL7,24364201W,,,,,,,,,,,,,,,,,,0.004366812227074236,,,,,,,,,-0.013333333333333334,-0.005291005291005291,0.002564102564102564,-0.0005247862424172478
6,2026-05-31,000100 CH Equity,CNE000001GL8,27053501W,,-0.011235955056179775,-0.012195121951219513,,-0.010752688172043012,,0.015384615384615385,,-0.006944444444444444,,,,,,,,,0.004366812227074236,,,,,,0.003278688524590164,,0.015384615384615385,0.006622516556291391,-0.005291005291005291,0.002564102564102564,-1.6540543539426142e-05
7,2026-05-31,000157 CH Equity,CNE000001527,25989601W,0.014285714285714285,0.003968253968253968,,,,,,,0.013157894736842105,,-0.0136986301369863,,,-0.022727272727272728,,0.012987012987012988,,-0.013157894736842105,-0.02040816326530612,,0.018867924528301886,,,0.003278688524590164,,0.015384615384615385,,-0.005291005291005291,0.002564102564102564,0.0011886722330923631
