style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Price Momentum,Valuation,Volatility,Volatility,MP
factor_weight,,,,,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,1.0
factor,,,,,6MChgTgtPrcGapEMA,EPSNumRevFY1C,Rev3MFY1C,Rev3MFY2C,RevMagFY1C,AdjIntCov,IntCovRatio,ShareChg,AdjAccruals,AssetTurn,CapExToSales,DepToCapex,ETO,InvToAsset,InvToAstChg1Y,ROAStddev20Q,ROEStddev20Q,SalesToEPSChg,SalesToInvCap,UnexpectedRecChg,3YAvgAnnSalesGrw,DIVIDENDGROWTH,DivperShareGrowth,50DVolSig,STO_6M,OCFEV,90DCV,Beta60M,AGG
0,2026-06-30,000001 CH Equity,CNE000000040,21338001W,-0.007633587786259542,,,,,,,,,,,,0.007575757575757576,,0.013888888888888888,,,,0.0031847133757961785,,,,,,,,-0.005154639175257732,0.0025,3.126832418577687e-05
1,2026-06-30,000009 CH Equity,CNE000000222,24385001W,,,,,,0.011494252873563218,,,0.008771929824561403,,,,0.007575757575757576,,,,,,0.0031847133757961785,0.010101010101010102,,,,,0.003355704697986577,,-0.005154639175257732,0.0025,0.00118901867711153
2,2026-06-30,000021 CH Equity,CNE000000FK4,25137401W,,,,,,-0.011627906976744186,,,,,,,,,,0.011627906976744186,0.011627906976744186,,0.0031847133757961785,,-0.020833333333333332,,,,0.003355704697986577,0.0064516129032258064,,0.0025,-0.00039386999487575896
3,2026-06-30,000039 CH Equity,CNE000000644,21063102W,,0.011111111111111112,,0.010526315789473684,,,,0.02127659574468085,0.008771929824561403,0.006578947368421052,,,0.007575757575757576,,0.013888888888888888,,-0.011627906976744186,,0.0031847133757961785,,,,,,0.003355704697986577,0.0064516129032258064,,0.0025,0.003179590278462611
4,2026-06-30,000063 CH Equity,CNE000000TK5,24385801W,,,-0.010638297872340425,-0.010526315789473684,-0.00980392156862745,,,,,0.006578947368421052,,,,,,0.011627906976744186,,,0.0031847133757961785,,0.005319148936170213,,,,0.003355704697986577,,-0.005154639175257732,0.0025,-0.0007237940909910862
5,2026-06-30,000066 CH Equity,CNE000000RL7,24364201W,,,,,,,,,,,,,,,,,,,0.0031847133757961785,,0.005319148936170213,,,,0.003355704697986577,-0.01282051282051282,,0.0025,-1.0791992606380701e-05
6,2026-06-30,000100 CH Equity,CNE000001GL8,27053501W,,,,0.010526315789473684,,0.011494252873563218,,,,,,,,,,0.011627906976744186,,,0.0031847133757961785,,0.005319148936170213,,,,0.003355704697986577,0.0064516129032258064,-0.005154639175257732,0.0025,0.0019254271047800806
7,2026-06-30,000157 CH Equity,CNE000001527,25989601W,,,,,,,,0.02127659574468085,,-0.013157894736842105,,,-0.022222222222222223,,0.013888888888888888,,,,-0.012658227848101266,-0.02,,0.017857142857142856,,,0.003355704697986577,0.0064516129032258064,,0.0025,0.0012831840309561128
8,2026-06-30,000166 CH Equity,CNE100002FD4,31912301W,,,,,,,,,-0.017241379310344827,,0.037037037037037035,0.0125,0.007575757575757576,,0.013888888888888888,,,,0.0031847133757961785,0.010101010101010102,,,,,,,-0.005154639175257732,0.0025,0.0012723573819562325
9,2026-06-30,000301 CH Equity,CNE0000012K6,32958001W,0.014285714285714285,0.011111111111111112,,,,,,0.02127659574468085,,,,,,,,,,,,,,,,,,,-0.005154639175257732,0.0025,0.002063379758985903
10,2026-06-30,000333 CH Equity,CNE100001QQ5,31610001W,-0.007633587786259542,,,,,,,,,,,,0.007575757575757576,,,0.011627906976744186,0.011627906976744186,,0.0031847133757961785,,,0.017857142857142856,,,-0.023255813953488372,0.0064516129032258064,-0.005154639175257732,0.0025,0.0002757694113137396
11,2026-06-30,000338 CH Equity,CNE1000000D4,26065402W,-0.007633587786259542,,,0.010526315789473684,,-0.011627906976744186,,0.02127659574468085,0.008771929824561403,0.006578947368421052,,,0.007575757575757576,,0.013888888888888888,,,,0.0031847133757961785,0.010101010101010102,,,,,-0.023255813953488372,0.0064516129032258064,0.01,0.0025,0.001429896327926641
12,2026-06-30,000400 CH Equity,CNE0000007F6,27104801W,,,,,,,,,0.008771929824561403,0.006578947368421052,,,,,,0.011627906976744186,0.011627906976744186,,0.0031847133757961785,0.010101010101010102,,-0.017857142857142856,,,0.003355704697986577,0.0064516129032258064,,0.0025,0.0008209450087532427
13,2026-06-30,000408 CH Equity,CNE000000L08,27233901W,,,,0.010526315789473684,0.009708737864077669,,,-0.012048192771084338,,,,,,,,-0.011627906976744186,-0.011627906976744186,,,,,,,,,,-0.005154639175257732,0.0025,-0.00022517376748594438
14,2026-06-30,000423 CH Equity,CNE0000006Y9,26013001W,-0.007633587786259542,,,,,,,,,,0.037037037037037035,0.0125,,,,,,,,0.010101010101010102,0.005319148936170213,,,,0.003355704697986577,0.0064516129032258064,,0.0025,0.0017108765266434023
15,2026-06-30,000425 CH Equity,CNE000000FH0,25133101W,,,,,,0.011494252873563218,,0.02127659574468085,0.008771929824561403,0.006578947368421052,,,0.007575757575757576,,-0.027777777777777776,,,,0.0031847133757961785,0.010101010101010102,,,,,-0.023255813953488372,0.0064516129032258064,,0.0025,0.001041344425247714
16,2026-06-30,000426 CH Equity,CNE000000D24,25990201W,,0.011111111111111112,,,0.009708737864077669,-0.011627906976744186,-0.016129032258064516,,,,,,,,,,,,,,,,,,,,0.01,0.0025,0.00026076131248172336
17,2026-06-30,000513 CH Equity,CNE0000002Y8,21070302W,-0.007633587786259542,-0.010869565217391304,,,,,,,0.008771929824561403,,,0.0125,,,,0.011627906976744186,0.011627906976744186,,,,-0.020833333333333332,,,,-0.023255813953488372,0.0064516129032258064,,0.0025,-0.0015867442348850582
18,2026-06-30,000519 CH Equity,CNE000000198,27213201W,,,,,,,,,0.008771929824561403,0.006578947368421052,,,,,,-0.011627906976744186,,,0.0031847133757961785,0.010101010101010102,,-0.017857142857142856,,,0.003355704697986577,,-0.005154639175257732,0.0025,-0.0004498427554757371
19,2026-06-30,000538 CH Equity,CNE0000008X7,27143001W,0.014285714285714285,,0.010526315789473684,,,,,,-0.017241379310344827,,0.037037037037037035,,,,,,,,,0.010101010101010102,0.005319148936170213,,,,0.003355704697986577,0.0064516129032258064,,0.0025,0.002612151737335091
20,2026-06-30,000547 CH Equity,CNE000000DM5,27227001W,,,,,,-0.011627906976744186,-0.016129032258064516,,,-0.013157894736842105,,,,,,-0.011627906976744186,-0.011627906976744186,,0.0031847133757961785,,-0.020833333333333332,-0.017857142857142856,-0.02564102564102564,,0.003355704697986577,,-0.005154639175257732,0.0025,-0.004976053273709857
21,2026-06-30,000559 CH Equity,CNE000000FB3,26022401W,,,,,,-0.011627906976744186,-0.016129032258064516,,,,,0.0125,0.007575757575757576,,,0.011627906976744186,0.011627906976744186,,0.0031847133757961785,,,,,,0.003355704697986577,,,0.0025,-5.752986904904625e-05
22,2026-06-30,000564 CH Equity,CNE0000003W0,26023701W,,,,,,,,,,-0.013157894736842105,,,-0.022222222222222223,-0.058823529411764705,,,,,-0.012658227848101266,,,,,,0.003355704697986577,-0.01282051282051282,0.01,0.0025,-0.002084016561472563
23,2026-06-30,000568 CH Equity,CNE000000GF2,24376701W,-0.007633587786259542,,,,,,,,-0.017241379310344827,-0.013157894736842105,,-0.02564102564102564,-0.022222222222222223,-0.058823529411764705,-0.027777777777777776,,,,-0.012658227848101266,,,,-0.02564102564102564,,,,,,-0.005258126674675326
24,2026-06-30,000596 CH Equity,CNE000000MD5,24373702W,-0.007633587786259542,-0.010869565217391304,,-0.010526315789473684,,,,,-0.017241379310344827,-0.013157894736842105,,-0.02564102564102564,-0.022222222222222223,-0.058823529411764705,-0.027777777777777776,,,,-0.012658227848101266,,,,,,,,,,-0.005059135582218226
25,2026-06-30,000617 CH Equity,CNE000000MS3,27233101W,,,,,,,,,,,,,-0.022222222222222223,,,,,,0.0031847133757961785,-0.02,,,,,,,0.01,0.0025,-0.0002273448811413821
26,2026-06-30,000625 CH Equity,CNE000000R36,24206101W,,,-0.010638297872340425,-0.010526315789473684,-0.00980392156862745,,,,-0.017241379310344827,0.006578947368421052,,0.0125,0.007575757575757576,,,,,0.0625,0.0031847133757961785,,,,,,-0.023255813953488372,-0.01282051282051282,,0.0025,-0.0014609955115752918
27,2026-06-30,000629 CH Equity,CNE0000007H2,25134401W,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005154639175257732,0.0025,-0.00012443617240108414
28,2026-06-30,000630 CH Equity,CNE000000529,27103901W,-0.007633587786259542,,0.010526315789473684,0.010526315789473684,,0.011494252873563218,0.015873015873015872,-0.012048192771084338,,,,,,,,,,,,,,,,,,,,0.0025,0.001464286405922526
29,2026-06-30,000651 CH Equity,CNE0000001D4,25998001W,-0.007633587786259542,,-0.010638297872340425,-0.010526315789473684,,,,,,-0.013157894736842105,,0.0125,,0.058823529411764705,,,0.011627906976744186,,0.0031847133757961785,,,0.017857142857142856,,,0.003355704697986577,0.0064516129032258064,-0.005154639175257732,-0.009900990099009901,0.0007615052467109335
30,2026-06-30,000657 CH Equity,CNE0000006M4,27223901W,-0.007633587786259542,0.011111111111111112,,0.010526315789473684,0.009708737864077669,,,,,,,,,,,0.011627906976744186,0.011627906976744186,,,,,,,,,,0.01,0.0025,0.0021819605935475563
31,2026-06-30,000661 CH Equity,CNE0000007J8,27213001W,-0.007633587786259542,,-0.010638297872340425,-0.010526315789473684,-0.00980392156862745,,,,0.008771929824561403,,-0.037037037037037035,-0.02564102564102564,,,,,,,,0.010101010101010102,0.005319148936170213,,,,0.003355704697986577,,,0.0025,-0.0021982604307354036
32,2026-06-30,000688 CH Equity,CNE0000003F5,25996701W,,,,,,,,0.02127659574468085,,,,,,,,-0.011627906976744186,-0.011627906976744186,,,,,,,,,,0.01,0.0025,0.0010987808512227517
33,2026-06-30,000708 CH Equity,CNE0000008J6,25997201W,-0.007633587786259542,,,,,0.011494252873563218,0.015873015873015872,-0.012048192771084338,,,,,,,,0.011627906976744186,,,,,,,,,,,-0.005154639175257732,0.0025,0.000478069263167508
34,2026-06-30,000725 CH Equity,CNE0000016L5,24205802W,,,-0.010638297872340425,-0.010526315789473684,,0.011494252873563218,,,,,,,,,,,,,0.0031847133757961785,,0.005319148936170213,,,,-0.023255813953488372,0.0064516129032258064,-0.005154639175257732,0.0025,-0.0010497475842688704
35,2026-06-30,000728 CH Equity,CNE000000QZ9,27200801W,-0.007633587786259542,,-0.010638297872340425,-0.010526315789473684,-0.00980392156862745,,,,0.008771929824561403,,,,,,0.013888888888888888,,,,-0.012658227848101266,-0.02,,,,,,,,0.0025,-0.0019005660393489794
36,2026-06-30,000729 CH Equity,CNE000000S84,25130601W,,0.011111111111111112,,0.010526315789473684,0.009708737864077669,,,,,,-0.037037037037037035,-0.02564102564102564,,,0.013888888888888888,,,,0.0031847133757961785,,,,0.01282051282051282,,,0.0064516129032258064,,,0.0014226378069576728
37,2026-06-30,000733 CH Equity,CNE000000RY0,24375901W,,,,,,,,,,-0.013157894736842105,,,,,,,,,-0.012658227848101266,,-0.020833333333333332,-0.017857142857142856,-0.02564102564102564,,0.003355704697986577,0.0064516129032258064,-0.005154639175257732,-0.009900990099009901,-0.0037993891294986603
38,2026-06-30,000738 CH Equity,CNE000000RM5,27196001W,,,-0.010638297872340425,-0.010526315789473684,-0.00980392156862745,-0.011627906976744186,,,-0.017241379310344827,-0.013157894736842105,,,-0.022222222222222223,,,,0.011627906976744186,,-0.012658227848101266,-0.02,,,,,0.003355704697986577,-0.01282051282051282,,0.0025,-0.0038575971797892897
39,2026-06-30,000750 CH Equity,CNE0000008K4,27196601W,,,,,,,,,0.008771929824561403,0.006578947368421052,,0.0125,,,,,,,0.0031847133757961785,0.010101010101010102,,,,,,,-0.005154639175257732,0.0025,0.0007325771460931297
40,2026-06-30,000768 CH Equity,CNE000000RF9,27104601W,,,,,,,,,-0.017241379310344827,,,,0.007575757575757576,,0.013888888888888888,0.011627906976744186,0.011627906976744186,,0.0031847133757961785,-0.02,,,,,-0.023255813953488372,-0.01282051282051282,,0.0025,-0.0013517272313879028
