style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Price Momentum,Valuation,Volatility,MP
factor_weight,,,,,0.038788467248,0.042083426879,0.042281172736,0.042361545874,0.044957045005,0.035778548202,0.045979137993,0.055288351506,0.055971059375,0.057028989655,0.01208385254,0.012257976332,0.015285364196,0.015737991619,0.017997637207,0.018458040242,0.018635444152,0.020493557467,0.021092504047,0.021316056853,0.023272443324,0.024823302149,0.028591898908,0.030818558914,0.042462750834,0.048909261322,0.026936834402,0.034752890112,0.041092626329,0.06446326458,1.0
factor,,,,,Rev3MFY2C,6MChgTgtPrcGapEMA,EPSNumRevFY1C,RevMagFY1C,Rev3MFY1C,LTDE,RecTurn,DA,AdjIntCov,IntCovRatio,InvToAsset,SalesToEPSChg,ROAStddev20Q,ROEStddev20Q,AssetTurn,InvToAstChg1Y,CapExToSales,DepToCapex,UnexpectedRecChg,AdjAccruals,ETO,SalesToInvCap,UnexpectedInvChg,3YAvgAnnSalesGrw,DivperShareGrowth,DIVIDENDGROWTH,50DVolSig,STO_6M,OCFEV,Beta60M,AGG
0,2026-07-31,000001 CH Equity,CNE000000040,21338001W,,,,,,,0.008264462809917356,0.003816793893129771,,,,,,,,0.014084507042253521,0.01098901098901099,,,,0.0045871559633027525,0.0031847133757961785,,,,,,,,0.0024752475247524753,0.0014011465823592242
1,2026-07-31,000009 CH Equity,CNE000000222,24385001W,,,,,,-0.014285714285714285,,-0.011235955056179775,,,,,,,,,,,,0.008771929824561403,0.0045871559633027525,0.0031847133757961785,0.0036101083032490976,,,,,,,0.0024752475247524753,-0.0004967647776683363
2,2026-07-31,000021 CH Equity,CNE000000FK4,25137401W,,,,,,,,,-0.015151515151515152,,,,0.011627906976744186,0.011627906976744186,,,,,,,0.0045871559633027525,0.0031847133757961785,0.0036101083032490976,,,,,0.017857142857142856,,0.0024752475247524753,0.000581869482077961
3,2026-07-31,000039 CH Equity,CNE000000644,21063102W,,,,,,,,0.003816793893129771,,,,,,-0.011627906976744186,0.006578947368421052,0.014084507042253521,0.01098901098901099,,,0.008771929824561403,0.0045871559633027525,0.0031847133757961785,,,,,,,0.0064516129032258064,0.0024752475247524753,0.0014086559848842347
4,2026-07-31,000063 CH Equity,CNE000000TK5,24385801W,-0.010526315789473684,,-0.010638297872340425,-0.01,-0.010309278350515464,-0.014285714285714285,,-0.011235955056179775,,,,,0.011627906976744186,,0.006578947368421052,,,,,,0.0045871559633027525,0.0031847133757961785,0.0036101083032490976,,,,,,,0.0024752475247524753,-0.0021327949463263215
5,2026-07-31,000066 CH Equity,CNE000000RL7,24364201W,,,,,,-0.014285714285714285,-0.016666666666666666,-0.011235955056179775,,,,,,,,,,,,,0.0045871559633027525,0.0031847133757961785,0.0036101083032490976,,,,,,-0.01282051282051282,0.0024752475247524753,-0.001976895241747545
6,2026-07-31,000100 CH Equity,CNE000001GL8,27053501W,0.010101010101010102,,,,,-0.014285714285714285,0.008264462809917356,-0.011235955056179775,0.014925373134328358,,,,0.011627906976744186,,,,,,,,0.0045871559633027525,0.0031847133757961785,0.0036101083032490976,,,,,,0.0064516129032258064,0.0024752475247524753,0.0013662873000527796
7,2026-07-31,000157 CH Equity,CNE000001527,25989601W,,,,,,,,,,,,,,,-0.013157894736842105,0.014084507042253521,,,-0.017241379310344827,,-0.013513513513513514,-0.012658227848101266,0.0036101083032490976,,,0.017857142857142856,,,0.0064516129032258064,0.0024752475247524753,0.0004320617995796289
8,2026-07-31,000166 CH Equity,CNE100002FD4,31912301W,,,,,,,,-0.011235955056179775,,,,,,,,0.014084507042253521,0.01098901098901099,0.0125,0.01694915254237288,-0.017241379310344827,0.0045871559633027525,0.0031847133757961785,0.0036101083032490976,,,,,,,0.0024752475247524753,0.000538283198328764
9,2026-07-31,000301 CH Equity,CNE0000012K6,32958001W,,0.014492753623188406,0.010869565217391304,0.009900990099009901,,,,,,,,,,,,,,,,,,,0.0036101083032490976,,,,,,,0.0024752475247524753,0.0017516863359204576
10,2026-07-31,000333 CH Equity,CNE100001QQ5,31610001W,,,,0.009900990099009901,0.01020408163265306,,,0.003816793893129771,,,,,0.011627906976744186,0.011627906976744186,,,,,,,0.0045871559633027525,0.0031847133757961785,,,,0.017857142857142856,,-0.02040816326530612,0.0064516129032258064,0.0024752475247524753,0.0022245502363984785
11,2026-07-31,000338 CH Equity,CNE1000000D4,26065402W,0.010101010101010102,,,,,,,0.003816793893129771,,,,,,,0.006578947368421052,0.014084507042253521,0.01098901098901099,,,0.008771929824561403,0.0045871559633027525,0.0031847133757961785,0.0036101083032490976,,,,,-0.02040816326530612,0.0064516129032258064,0.0024752475247524753,0.001377435783221743
12,2026-07-31,000400 CH Equity,CNE0000007F6,27104801W,,,,,,0.014285714285714285,,0.003816793893129771,,,,,0.011627906976744186,0.011627906976744186,0.006578947368421052,,0.01098901098901099,,0.01694915254237288,0.008771929824561403,,0.0031847133757961785,-0.010638297872340425,,,-0.017857142857142856,,,0.0064516129032258064,0.0024752475247524753,0.0012767392399738655
13,2026-07-31,000408 CH Equity,CNE000000L08,27233901W,0.010101010101010102,,,,0.01020408163265306,,,,,,,,-0.011627906976744186,-0.011627906976744186,,,,,,,,,0.0036101083032490976,,,,,,,0.0024752475247524753,0.0007525937489000521
14,2026-07-31,000423 CH Equity,CNE0000006Y9,26013001W,,,,0.009900990099009901,0.01020408163265306,0.014285714285714285,0.008264462809917356,0.003816793893129771,,,,,,,,,0.01098901098901099,0.0125,0.01694915254237288,,,,0.0036101083032490976,,,,,,0.0064516129032258064,0.0024752475247524753,0.0033266565824991365
15,2026-07-31,000425 CH Equity,CNE000000FH0,25133101W,,,-0.010638297872340425,,,,,,,,,,,,0.006578947368421052,-0.027777777777777776,0.01098901098901099,,0.01694915254237288,0.008771929824561403,0.0045871559633027525,0.0031847133757961785,-0.010638297872340425,,,,,-0.02040816326530612,0.0064516129032258064,0.0024752475247524753,-0.0004977755268262345
16,2026-07-31,000426 CH Equity,CNE000000D24,25990201W,0.010101010101010102,,0.010869565217391304,0.009900990099009901,0.01020408163265306,,,,-0.015151515151515152,-0.016129032258064516,,,,,,,,,,,,,0.0036101083032490976,,,,,,,0.0024752475247524753,0.00022446088726974281
17,2026-07-31,000513 CH Equity,CNE0000002Y8,21070302W,,,,,,,,,,,,,0.011627906976744186,0.011627906976744186,,,0.01098901098901099,0.0125,,0.008771929824561403,,,0.0036101083032490976,,,,,-0.02040816326530612,0.0064516129032258064,0.0024752475247524753,0.0008273276699310375
18,2026-07-31,000519 CH Equity,CNE000000198,27213201W,,,,,,,,0.003816793893129771,,,,,-0.011627906976744186,,0.006578947368421052,,,,0.01694915254237288,0.008771929824561403,,0.0031847133757961785,0.0036101083032490976,,,-0.017857142857142856,,,,0.0024752475247524753,0.0001646338044647283
19,2026-07-31,000538 CH Equity,CNE0000008X7,27143001W,,,,,,,,0.003816793893129771,,,,,,,,,0.01098901098901099,,,-0.017241379310344827,,,0.0036101083032490976,,,,,,0.0064516129032258064,0.0024752475247524753,0.0005761872273616533
20,2026-07-31,000547 CH Equity,CNE000000DM5,27227001W,,,,,,,-0.016666666666666666,0.003816793893129771,-0.015151515151515152,-0.016129032258064516,,,-0.011627906976744186,-0.011627906976744186,-0.013157894736842105,,,,,,,0.0031847133757961785,0.0036101083032490976,,-0.02564102564102564,-0.017857142857142856,,,,0.0024752475247524753,-0.004541041862760476
21,2026-07-31,000559 CH Equity,CNE000000FB3,26022401W,0.010101010101010102,,0.010869565217391304,0.009900990099009901,0.01020408163265306,,,-0.011235955056179775,-0.015151515151515152,-0.016129032258064516,,,0.011627906976744186,0.011627906976744186,,,,0.0125,-0.017241379310344827,,0.0045871559633027525,0.0031847133757961785,,,,,,,,0.0024752475247524753,-6.0924666500666305e-05
22,2026-07-31,000564 CH Equity,CNE0000003W0,26023701W,,,,,,-0.014285714285714285,,-0.011235955056179775,,,-0.058823529411764705,,,,-0.013157894736842105,,,,,,-0.013513513513513514,-0.012658227848101266,,,,,,,-0.01282051282051282,0.0024752475247524753,-0.0030759429194778935
23,2026-07-31,000568 CH Equity,CNE000000GF2,24376701W,,-0.007692307692307693,,,,,,0.003816793893129771,,,-0.058823529411764705,,,,-0.013157894736842105,-0.027777777777777776,,-0.02564102564102564,,-0.017241379310344827,-0.013513513513513514,-0.012658227848101266,-0.010638297872340425,,-0.02564102564102564,,,,0.0064516129032258064,,-0.004222593085105677
