factor,order,hist_cagr,cagr_2025,decay_pct
PM1M,1,0.0634,-0.9568,1609.6
Alpha60M,1,0.0615,-0.9135,1586.0
8WChgFwd12MEPS,0,0.0607,-0.793,1406.2
6MChgTgtPrcGap,0,0.0677,-0.706,1143.4
5DMoneyFlowVol,1,0.069,-0.6267,1007.7
VolAdjRtn12M,0,0.0625,-0.4809,870.0
TobinQ,1,0.0621,-0.3928,732.2
RskAdjRS,0,0.0825,-0.4753,676.2
PM6M,1,0.1378,-0.7305,630.0
FwdEPC,0,0.0769,-0.3052,497.1
CapExToAst,1,0.0571,-0.2265,496.8
OEP,0,0.0766,-0.2633,443.8
GPMargin,0,0.0575,-0.0975,269.5
FCFEqt,0,0.0575,-0.0251,143.7
RONA,0,0.0579,0.0466,19.6
LTDE,1,0.0688,0.0696,-1.1
EPSSurpC,0,0.0652,0.0737,-13.0
BuyToSellRecLess3MSMA,0,0.0891,0.1415,-58.9
BuyToSellRecLess3MEMA,0,0.0887,0.1598,-80.2
3MSalesMom,0,0.0837,0.1558,-86.2
6MAvgChg1MRecC,1,0.0646,0.1244,-92.5
SalesAcc,0,0.1227,0.2435,-98.5
Chg1YOCF,0,0.0788,0.1642,-108.5
6MTTMSalesMom,0,0.0882,0.1871,-112.0
OCFRatio,0,0.058,0.1374,-136.9
AdjEPSNumRevFY1C,0,0.0909,0.2692,-196.3
AdjRevMagC,0,0.0891,0.2889,-224.3
RevMagFY1C,0,0.0988,0.3245,-228.6
EstDiffC,0,0.0874,0.3099,-254.5
EPSNumRevFY1C,0,0.0875,0.3108,-255.4
SUEC,0,0.08,0.2905,-263.2
EPSStab,0,0.0719,0.2714,-277.2
PM12M1M,0,0.0898,0.3573,-297.8
52WSlope,0,0.1063,0.4283,-303.0
StdErr180D,0,0.0784,0.3589,-357.8
Beta60M,0,0.0763,0.3596,-371.2
Rev3MFY1C,0,0.0866,0.4242,-389.6
PA52WL20DLag,0,0.0781,0.3838,-391.5
Rev3MFY2C,0,0.0949,0.4805,-406.2
52WVPT20DLag,0,0.0717,0.4077,-468.6
PRatio15To36W,0,0.0674,0.3987,-491.4
AdjEPSNumRevFY2C,0,0.071,0.4516,-536.4
6MChgTgtPrc,0,0.0666,0.4367,-556.1
LTGC,0,0.0631,0.515,-715.9
50To200PrcRatio,0,0.0742,0.6821,-818.9
90DCV,0,0.0841,1.0042,-1094.5
50DVolSig,0,0.0609,0.8921,-1365.4
AnnVol1M,0,0.0876,1.8595,-2021.7
4To52WPrcOsc,1,0.0756,1.7968,-2276.4
HL52W,1,0.0959,3.303,-3345.5
