overlay,param,cagr,mdd,sharpe,calmar,scaled_months
adaptive,"w=18,cap=2.0",0.0229,-0.0809,0.6248,0.2833,-1
vol_target,"t=4%,w=18,cap=2.0",0.0284,-0.103,0.6174,0.2756,43
vol_target,"t=3%,w=18,cap=2.0",0.0215,-0.0781,0.605,0.2752,92
adaptive,"w=24,cap=2.0",0.0209,-0.0758,0.5902,0.2752,-1
vol_target,"t=5%,w=24,cap=2.0",0.0334,-0.1219,0.6309,0.274,13
adaptive,"w=18,cap=1.5",0.0221,-0.0809,0.6125,0.2737,-1
vol_target,"t=4%,w=24,cap=2.0",0.0269,-0.0986,0.6075,0.2724,41
vol_target,"t=3%,w=18,cap=1.5",0.0211,-0.0781,0.5989,0.2704,92
adaptive,"w=24,cap=1.5",0.0203,-0.0758,0.5816,0.268,-1
vol_target,"t=2%,w=18,cap=1.5",0.014,-0.0527,0.5628,0.2664,131
vol_target,"t=2%,w=18,cap=2.0",0.014,-0.0527,0.5628,0.2664,131
vol_target,"t=4%,w=12,cap=2.0",0.03,-0.1133,0.6366,0.265,39
vol_target,"t=3%,w=12,cap=2.0",0.0226,-0.0861,0.6245,0.2631,86
vol_target,"t=2%,w=18,cap=1.0",0.0138,-0.0527,0.5565,0.2616,131
vol_target,"t=3%,w=24,cap=2.0",0.0195,-0.0747,0.5656,0.2615,91
vol_target,"t=6%,w=24,cap=2.0",0.0375,-0.1447,0.6436,0.259,0
adaptive,"w=12,cap=2.0",0.0233,-0.0898,0.6253,0.259,-1
vol_target,"t=3%,w=12,cap=1.5",0.0222,-0.0861,0.6178,0.2581,86
vol_target,"t=5%,w=18,cap=2.0",0.0328,-0.1272,0.6089,0.2581,19
vol_target,"t=4%,w=24,cap=1.5",0.0253,-0.0986,0.5994,0.2568,41
vol_target,"t=3%,w=24,cap=1.5",0.0192,-0.0747,0.5587,0.2563,91
dd_derisk,"dd=3%,scale=0.0",0.014,-0.0555,0.4695,0.2529,55
vol_target,"t=2%,w=12,cap=1.5",0.0146,-0.0581,0.5833,0.2514,135
vol_target,"t=2%,w=12,cap=2.0",0.0146,-0.0581,0.5833,0.2514,135
vol_target,"t=2%,w=12,cap=1.0",0.0143,-0.0581,0.5764,0.2465,135
vol_target,"t=4%,w=18,cap=1.5",0.0254,-0.103,0.5909,0.2464,43
adaptive,"w=12,cap=1.5",0.0221,-0.0898,0.6056,0.2462,-1
vol_target,"t=5%,w=12,cap=2.0",0.0339,-0.1379,0.6148,0.2459,17
vol_target,"t=6%,w=12,cap=2.0",0.0363,-0.1501,0.6041,0.2415,7
vol_target,"t=4%,w=12,cap=1.5",0.0259,-0.1084,0.5976,0.2392,39
dd_derisk,"dd=3%,scale=0.5",0.0165,-0.0693,0.5194,0.2377,55
vol_target,"t=6%,w=18,cap=2.0",0.0353,-0.1498,0.5933,0.236,0
vol_target,"t=5%,w=24,cap=1.5",0.0283,-0.1219,0.6042,0.2321,13
vol_target,"t=5%,w=12,cap=1.5",0.0278,-0.1207,0.5836,0.2306,17
adaptive,"w=9,cap=2.0",0.0215,-0.0935,0.5955,0.2297,-1
vol_target,"t=3%,w=9,cap=2.0",0.0219,-0.0958,0.6042,0.2288,73
adaptive,"w=24,cap=1.0",0.0173,-0.0758,0.5414,0.2287,-1
vol_target,"t=3%,w=12,cap=1.0",0.0176,-0.0777,0.5619,0.2264,86
vol_target,"t=3%,w=24,cap=1.0",0.0168,-0.0747,0.5363,0.2248,91
vol_target,"t=3%,w=18,cap=1.0",0.0174,-0.0775,0.5534,0.2247,92
adaptive,"w=18,cap=1.0",0.0178,-0.0794,0.5512,0.2244,-1
vol_target,"t=2%,w=9,cap=2.0",0.0145,-0.0647,0.579,0.2238,134
vol_target,"t=5%,w=18,cap=1.5",0.0276,-0.1238,0.5763,0.2228,19
vol_target,"t=2%,w=9,cap=1.5",0.0144,-0.0647,0.5775,0.2226,134
adaptive,"w=12,cap=1.0",0.0175,-0.0788,0.5474,0.2224,-1
vol_target,"t=6%,w=9,cap=2.0",0.0347,-0.1567,0.5784,0.2215,5
vol_target,"t=4%,w=9,cap=2.0",0.0276,-0.1259,0.5948,0.219,43
vol_target,"t=2%,w=24,cap=1.5",0.0117,-0.0534,0.4682,0.2183,129
vol_target,"t=5%,w=9,cap=1.5",0.0271,-0.1241,0.572,0.2183,24
vol_target,"t=2%,w=24,cap=2.0",0.0117,-0.0534,0.4682,0.2183,129
vol_target,"t=6%,w=12,cap=1.5",0.0286,-0.1313,0.571,0.218,7
vol_target,"t=5%,w=9,cap=2.0",0.0319,-0.1465,0.579,0.2176,24
vol_target,"t=4%,w=9,cap=1.5",0.0246,-0.1148,0.5674,0.2141,43
adaptive,"w=9,cap=1.5",0.02,-0.0935,0.5701,0.2136,-1
vol_target,"t=3%,w=9,cap=1.5",0.0205,-0.0958,0.5804,0.2136,73
vol_target,"t=2%,w=24,cap=1.0",0.0114,-0.0534,0.4609,0.2134,129
vol_target,"t=6%,w=9,cap=1.5",0.028,-0.1322,0.5638,0.212,5
vol_target,"t=4%,w=12,cap=1.0",0.0187,-0.0892,0.5459,0.2097,39
adaptive,"w=9,cap=1.0",0.0168,-0.0804,0.5392,0.2091,-1
vol_target,"t=3%,w=9,cap=1.0",0.0169,-0.0812,0.5461,0.2088,73
dd_derisk,"dd=5%,scale=0.5",0.0171,-0.0824,0.5095,0.208,28
vol_target,"t=6%,w=24,cap=1.5",0.0291,-0.1404,0.5794,0.2072,0
vol_target,"t=4%,w=9,cap=1.0",0.0184,-0.0899,0.5442,0.2047,43
vol_target,"t=2%,w=9,cap=1.0",0.0132,-0.0647,0.5492,0.2045,134
dd_derisk,"dd=7%,scale=0.5",0.0181,-0.0889,0.5189,0.2034,15
dd_derisk,"dd=7%,scale=0.0",0.0174,-0.0854,0.506,0.2033,15
vol_target,"t=6%,w=18,cap=1.5",0.0285,-0.1405,0.5565,0.2026,0
vol_target,"t=4%,w=18,cap=1.0",0.0188,-0.0957,0.5339,0.1966,43
dd_derisk,"dd=5%,scale=0.0",0.0155,-0.0787,0.4734,0.1962,28
vol_target,"t=5%,w=12,cap=1.0",0.0189,-0.0982,0.5264,0.1924,17
vol_target,"t=2%,w=6,cap=2.0",0.0138,-0.0727,0.528,0.1902,133
vol_target,"t=4%,w=24,cap=1.0",0.0181,-0.0955,0.5185,0.1896,41
vol_target,"t=5%,w=9,cap=1.0",0.0187,-0.099,0.5233,0.1886,24
vol_target,"t=6%,w=6,cap=1.5",0.0258,-0.1395,0.5133,0.1846,11
vol_target,"t=6%,w=9,cap=1.0",0.0188,-0.1023,0.519,0.1842,5
baseline,-,0.0188,-0.1023,0.5161,0.1837,0
vol_target,"t=6%,w=24,cap=1.0",0.0188,-0.1023,0.5161,0.1837,0
vol_target,"t=6%,w=18,cap=1.0",0.0188,-0.1023,0.5161,0.1837,0
vol_target,"t=5%,w=18,cap=1.0",0.0187,-0.1018,0.5166,0.1836,19
vol_target,"t=5%,w=24,cap=1.0",0.0187,-0.1023,0.5153,0.1832,13
vol_target,"t=6%,w=12,cap=1.0",0.0186,-0.1019,0.5146,0.183,7
vol_target,"t=5%,w=6,cap=1.5",0.024,-0.1324,0.505,0.1809,21
vol_target,"t=6%,w=6,cap=2.0",0.0301,-0.1661,0.5001,0.1809,11
vol_target,"t=6%,w=6,cap=1.0",0.0185,-0.1023,0.5115,0.1806,11
vol_target,"t=5%,w=6,cap=2.0",0.0274,-0.1522,0.5004,0.1804,21
vol_target,"t=5%,w=6,cap=1.0",0.0179,-0.0995,0.5064,0.1801,21
vol_target,"t=4%,w=6,cap=1.0",0.0169,-0.0949,0.4985,0.1785,41
vol_target,"t=3%,w=6,cap=2.0",0.0192,-0.1074,0.5167,0.1783,72
vol_target,"t=2%,w=6,cap=1.5",0.0129,-0.0727,0.507,0.177,133
vol_target,"t=4%,w=6,cap=1.5",0.0212,-0.1203,0.4918,0.1765,41
vol_target,"t=4%,w=6,cap=2.0",0.0237,-0.1351,0.5045,0.1755,41
vol_target,"t=3%,w=6,cap=1.5",0.0176,-0.1028,0.494,0.1712,72
vol_target,"t=3%,w=6,cap=1.0",0.0147,-0.0862,0.4758,0.1708,72
vol_target,"t=2%,w=6,cap=1.0",0.0114,-0.0696,0.4722,0.1637,133
